model_id,evaluation_id,selected_value,selected_reference_url,alternate_value,alternate_reference_url,absolute_difference,decision
uni2-h,eva.leaderboard.bach.validation,0.915,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.924,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.009000000000000008,prefer_current_eva_repository_snapshot
uni2-h,eva.leaderboard.breakhis.validation,0.859,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.863,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0040000000000000036,prefer_current_eva_repository_snapshot
uni2-h,eva.leaderboard.crc.validation,0.965,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.97,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0050000000000000044,prefer_current_eva_repository_snapshot
uni2-h,eva.leaderboard.gleason_arvaniti.validation,0.775,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.777,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0020000000000000018,prefer_current_eva_repository_snapshot
uni2-h,eva.leaderboard.mhist.test,0.824,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.829,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0050000000000000044,prefer_current_eva_repository_snapshot
uni2-h,eva.leaderboard.patch_camelyon.test,0.95,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.951,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0010000000000000009,prefer_current_eva_repository_snapshot
uni2-h,eva.leaderboard.camelyon16_small.test,0.849,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.873,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.02400000000000002,prefer_current_eva_repository_snapshot
uni2-h,eva.leaderboard.panda_small.test,0.657,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.666,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.009000000000000008,prefer_current_eva_repository_snapshot
uni2-h,eva.leaderboard.consep.validation,0.63,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.626,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0040000000000000036,prefer_current_eva_repository_snapshot
uni2-h,eva.leaderboard.monusac.test,0.642,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.644,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0020000000000000018,prefer_current_eva_repository_snapshot
