evaluation_id,suite_id,dataset_id,sample_count,sample_count_status,sample_unit,task_type,label_burden_proxy,label_burden_basis,input_processing_proxy,proxy_basis,source_compute,source_runtime,compute_runtime_status,annotation_hours,annotation_hours_status,dollar_cost,dollar_cost_status,reference_url,audit_status,allowlist_id,allowlisted,allowlist_decision_reason,allowlist_v2_id,allowlisted_v2,allowlist_v2_decision_reason
eva.leaderboard.bach.validation,eva,bach,,not_reported,image,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,image_direct,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/bach.yaml,parsed_primary_source,pathology_low_friction_proxy_v1,false,sample_count_metadata_incomplete,pathology_low_friction_pipeline_proxy_top25_v2,true,direct_image_or_patch_pipeline_with_existing_class_labels
eva.leaderboard.bracs.validation,eva,bracs,,not_reported,image,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,image_direct,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/bracs.yaml,parsed_primary_source,pathology_low_friction_proxy_v1,false,sample_count_metadata_incomplete,pathology_low_friction_pipeline_proxy_top25_v2,true,direct_image_or_patch_pipeline_with_existing_class_labels
eva.leaderboard.breakhis.validation,eva,breakhis,,not_reported,image,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,image_direct,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/breakhis.yaml,parsed_primary_source,pathology_low_friction_proxy_v1,false,sample_count_metadata_incomplete,pathology_low_friction_pipeline_proxy_top25_v2,true,direct_image_or_patch_pipeline_with_existing_class_labels
eva.leaderboard.camelyon16_small.test,eva,camelyon16_small,,not_reported,slide,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,whole_slide_processing,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/camelyon16_small.yaml,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
eva.leaderboard.camelyon16_small.validation,eva,camelyon16_small,,not_reported,slide,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,whole_slide_processing,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/camelyon16_small.yaml,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
eva.leaderboard.consep.validation,eva,consep,,not_reported,image,segmentation,dense_segmentation_mask,declared_protocol_proxy_not_measured_labor,image_direct,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/segmentation/consep.yaml,parsed_primary_source,pathology_low_friction_proxy_v1,false,not_classification,pathology_low_friction_pipeline_proxy_top25_v2,false,not_classification
eva.leaderboard.crc.validation,eva,crc,,not_reported,image,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,image_direct,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/crc.yaml,parsed_primary_source,pathology_low_friction_proxy_v1,false,sample_count_metadata_incomplete,pathology_low_friction_pipeline_proxy_top25_v2,true,direct_image_or_patch_pipeline_with_existing_class_labels
eva.leaderboard.gleason_arvaniti.validation,eva,gleason_arvaniti,,not_reported,image,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,image_direct,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/gleason_arvaniti.yaml,parsed_primary_source,pathology_low_friction_proxy_v1,false,sample_count_metadata_incomplete,pathology_low_friction_pipeline_proxy_top25_v2,true,direct_image_or_patch_pipeline_with_existing_class_labels
eva.leaderboard.mhist.test,eva,mhist,,not_reported,image,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,image_direct,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/mhist.yaml,parsed_primary_source,pathology_low_friction_proxy_v1,false,sample_count_metadata_incomplete,pathology_low_friction_pipeline_proxy_top25_v2,true,direct_image_or_patch_pipeline_with_existing_class_labels
eva.leaderboard.monusac.test,eva,monusac,,not_reported,image,segmentation,dense_segmentation_mask,declared_protocol_proxy_not_measured_labor,image_direct,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/segmentation/monusac.yaml,parsed_primary_source,pathology_low_friction_proxy_v1,false,not_classification,pathology_low_friction_pipeline_proxy_top25_v2,false,not_classification
