model_id,provider,family,parameter_count,parameter_basis,model_type,modality,primary_source_url,source_title,release_date,verification_status,audit_notes
atlas,Aignostics,Atlas,,missing,tile_encoder,vision,https://arxiv.org/abs/2501.05409,Atlas: A Novel Pathology Foundation Model by Mayo Clinic Charite and Aignostics,2025-01-09,verified,Parameter count intentionally unavailable; excluded from H1 denominator.
chief-patch-mean,Harvard Medical School,CHIEF,,missing,tile_encoder,vision,https://www.nature.com/articles/s41586-024-07894-z,A pathology foundation model for cancer diagnosis and prognosis prediction,2024-09-04,verified,Parameter count intentionally unavailable; excluded from H1 denominator.
chief-slide,Harvard Medical School,CHIEF,,missing,slide_encoder,vision,https://www.nature.com/articles/s41586-024-07894-z,A pathology foundation model for cancer diagnosis and prognosis prediction,2024-09-04,verified,Parameter count intentionally unavailable; excluded from H1 denominator.
ciga,Ciga et al.,Ciga,25600000,nominal_encoder_count,tile_encoder,vision,https://arxiv.org/abs/2011.13971,Self supervised contrastive learning for digital histopathology,2020-11-27,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
clip-b,OpenAI,CLIP,86000000,nominal_encoder_count,tile_encoder,vision_language,https://arxiv.org/abs/2103.00020,Learning Transferable Visual Models From Natural Language Supervision,2021-02-26,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
clip-l,OpenAI,CLIP,304000000,nominal_encoder_count,tile_encoder,vision_language,https://arxiv.org/abs/2103.00020,Learning Transferable Visual Models From Natural Language Supervision,2021-02-26,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
conch,CONCH,CONCH,86000000,nominal_encoder_count,tile_encoder,vision_language,https://www.nature.com/articles/s41591-024-02856-4,A visual-language foundation model for computational pathology,2023-07-24,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
conch-1.5,CONCH,CONCH,304000000,nominal_encoder_count,tile_encoder,vision_language,https://www.nature.com/articles/s41591-025-03982-3,A multimodal whole-slide foundation model for pathology,2024-11-29,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
ctranspath,CTransPath,CTransPath,28000000,nominal_encoder_count,tile_encoder,vision,https://doi.org/10.1016/j.media.2022.102559,Transformer-based unsupervised contrastive learning for histopathological image classification,2021-06-04,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
dinov2-b,Meta AI,DINOv2,86000000,nominal_encoder_count,tile_encoder,vision,https://arxiv.org/abs/2304.07193,DINOv2: Learning Robust Visual Features without Supervision,2023-04-14,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
