model_id,canonical_family,component_name,level,modality,primary_paper_title,primary_paper_url,official_hf_url,official_github_url,reported_benchmark_suites_tasks,result_extraction_status,extracted_seed_suites,next_extraction_target,comparability_contamination_notes
"uni","UNI","UNI (ViT-L/16)","tile","image","Towards a general-purpose foundation model for computational pathology","https://www.nature.com/articles/s41591-024-02857-3","https://huggingface.co/MahmoodLab/UNI","https://github.com/mahmoodlab/UNI","34 tasks: OT-43/OT-108 slide classification; CRC-100K; HunCRC; BACH; CRC-MSI; CCRCC; TCGA-TILs; TCGA-Uniform; UniToPatho; ESCA; CAMELYON17-WILDS; EBRAINS; DHMC; BRACS; PANDA; SegPath; AGGC; few-shot ROI/slide prototypes","primary_paper_public_extracted","UNI paper supplement; H-optimus-1 report; Virchow2 tables; HEST; PathoROB; THUNDER","Audit later official checkpoint revisions only","All 83 active UNI result rows expanded to 277 metric leaves: 227 public frozen-feature cells extracted, 24 Mask2Former fine-tuned cells and 23 in-house BWH cells quarantined, and three averages excluded. UNI2-h remains separate."
"uni2-h","UNI","UNI2-h (ViT-H/14-reg8)","tile","image","Towards a general-purpose foundation model for computational pathology","https://www.nature.com/articles/s41591-024-02857-3","https://huggingface.co/MahmoodLab/UNI2-h","https://github.com/mahmoodlab/UNI","H0-mini arXiv v3: eight EVA, nine HEST, six PLISM; PLISM repository: four leaf metrics; UNI repository: six public leaf benchmarks plus excluded HEST mean and internal IHC","official_primary_tables_extracted","EVA; HEST; PLISM; UNI official benchmark; PathoROB; THUNDER","Periodically audit the official model card, H0-mini paper and UNI/PLISM repositories for versioned updates","Do not attribute UNI v1 paper scores to UNI2-h. PLISM paper and repository values are version-specific and never merged. UNI repository endpoint metrics are unspecified, so its six public leaf values remain raw-registry-only."
"virchow","Virchow","Virchow (ViT-H/14)","tile","image","Virchow: A Million-Slide Digital Pathology Foundation Model","https://arxiv.org/abs/2309.07778","https://huggingface.co/paige-ai/Virchow","","PanMSK pan-cancer detection; PCam; WILDS; CRC normalized/no-normalization; MHIST; CoNSeP qualitative analysis; rare-cancer/pan-cancer detection; bladder FGFR3 and lung EGFR biomarkers","primary_paper_public_extracted","Virchow primary paper; Virchow2 Tables 2-3 comparator; H-optimus-1 report; HEST; PathoROB; THUNDER","Audit later official checkpoint revisions only","Original paper contributes 15 public tile leaves; six internal/non-downloadable cells are quarantined. Virchow2 adds 36 public comparator leaves. Protocols remain versioned and separate."
"virchow-2","Virchow","Virchow2 (ViT-H/14)","tile","image","Virchow2: Scaling Self-Supervised Mixed Magnification Models in Pathology","https://arxiv.org/abs/2408.00738","https://huggingface.co/paige-ai/Virchow2","","12 tile tasks: PanMSK at 20x/10x/5x; PCam; CRC normalized/no-normalization; WILDS; TILS; MHIST; DLBCL; MIDOG; plus 10 HEST gene-expression tasks","primary_paper_public_extracted","Virchow2 Tables 2-3; HEST; PathoROB; THUNDER","Periodically audit the official model card for versioned updates","36 public paper leaves extracted; six PanMSK cells and six means quarantined. Mixed magnification, CLS/CLS+Mean, and random-forest HEST are not interchangeable with ridge/PCA suite rows."
"virchow-2g","Virchow","Virchow2G (ViT-G/14)","tile","image","Virchow2: Scaling Self-Supervised Mixed Magnification Models in Pathology","https://arxiv.org/abs/2408.00738","","","Eight public OOD tile tasks and ten public HEST tasks, each reported for CLS and CLS+Mean; three internal PanMSK magnifications","primary_paper_public_extracted","Virchow2G paper Tables 2-3","Audit any later official Virchow2G release; no official checkpoint was found","36 public leaf cells extracted. Six PanMSK cells and six table averages are quarantined. Virchow2 and Virchow comparator columns are also preserved under their own model identities."
"h-optimus-0","H-Optimus","H-optimus-0 (ViT-g/14)","tile","image","H-optimus-0 software release and evaluation report","https://github.com/bioptimus/releases/tree/main/models/h-optimus/v0","https://huggingface.co/bioptimus/H-optimus-0","https://github.com/bioptimus/releases/tree/main/models/h-optimus/v0","Tile: CAM17-WILDS; CRC normalized/no-normalization; MHIST; TCGA-Uniform. Slide: CRC MSI on FR-CRC-Bio and PAIP; gastric MSI; Camelyon16 and SLN-Breast metastasis; Yale HER2","primary_report_public_extracted","H-optimus-1 first-party report; Virchow2 comparator tables; HEST; PathoROB; THUNDER","Audit later official report revisions only","Public leaves are extracted from exact first-party report and Virchow2 comparator protocols. Proprietary or access-ambiguous slide cohorts remain quarantined."
"h-optimus-1","H-Optimus","H-optimus-1 (ViT-g/14)","tile","image","H-optimus-1: A foundation model for computational histopathology","https://doi.org/10.1158/1538-7445.AM2026-LB174","https://huggingface.co/bioptimus/H-optimus-1","","13 downstream tasks across 15 datasets: slide biomarkers/mutations; tile classification; nine-organ HEST spatial gene expression","primary_report_public_extracted","Bioptimus first-party H-optimus-1 benchmark report; HEST; PathoROB; THUNDER","Audit a later peer-reviewed full paper when available","First-party task tables contribute 19 public leaves for H-optimus-1; access-ambiguous/internal cohorts and aggregate means are quarantined. Proprietary pretraining remains a limitation."
"h0-mini","H-Optimus","H0-mini (ViT-B/14 distilled from H-optimus-0)","tile","image","Distilling foundation models for robust and efficient models in digital pathology","https://arxiv.org/abs/2501.16239v3","https://huggingface.co/bioptimus/H0-mini","https://github.com/owkin/plism-benchmark","H0-mini arXiv v3: eight EVA, nine HEST, six PLISM public leaf cells plus 18 private BreastBm cells; PLISM repository: four refreshed public leaf metrics","official_primary_tables_extracted","EVA; HEST; PLISM; PathoROB; THUNDER","Periodically audit the official model card, paper and PLISM repository for versioned updates","EVA table flags overlap-based overestimation for some comparator models. H0-mini uses public TCGA distillation data, so TCGA-derived downstream contamination must be checked task by task. BreastBm is private and remains quarantined; PLISM paper and repository versions remain distinct."
"prov-gigapath-tile","Prov-GigaPath","Prov-GigaPath tile encoder (ViT-g/14)","tile","image","A whole-slide foundation model for digital pathology from real-world data","https://www.nature.com/articles/s41586-024-07441-w","https://huggingface.co/prov-gigapath/prov-gigapath","https://github.com/prov-gigapath/prov-gigapath","Nature tile-pretraining ablations; runnable public PCam linear-probe example; first stage of slide-level benchmarks; separately reported by HEST, PathoROB and THUNDER","primary_sources_audited_no_eligible_tile_only_scores","HEST; PathoROB; THUNDER are external reports, not the Prov-GigaPath primary-paper tile benchmark","Re-audit only if authors publish an exact PCam output or another official frozen tile-only result table","Nature reports no exact public tile-encoder-only leaf. Supplementary Fig. 4 is graphical and evaluates tile-pretraining choices through a task-trained LongNet WSI stack; five exact TCGA Table 2 rows fine-tune LongNet. Official repo/HF provide PCam code and embeddings but no reference score. External MIL and slide-encoder results must not be attributed to the tile encoder."
"prov-gigapath-slide","Prov-GigaPath","Prov-GigaPath LongNet slide encoder","slide","image; optional report-aligned variant","A whole-slide foundation model for digital pathology from real-world data","https://www.nature.com/articles/s41586-024-07441-w","https://huggingface.co/prov-gigapath/prov-gigapath","https://github.com/prov-gigapath/prov-gigapath","26 slide tasks plus report-aligned zero-shot NSCLC, COADREAD and five mutation tasks; five Table 2 rows use public TCGA-LUAD and the rest use Providence/Prov-Path","primary_paper_audited_no_eligible_scores","Supplementary Table 2 quarantine ledger; report-aligned figure audit","Only re-audit if authors release exact report-aligned result tables","All 26 exact Table 2 cells are fine-tuned and quarantined; 21 are also private. Report-aligned zero-shot uses a proprietary Providence holdout and is graphical without exact numeric labels or repository result artifacts, so values are not approximated."
