model_id,reported_model_alias,model_revision,evaluation_id,value,normalized_score,suite_id,metric,reference_url,source_locator,extraction_date,review_status,uncertainty,lineage,audit_status
h-optimus-1,H-Optimus-1,not_reported,hest.idc.gene_expression,0.6024,80.12,hest,pearson_r,https://github.com/mahmoodlab/HEST/blob/3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3/README.md,table=HEST-Benchmark results|table_date=2026-04-03|model_row=H-Optimus-1|task_column=IDC,2026-08-05,machine_parsed_single_source,not_reported,hest@3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3:README.md -> parse_hest_scores -> scores.csv,parsed_primary_source
h-optimus-1,H-Optimus-1,not_reported,hest.prad.gene_expression,0.3781,68.905,hest,pearson_r,https://github.com/mahmoodlab/HEST/blob/3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3/README.md,table=HEST-Benchmark results|table_date=2026-04-03|model_row=H-Optimus-1|task_column=PRAD,2026-08-05,machine_parsed_single_source,not_reported,hest@3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3:README.md -> parse_hest_scores -> scores.csv,parsed_primary_source
h-optimus-1,H-Optimus-1,not_reported,hest.paad.gene_expression,0.4964,74.82,hest,pearson_r,https://github.com/mahmoodlab/HEST/blob/3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3/README.md,table=HEST-Benchmark results|table_date=2026-04-03|model_row=H-Optimus-1|task_column=PAAD,2026-08-05,machine_parsed_single_source,not_reported,hest@3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3:README.md -> parse_hest_scores -> scores.csv,parsed_primary_source
h-optimus-1,H-Optimus-1,not_reported,hest.skcm.gene_expression,0.6589,82.945,hest,pearson_r,https://github.com/mahmoodlab/HEST/blob/3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3/README.md,table=HEST-Benchmark results|table_date=2026-04-03|model_row=H-Optimus-1|task_column=SKCM,2026-08-05,machine_parsed_single_source,not_reported,hest@3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3:README.md -> parse_hest_scores -> scores.csv,parsed_primary_source
h-optimus-1,H-Optimus-1,not_reported,hest.coad.gene_expression,0.3195,65.975,hest,pearson_r,https://github.com/mahmoodlab/HEST/blob/3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3/README.md,table=HEST-Benchmark results|table_date=2026-04-03|model_row=H-Optimus-1|task_column=COAD,2026-08-05,machine_parsed_single_source,not_reported,hest@3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3:README.md -> parse_hest_scores -> scores.csv,parsed_primary_source
h-optimus-1,H-Optimus-1,not_reported,hest.read.gene_expression,0.2421,62.105,hest,pearson_r,https://github.com/mahmoodlab/HEST/blob/3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3/README.md,table=HEST-Benchmark results|table_date=2026-04-03|model_row=H-Optimus-1|task_column=READ,2026-08-05,machine_parsed_single_source,not_reported,hest@3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3:README.md -> parse_hest_scores -> scores.csv,parsed_primary_source
h-optimus-1,H-Optimus-1,not_reported,hest.ccrcc.gene_expression,0.2533,62.665,hest,pearson_r,https://github.com/mahmoodlab/HEST/blob/3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3/README.md,table=HEST-Benchmark results|table_date=2026-04-03|model_row=H-Optimus-1|task_column=CCRCC,2026-08-05,machine_parsed_single_source,not_reported,hest@3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3:README.md -> parse_hest_scores -> scores.csv,parsed_primary_source
h-optimus-1,H-Optimus-1,not_reported,hest.lung.gene_expression,0.5779,78.895,hest,pearson_r,https://github.com/mahmoodlab/HEST/blob/3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3/README.md,table=HEST-Benchmark results|table_date=2026-04-03|model_row=H-Optimus-1|task_column=LUNG,2026-08-05,machine_parsed_single_source,not_reported,hest@3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3:README.md -> parse_hest_scores -> scores.csv,parsed_primary_source
h-optimus-1,H-Optimus-1,not_reported,hest.lymph_idc.gene_expression,0.2774,63.87,hest,pearson_r,https://github.com/mahmoodlab/HEST/blob/3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3/README.md,table=HEST-Benchmark results|table_date=2026-04-03|model_row=H-Optimus-1|task_column=LYMPH_IDC,2026-08-05,machine_parsed_single_source,not_reported,hest@3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3:README.md -> parse_hest_scores -> scores.csv,parsed_primary_source
genbio-pathfm,GenBio-PathFM,not_reported,hest.idc.gene_expression,0.5872,79.36,hest,pearson_r,https://github.com/mahmoodlab/HEST/blob/3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3/README.md,table=HEST-Benchmark results|table_date=2026-04-03|model_row=GenBio-PathFM|task_column=IDC,2026-08-05,machine_parsed_single_source,not_reported,hest@3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3:README.md -> parse_hest_scores -> scores.csv,parsed_primary_source
