rank,metric,transform,method,hyperparameters,value,coverage,shard_id
1,MedAPE,logit,BenchReg,"{""min_r2"": 0.3, ""top_k"": 7}",1.9077163854773675,0.7190429205722743,0116__logit__benchreg__hp08_094d04a4c0
2,MedAPE,probit,BenchReg,"{""min_r2"": 0.3, ""top_k"": 7}",1.9213124108225308,0.7197335964479527,0263__probit__benchreg__hp08_094d04a4c0
3,MedAPE,logit,BenchReg,"{""min_r2"": 0.2, ""top_k"": 7}",1.9437472582574575,0.7291563887518501,0115__logit__benchreg__hp07_03e326105e
4,MedAPE,probit,BenchReg,"{""min_r2"": 0.2, ""top_k"": 7}",1.9438441290845392,0.7295017266896892,0262__probit__benchreg__hp07_03e326105e
5,MedAPE,logit,BenchReg,"{""min_r2"": 0.1, ""top_k"": 7}",1.944408703820046,0.733744449925999,0114__logit__benchreg__hp06_ff6afdac80
6,MedAPE,probit,BenchReg,"{""min_r2"": 0.1, ""top_k"": 7}",1.946231508824932,0.7339911198815984,0261__probit__benchreg__hp06_ff6afdac80
7,MedAPE,probit,ModelReg,"{""min_r2"": 0.3, ""top_k"": 7}",1.9471644087121567,0.5740009866798224,0272__probit__modelreg__hp08_094d04a4c0
8,MedAPE,asinh,BenchReg,"{""min_r2"": 0.3, ""top_k"": 7}",1.9502110958760324,0.7192895905278737,0165__asinh__benchreg__hp08_094d04a4c0
9,MedAPE,log,BenchReg,"{""min_r2"": 0.2, ""top_k"": 7}",1.951523304957226,0.727528367044894,0066__log__benchreg__hp07_03e326105e
10,MedAPE,asinh,BenchReg,"{""min_r2"": 0.2, ""top_k"": 7}",1.9521275496367492,0.7289097187962507,0164__asinh__benchreg__hp07_03e326105e
11,MedAPE,probit,BenchReg,"{""min_r2"": 0.3, ""top_k"": 5}",1.9523587598139216,0.7080907745436605,0260__probit__benchreg__hp05_2e48f809eb
12,MedAPE,quantile,BenchReg,"{""min_r2"": 0.3, ""top_k"": 7}",1.9563417621307155,0.7165762210162803,0312__quantile__benchreg__hp08_094d04a4c0
13,MedAPE,asinh,BenchReg,"{""min_r2"": 0.1, ""top_k"": 7}",1.9607827466731038,0.7342871238283177,0163__asinh__benchreg__hp06_ff6afdac80
14,MedAPE,sqrt,BenchReg,"{""min_r2"": 0.3, ""top_k"": 7}",1.9664503160799978,0.7186975826344352,0214__sqrt__benchreg__hp08_094d04a4c0
15,MedAPE,probit,BenchReg,"{""min_r2"": 0.2, ""top_k"": 5}",1.970745417501539,0.7170202269363591,0259__probit__benchreg__hp04_5b6bec7f8b
1,MedAE,logit,BenchReg,"{""min_r2"": 0.3, ""top_k"": 7}",1.4429854610390933,0.7190429205722743,0116__logit__benchreg__hp08_094d04a4c0
2,MedAE,log,BenchReg,"{""min_r2"": 0.2, ""top_k"": 7}",1.4649331779308739,0.727528367044894,0066__log__benchreg__hp07_03e326105e
3,MedAE,logit,BenchReg,"{""min_r2"": 0.1, ""top_k"": 7}",1.4675615808420837,0.733744449925999,0114__logit__benchreg__hp06_ff6afdac80
4,MedAE,logit,BenchReg,"{""min_r2"": 0.2, ""top_k"": 7}",1.4679193562113042,0.7291563887518501,0115__logit__benchreg__hp07_03e326105e
5,MedAE,probit,BenchReg,"{""min_r2"": 0.3, ""top_k"": 7}",1.468481495517123,0.7197335964479527,0263__probit__benchreg__hp08_094d04a4c0
6,MedAE,log,BenchReg,"{""min_r2"": 0.3, ""top_k"": 7}",1.4709177911588238,0.7172668968919585,0067__log__benchreg__hp08_094d04a4c0
7,MedAE,quantile,BenchReg,"{""min_r2"": 0.3, ""top_k"": 7}",1.4710796563405495,0.7165762210162803,0312__quantile__benchreg__hp08_094d04a4c0
8,MedAE,probit,BenchReg,"{""min_r2"": 0.3, ""top_k"": 5}",1.4714762289292338,0.7080907745436605,0260__probit__benchreg__hp05_2e48f809eb
9,MedAE,logit,BenchReg,"{""min_r2"": 0.3, ""top_k"": 5}",1.4718106829728903,0.7069067587567834,0113__logit__benchreg__hp05_2e48f809eb
10,MedAE,probit,BenchReg,"{""min_r2"": 0.1, ""top_k"": 5}",1.474995317208851,0.7211149481993093,0258__probit__benchreg__hp03_49a7a66d94
11,MedAE,sqrt,BenchReg,"{""min_r2"": 0.2, ""top_k"": 7}",1.476543780511303,0.7284657128761717,0213__sqrt__benchreg__hp07_03e326105e
12,MedAE,probit,BenchReg,"{""min_r2"": 0.2, ""top_k"": 7}",1.4768561025592462,0.7295017266896892,0262__probit__benchreg__hp07_03e326105e
13,MedAE,probit,BenchReg,"{""min_r2"": 0.1, ""top_k"": 7}",1.4798205806068516,0.7339911198815984,0261__probit__benchreg__hp06_ff6afdac80
14,MedAE,sqrt,BenchReg,"{""min_r2"": 0.2, ""top_k"": 5}",1.480509994246276,0.714997533300444,0210__sqrt__benchreg__hp04_5b6bec7f8b
15,MedAE,asinh,BenchReg,"{""min_r2"": 0.2, ""top_k"": 7}",1.4821858390141074,0.7289097187962507,0164__asinh__benchreg__hp07_03e326105e
