evaluation_id,suite_id,mds_dimension_1,mds_dimension_2
eva.leaderboard.bach.validation,eva,0.10591975671754811,-0.0019203097654234764
eva.leaderboard.bracs.validation,eva,0.14053621950205447,-0.002772195227713059
eva.leaderboard.breakhis.validation,eva,0.12463559644031484,-0.002291835123167527
eva.leaderboard.camelyon16_small.test,eva,0.16329556279523305,-0.003249015027623924
eva.leaderboard.camelyon16_small.validation,eva,0.0838464095641723,-0.001471147387529736
eva.leaderboard.consep.validation,eva,0.0730143559217238,-0.0009656069001422298
eva.leaderboard.crc.validation,eva,0.11993341032723431,-0.0021195063944432183
eva.leaderboard.gleason_arvaniti.validation,eva,0.14123338835148894,-0.002786409423586251
eva.leaderboard.mhist.test,eva,0.08619275560643208,-0.0012852344715543714
eva.leaderboard.monusac.test,eva,0.07607569705273824,-0.001130591847514202
eva.leaderboard.panda_small.test,eva,0.1150417381535114,-0.0020443526954534714
eva.leaderboard.panda_small.validation,eva,0.033298662451012546,-0.00011328337435455586
eva.leaderboard.patch_camelyon.test,eva,0.15212312372863035,-0.0030279257660238996
eva.leaderboard.patch_camelyon.validation,eva,0.13324254799970067,-0.0027017439667335412
eva.leaderboard.patch_camelyon_10shot.test,eva,0.10554468544737365,-0.001937383856671853
hest.ccrcc.gene_expression,hest,0.028854925660350066,-0.0003316488254058992
hest.coad.gene_expression,hest,0.07470822172548766,-0.0014351272540695757
hest.idc.gene_expression,hest,0.14859280085872567,-0.0031120786472026833
hest.lung.gene_expression,hest,0.09979442086595494,-0.0020259824071533926
hest.lymph_idc.gene_expression,hest,0.07181957050532117,-0.0011552410252817493
hest.paad.gene_expression,hest,0.14055205805539386,-0.002976383511047675
hest.prad.gene_expression,hest,-0.0832205518451181,0.002506617057292011
hest.read.gene_expression,hest,0.12390209423724186,-0.002578436141147092
hest.skcm.gene_expression,hest,0.14190007479951383,-0.002955760125900043
pathobench.exaone2025.bc_therapy.er-status,pathobench,0.3654512152507723,0.31332876502953233
pathobench.exaone2025.bc_therapy.grade,pathobench,0.023820486844069375,0.33958893654159555
pathobench.exaone2025.bc_therapy.her2-status,pathobench,0.16042288492203988,-0.29095151340227293
pathobench.exaone2025.bc_therapy.residual-cancer-burden,pathobench,0.19338275279371403,-0.606021776802054
pathobench.exaone2025.bcnb.er,pathobench,-0.006227191644181259,-0.5074738350283647
pathobench.exaone2025.bcnb.her2,pathobench,0.3594885803335603,0.17803300036724518
pathobench.exaone2025.bcnb.pr,pathobench,-0.1519129637273735,-0.5899558758998069
pathobench.exaone2025.boehmk_.pfs,pathobench,0.1710546377795373,0.13406020289242926
pathobench.exaone2025.bracs.slidelevel-coarse,pathobench,-0.7026870472798624,0.2981434997075559
pathobench.exaone2025.bracs.slidelevel-fine,pathobench,-0.687319996507063,0.3098548547615892
pathobench.exaone2025.cptac_brca.immune-class,pathobench,-0.4356614247736652,0.12489472538279453
pathobench.exaone2025.cptac_brca.pik3ca-mutation,pathobench,-0.49267596709590356,0.09294183481007011
pathobench.exaone2025.cptac_brca.tp53-mutation,pathobench,-0.7075206908277807,0.2242883709461888
pathobench.exaone2025.cptac_ccrcc.bap1-mutation,pathobench,0.35239347775216223,0.2852053169760057
pathobench.exaone2025.cptac_ccrcc.immune-class,pathobench,0.20634062363455885,0.014964085920050387
pathobench.exaone2025.cptac_ccrcc.os,pathobench,0.3033113733860917,0.08689904828162778
pathobench.exaone2025.cptac_ccrcc.pbrm1-mutation,pathobench,-0.44712439793243897,0.27296705875486227
pathobench.exaone2025.cptac_ccrcc.vhl-mutation,pathobench,0.13724442257155306,-0.10845892073497466
pathobench.exaone2025.cptac_coad.acvr2a-mutation,pathobench,0.23554077402259938,-0.5267061858935446
pathobench.exaone2025.cptac_coad.apc-mutation,pathobench,0.02166807146213723,-0.5601396613454722
pathobench.exaone2025.cptac_coad.arid1a-mutation,pathobench,-0.10202502465409477,0.27914113143055513
pathobench.exaone2025.cptac_coad.immune-class,pathobench,0.2358561511686038,0.20163865478452622
pathobench.exaone2025.cptac_coad.kras-mutation,pathobench,0.09740289207743023,0.2570808977814544
pathobench.exaone2025.cptac_coad.msi-h,pathobench,-0.11151610582430078,-0.6549656799438248
pathobench.exaone2025.cptac_coad.pik3ca-mutation,pathobench,-0.25615601154650025,0.25320573366370897
pathobench.exaone2025.cptac_coad.setd1b-mutation,pathobench,-0.025625184252418987,-0.6841180003543184
pathobench.exaone2025.cptac_coad.tp53-mutation,pathobench,0.004049698754368763,-0.715902497033353
pathobench.exaone2025.cptac_gbm.egfr-mutation,pathobench,-0.5245167319336884,-0.010653829106430686
pathobench.exaone2025.cptac_gbm.immune-class,pathobench,-0.28738736970748613,0.47968667729590597
pathobench.exaone2025.cptac_gbm.tp53-mutation,pathobench,-0.617304728252264,0.08156822312388809
pathobench.exaone2025.cptac_hnsc.casp8-mutation,pathobench,-0.07628524282524286,0.2561845965405207
pathobench.exaone2025.cptac_hnsc.histologic-grade,pathobench,-0.05189287695603988,-0.14772313883483787
pathobench.exaone2025.cptac_hnsc.immune-class,pathobench,0.05975616388951585,0.2751001256377966
pathobench.exaone2025.cptac_hnsc.os,pathobench,-0.39942802021518875,-0.09146410715121064
pathobench.exaone2025.cptac_lscc.arid1a-mutation,pathobench,-0.5523512342465527,-0.31360181142616417
pathobench.exaone2025.cptac_lscc.histologic-grade,pathobench,-0.7007995418986722,0.14510146731527862
pathobench.exaone2025.cptac_lscc.immune-class,pathobench,0.211427997654358,0.3566781067036231
pathobench.exaone2025.cptac_lscc.keap1-mutation,pathobench,-0.23096680807820766,0.0941528716412522
pathobench.exaone2025.cptac_luad.egfr-mutation,pathobench,0.05383991989303214,-0.08913524912803573
pathobench.exaone2025.cptac_luad.immune-class,pathobench,-0.49513645705092785,-0.14819375640800608
pathobench.exaone2025.cptac_luad.kras-mutation,pathobench,-0.1001952355652833,-0.21207999725688131
pathobench.exaone2025.cptac_luad.os,pathobench,0.2863509882293028,0.24889002216285736
pathobench.exaone2025.cptac_luad.stk11-mutation,pathobench,0.04749609036856936,0.33219737465739346
pathobench.exaone2025.cptac_luad.tp53-mutation,pathobench,-0.06804818403437586,0.34577460921411146
pathobench.exaone2025.cptac_ov.immune-class,pathobench,-0.475800762350914,-0.09031979355321121
pathobench.exaone2025.cptac_pda.immune-class,pathobench,0.0772916738036597,-0.21570688067413485
