model_id,provider,family,model_type,modality,parameter_count,release_date,primary_source_url,verification_status,observed_scores,represented_suites
atlas,Aignostics,Atlas,tile_encoder,vision,,2025-01-09,https://arxiv.org/abs/2501.05409,verified,3,pathorob
atlas-2,,,,,,,,,3,pathorob
chief-patch-mean,Harvard Medical School,CHIEF,tile_encoder,vision,,2024-09-04,https://www.nature.com/articles/s41586-024-07894-z,verified,42,pathobench
chief-slide,Harvard Medical School,CHIEF,slide_encoder,vision,,2024-09-04,https://www.nature.com/articles/s41586-024-07894-z,verified,122,pathobench
ciga,Ciga et al.,Ciga,tile_encoder,vision,25600000,2020-11-27,https://arxiv.org/abs/2011.13971,verified,3,pathorob
clip-b,OpenAI,CLIP,tile_encoder,vision_language,86000000,2021-02-26,https://arxiv.org/abs/2103.00020,verified,16,thunder
clip-l,OpenAI,CLIP,tile_encoder,vision_language,304000000,2021-02-26,https://arxiv.org/abs/2103.00020,verified,16,thunder
conch,CONCH,CONCH,tile_encoder,vision_language,86000000,2023-07-24,https://www.nature.com/articles/s41591-024-02856-4,verified,28,hest;pathorob;thunder
conch-1.5,CONCH,CONCH,tile_encoder,vision_language,304000000,2024-11-29,https://www.nature.com/articles/s41591-025-03982-3,verified,70,hest;pathobench;pathorob;thunder
ctranspath,CTransPath,CTransPath,tile_encoder,vision,28000000,2021-06-04,https://doi.org/10.1016/j.media.2022.102559,verified,12,hest;pathorob
dinov2-b,Meta AI,DINOv2,tile_encoder,vision,86000000,2023-04-14,https://arxiv.org/abs/2304.07193,verified,16,thunder
dinov2-l,Meta AI,DINOv2,tile_encoder,vision,304000000,2023-04-14,https://arxiv.org/abs/2304.07193,verified,16,thunder
dinov2-vit-g-14-initial,Meta AI,DINOv2,tile_encoder,vision,1100000000,2023-04-14,https://arxiv.org/abs/2304.07193,verified,12,eva
dinov2-vit-g-14-natural-images,Meta AI,DINOv2,tile_encoder,vision,1100000000,2023-04-14,https://arxiv.org/abs/2304.07193,verified,12,eva
dinov3-b,Meta AI,DINOv3,tile_encoder,vision,86000000,2025-08-13,https://arxiv.org/abs/2508.10104,verified,16,thunder
dinov3-l,Meta AI,DINOv3,tile_encoder,vision,304000000,2025-08-13,https://arxiv.org/abs/2508.10104,verified,16,thunder
dinov3-s,Meta AI,DINOv3,tile_encoder,vision,21000000,2025-08-13,https://arxiv.org/abs/2508.10104,verified,16,thunder
