model_id,eva.leaderboard.bach.validation,eva.leaderboard.bracs.validation,eva.leaderboard.breakhis.validation,eva.leaderboard.camelyon16_small.test,eva.leaderboard.camelyon16_small.validation,eva.leaderboard.consep.validation,eva.leaderboard.crc.validation,eva.leaderboard.gleason_arvaniti.validation,eva.leaderboard.mhist.test,eva.leaderboard.monusac.test,eva.leaderboard.panda_small.test,eva.leaderboard.panda_small.validation,eva.leaderboard.patch_camelyon.test,eva.leaderboard.patch_camelyon.validation,eva.leaderboard.patch_camelyon_10shot.test,hest.ccrcc.gene_expression,hest.coad.gene_expression,hest.hoptimus1report2025.ccrcc.gene_expression,hest.hoptimus1report2025.coad.gene_expression,hest.hoptimus1report2025.idc.gene_expression,hest.hoptimus1report2025.lung.gene_expression,hest.hoptimus1report2025.lymph_idc.gene_expression,hest.hoptimus1report2025.paad.gene_expression,hest.hoptimus1report2025.prad.gene_expression,hest.hoptimus1report2025.read.gene_expression,hest.hoptimus1report2025.skcm.gene_expression,hest.idc.gene_expression,hest.lung.gene_expression,hest.lymph_idc.gene_expression,hest.paad.gene_expression,hest.prad.gene_expression,hest.read.gene_expression,hest.skcm.gene_expression,hoptimus1report2025.braf_crc.cptac_coad.abmil_auc,hoptimus1report2025.cam17_wilds.linear_probe_top1,hoptimus1report2025.crc_no_norm.linear_probe_top1,hoptimus1report2025.kras_crc.cptac_coad.abmil_auc,hoptimus1report2025.meta_bc.camelyon16_test.abmil_auc,hoptimus1report2025.mhist.linear_probe_top1,hoptimus1report2025.msi_crc.cptac_coad.abmil_auc,hoptimus1report2025.msi_crc.paip2020.abmil_auc,hoptimus1report2025.msi_gc.tcga_stad_test.abmil_auc,hoptimus1report2025.tcga_uniform.linear_probe_top1,pathobench.exaone2025.bc_therapy.er-status,pathobench.exaone2025.bc_therapy.grade,pathobench.exaone2025.bc_therapy.her2-status,pathobench.exaone2025.bc_therapy.residual-cancer-burden,pathobench.exaone2025.bcnb.er,pathobench.exaone2025.bcnb.her2,pathobench.exaone2025.bcnb.pr,pathobench.exaone2025.boehmk_.pfs,pathobench.exaone2025.bracs.slidelevel-coarse,pathobench.exaone2025.bracs.slidelevel-fine,pathobench.exaone2025.cptac_brca.immune-class,pathobench.exaone2025.cptac_brca.pik3ca-mutation,pathobench.exaone2025.cptac_brca.tp53-mutation,pathobench.exaone2025.cptac_ccrcc.bap1-mutation,pathobench.exaone2025.cptac_ccrcc.immune-class,pathobench.exaone2025.cptac_ccrcc.os,pathobench.exaone2025.cptac_ccrcc.pbrm1-mutation,pathobench.exaone2025.cptac_ccrcc.vhl-mutation,pathobench.exaone2025.cptac_coad.acvr2a-mutation,pathobench.exaone2025.cptac_coad.apc-mutation,pathobench.exaone2025.cptac_coad.arid1a-mutation,pathobench.exaone2025.cptac_coad.immune-class,pathobench.exaone2025.cptac_coad.kras-mutation,pathobench.exaone2025.cptac_coad.msi-h,pathobench.exaone2025.cptac_coad.pik3ca-mutation,pathobench.exaone2025.cptac_coad.setd1b-mutation,pathobench.exaone2025.cptac_coad.tp53-mutation,pathobench.exaone2025.cptac_gbm.egfr-mutation,pathobench.exaone2025.cptac_gbm.immune-class,pathobench.exaone2025.cptac_gbm.tp53-mutation,pathobench.exaone2025.cptac_hnsc.casp8-mutation,pathobench.exaone2025.cptac_hnsc.histologic-grade,pathobench.exaone2025.cptac_hnsc.immune-class,pathobench.exaone2025.cptac_hnsc.os,pathobench.exaone2025.cptac_lscc.arid1a-mutation,pathobench.exaone2025.cptac_lscc.histologic-grade,pathobench.exaone2025.cptac_lscc.immune-class,pathobench.exaone2025.cptac_lscc.keap1-mutation,pathobench.exaone2025.cptac_luad.egfr-mutation,pathobench.exaone2025.cptac_luad.immune-class,pathobench.exaone2025.cptac_luad.kras-mutation,pathobench.exaone2025.cptac_luad.os,pathobench.exaone2025.cptac_luad.stk11-mutation,pathobench.exaone2025.cptac_luad.tp53-mutation,pathobench.exaone2025.cptac_ov.immune-class,pathobench.exaone2025.cptac_pda.immune-class,pathobench.exaone2025.cptac_pda.os,pathobench.exaone2025.cptac_pda.smad4-mutation,pathobench.exaone2025.cptac_ucec.ctnnb1-mutation,pathobench.exaone2025.cptac_ucec.immune-class,pathobench.exaone2025.cptac_ucec.pten-mutation,pathobench.exaone2025.ebrains.diagnosis,pathobench.exaone2025.ebrains.diagnosis-group,pathobench.exaone2025.ebrains.idh-status,pathobench.exaone2025.hancook.grading-scc-conventional-keratinizing,pathobench.exaone2025.hancook.grading-scc-conventional-nonkeratinizing,pathobench.exaone2025.hancook.lymphovascular-invasion-l,pathobench.exaone2025.hancook.os-treatment-rdc,pathobench.exaone2025.hancook.perineural-invasion-pn,pathobench.exaone2025.hancook.primarily-metastasis,pathobench.exaone2025.hancook.primary-tumor-site,pathobench.exaone2025.hancook.vascular-invasion-v,pathobench.exaone2025.herroi.response,pathobench.exaone2025.imp.grade,pathobench.exaone2025.mbc_.os,pathobench.exaone2025.mbc_.recist,pathobench.exaone2025.mut-het-rcc.bap1-mutation,pathobench.exaone2025.mut-het-rcc.pbrm1-mutation,pathobench.exaone2025.mut-het-rcc.setd2-mutation,pathobench.exaone2025.nadt.response,pathobench.exaone2025.natbrca.lymphovascular-invasion,pathobench.exaone2025.ovarian.response,pathobench.exaone2025.panda.isup-grade,pathobench.exaone2025.sr386_.braf-mutant-binary,pathobench.exaone2025.sr386_.died-within-5-years,pathobench.exaone2025.sr386_.mmr-loss-binary,pathobench.exaone2025.sr386_.os,pathobench.exaone2025.sr386_.ras-mutant-binary,pathobench.exaone2025.visiomel.relapse-noprev-melanoma,pathobench.exaone2025.visiomel.relapse-overall,pathobench.threads2025.bcnb.er,pathobench.threads2025.bcnb.her2,pathobench.threads2025.bcnb.pr,pathobench.threads2025.boehmk_.pfs,pathobench.threads2025.bracs.slidelevel-coarse,pathobench.threads2025.bracs.slidelevel-fine,pathobench.threads2025.cptac_brca.pik3ca-mutation,pathobench.threads2025.cptac_brca.tp53-mutation,pathobench.threads2025.cptac_ccrcc.bap1-mutation,pathobench.threads2025.cptac_ccrcc.os,pathobench.threads2025.cptac_ccrcc.pbrm1-mutation,pathobench.threads2025.cptac_coad.kras-mutation,pathobench.threads2025.cptac_coad.tp53-mutation,pathobench.threads2025.cptac_gbm.egfr-mutation,pathobench.threads2025.cptac_gbm.tp53-mutation,pathobench.threads2025.cptac_hnsc.casp8-mutation,pathobench.threads2025.cptac_hnsc.os,pathobench.threads2025.cptac_lscc.arid1a-mutation,pathobench.threads2025.cptac_lscc.keap1-mutation,pathobench.threads2025.cptac_luad.egfr-mutation,pathobench.threads2025.cptac_luad.os,pathobench.threads2025.cptac_luad.stk11-mutation,pathobench.threads2025.cptac_luad.tp53-mutation,pathobench.threads2025.cptac_pda.os,pathobench.threads2025.cptac_pda.smad4-mutation,pathobench.threads2025.ebrains.diagnosis,pathobench.threads2025.ebrains.diagnosis-group,pathobench.threads2025.imp.grade,pathobench.threads2025.mbc_.os,pathobench.threads2025.mbc_.recist,pathobench.threads2025.mut-het-rcc.bap1-mutation,pathobench.threads2025.mut-het-rcc.pbrm1-mutation,pathobench.threads2025.mut-het-rcc.setd2-mutation,pathobench.threads2025.nadt.response,pathobench.threads2025.natbrca.lymphovascular-invasion,pathobench.threads2025.ovarian.response,pathobench.threads2025.panda.isup-grade,pathobench.threads2025.sr386_.braf-mutant-binary,pathobench.threads2025.sr386_.died-within-5-years,pathobench.threads2025.sr386_.mmr-loss-binary,pathobench.threads2025.sr386_.os,pathobench.threads2025.sr386_.ras-mutant-binary,pathorob.camelyon.robustness_index,pathorob.nature2026.camelyon.clustering_score,pathorob.nature2026.tcga_4x4.clustering_score,pathorob.nature2026.tolkach_esca.clustering_score,pathorob.tcga_2x2.robustness_index,pathorob.tolkach_esca.robustness_index,thunder.bach.linear_probing,thunder.bracs.linear_probing,thunder.break_his.linear_probing,thunder.ccrcc.linear_probing,thunder.crc.linear_probing,thunder.esca.linear_probing,thunder.mhist.linear_probing,thunder.patch_camelyon.linear_probing,thunder.spider_breast.linear_probing,thunder.spider_colorectal.linear_probing,thunder.spider_skin.linear_probing,thunder.spider_thorax.linear_probing,thunder.tcga_crc_msi.linear_probing,thunder.tcga_tils.linear_probing,thunder.tcga_uniform.linear_probing,thunder.wilds.linear_probing
atlas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.5,83.3315,73.0573,94.195,82.6,93.8,,,,,,,,,,,,,,,,
chief-patch-mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.2,70.3,79.9,48,62.1,35,61.5,78.6,71.7,46.3,45.7,65.2,64.9,66.2,84.9,48.2,48,52.4,67.6,72.2,48.3,76.5,66.3,50.8,43.9,63.7,78.5,93.85,44.1,60.2,85,74.6,72.2,64.3,49.7,66.7,89.95,67,67.1,84,60.6,62.7,,,,,,,,,,,,,,,,,,,,,,
chief-slide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.4,74.3,64.4,57.1,87.2,72.2,81.5,45.4,88.4,83.4,68,62.3,82,64.1,56.5,43.5,47,56.1,76.2,61.3,77.7,59,68.7,84.4,64.3,71.1,66.4,73.4,64.4,82.5,40.9,76.4,62.6,56.5,47.8,64.1,67.5,62.7,71,72,63,46.6,84.3,67.2,59.7,49.5,54.6,41.7,71.4,56.9,57.4,97.5,98.5,96,72.5,67.9,64.7,50,73.1,68.2,86.1,64.5,68.3,98.8,57.5,63.5,85.2,78.1,73.8,63.9,56.6,70.8,94.4,77.8,70.3,84.4,60.6,69.6,75.8,80.6,88.3,71.9,81.8,52,70.4,45.2,64.7,83.2,74.5,62.6,52.2,64.9,65.9,74.3,86.2,49.3,47.4,53.5,65.6,71.7,46.2,82.4,70.4,51.7,39.3,66,84,95.7,46,61.5,85.2,78.1,74.3,68.5,54.2,62,94.9,73.6,68.3,83,60,65.2,,,,,,,,,,,,,,,,,,,,,,
ciga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,45.3624,46.1204,81.9504,51.1,69.3,,,,,,,,,,,,,,,,
clip-b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1,52.4,40,73.7,87.3,61,77.5,82.7,69,81.3,75.8,84.7,49,83.8,47.9,83.5
clip-l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.5,56.4,54.5,75.9,88.3,67.6,79.6,85.6,73.6,82.8,78.5,86.7,52,85,54.1,93.2
conch,,,,,,,,,,,,,,,,60.9,62.445,,,,,,,,,,76.815,76.61,62.535,72.34,67.74,58.01,78.935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.2,91.9624,78.6671,97.3318,82.4,95.1,84.4,60,68.8,88.1,93.4,80.1,79.7,90.6,82.1,87.9,87.3,91,64.4,88.1,68,97.2
conch-1.5,,,,,,,,,,,,,,,,60.88,64.01,,,,,,,,,,77.2,77.565,63.495,72.85,69.04,58,77.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.9,73.7,81,53.6,62,37.8,51.3,79.6,65.5,55.5,51.8,74.2,69,63.9,82.8,61.4,56.8,41.1,57.4,78.9,57.9,82.4,68.2,56.9,57.6,69.3,87,94.45,51,62.65,84.6,78.2,72.8,62,65.4,62.3,92.25,65,66.2,79.6,62.5,62.9,77.4,78.8151,81.8959,98.0132,83.2,95.1,76.8,62.4,75.3,87.4,93.8,82.7,81.2,91.4,81.6,87.4,87,92.1,62.3,89.9,69.4,96.7
ctranspath,,,,,,,,,,,,,,,,61.81,61.91,,,,,,,,,,74.965,75.685,62.045,71.57,67.755,54.84,75.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,53.7609,54.0309,95.5551,65.2,87.2,,,,,,,,,,,,,,,,
dinov2-b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.4,52.9,77.8,79.7,90.3,73.8,82.6,86.3,76,83.9,80.1,87.6,58.6,85.9,54.4,90.7
dinov2-l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.9,50.6,78.5,81.4,90.7,72.1,82.3,87.2,74,85.3,82.1,87.7,59.3,85.9,56.2,90.3
dinov2-vit-g-14-initial,47.4,41.3,42.5,52.6,,46.2,75.4,45.9,57.8,43.2,30.4,,76.3,,65.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dinov2-vit-g-14-natural-images,72.4,57.8,78.3,50,,56.5,94.3,74,85.5,61.4,50.9,,88.1,,72.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dinov3-b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.3,55.4,81.8,80.7,89.5,72.9,82.7,88,76.5,84.8,81.6,90,57.2,86.7,56.2,93.6
dinov3-l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.9,54.6,77.3,82.5,91.5,76,84.1,88.8,78.3,86.3,82.5,90.1,55.5,87,59.3,94.8
