model_id,evaluation_id,value,normalized_score,suite_id,metric,reference_url,source_locator,extraction_date,review_status,audit_status,lineage
atlas,pathorob.camelyon.robustness_index,0.785,78.5,pathorob,robustness_index,https://github.com/bifold-pathomics/PathoROB/blob/6583cf0b0d902c8cc032308262fa3a3befdc0687/README.md,table=Leaderboard: Robustness Index|source_snapshot_date=2026-04-02|model_row=Atlas|task_column=camelyon,2026-08-05,machine_parsed_single_source,parsed_primary_source,pathorob@6583cf0b0d902c8cc032308262fa3a3befdc0687:README.md -> parse_pathorob_scores -> scores.csv
atlas,pathorob.nature2026.all_datasets.apd_id,-1.0860661779749052,,pathorob,average_performance_drop_percent,https://www.nature.com/articles/s41467-026-73923-2,41467_2026_73923_MOESM4_ESM.xlsx|sheet=Fig-3d-correlation_apds_x_ri|row=2;ci_source=Fig-3c-apds,2026-08-06,machine_parsed_single_source,parsed_primary_source_analysis_ineligible,PMC13260997.1@sha256:07456f3ffc5270ea1d8d48a8f82c08a5be396c88f99cc0227968dad721943047 -> scripts/extract_pathorob_scores.py -> pathorob_nature2026_and_repo_examples.csv -> build_registry.py -> scores.csv
atlas,pathorob.nature2026.all_datasets.apd_ood,0.3309109680809159,,pathorob,average_performance_drop_percent,https://www.nature.com/articles/s41467-026-73923-2,41467_2026_73923_MOESM4_ESM.xlsx|sheet=Fig-3d-correlation_apds_x_ri|row=2;ci_source=Fig-3c-apds,2026-08-06,machine_parsed_single_source,parsed_primary_source_analysis_ineligible,PMC13260997.1@sha256:07456f3ffc5270ea1d8d48a8f82c08a5be396c88f99cc0227968dad721943047 -> scripts/extract_pathorob_scores.py -> pathorob_nature2026_and_repo_examples.csv -> build_registry.py -> scores.csv
atlas,pathorob.nature2026.camelyon.clustering_score,0.6666293008958415,83.3315,pathorob,clustering_score,https://www.nature.com/articles/s41467-026-73923-2,41467_2026_73923_MOESM4_ESM.xlsx|sheet=Fig-6b-clustering|row=16,2026-08-06,machine_parsed_single_source,parsed_primary_source,PMC13260997.1@sha256:07456f3ffc5270ea1d8d48a8f82c08a5be396c88f99cc0227968dad721943047 -> scripts/extract_pathorob_scores.py -> pathorob_nature2026_and_repo_examples.csv -> build_registry.py -> scores.csv
atlas,pathorob.nature2026.tcga_4x4.clustering_score,0.4611462156625066,73.0573,pathorob,clustering_score,https://www.nature.com/articles/s41467-026-73923-2,41467_2026_73923_MOESM4_ESM.xlsx|sheet=Fig-6b-clustering|row=36,2026-08-06,machine_parsed_single_source,parsed_primary_source,PMC13260997.1@sha256:07456f3ffc5270ea1d8d48a8f82c08a5be396c88f99cc0227968dad721943047 -> scripts/extract_pathorob_scores.py -> pathorob_nature2026_and_repo_examples.csv -> build_registry.py -> scores.csv
atlas,pathorob.nature2026.tolkach_esca.clustering_score,0.8839005866416392,94.195,pathorob,clustering_score,https://www.nature.com/articles/s41467-026-73923-2,41467_2026_73923_MOESM4_ESM.xlsx|sheet=Fig-6b-clustering|row=56,2026-08-06,machine_parsed_single_source,parsed_primary_source,PMC13260997.1@sha256:07456f3ffc5270ea1d8d48a8f82c08a5be396c88f99cc0227968dad721943047 -> scripts/extract_pathorob_scores.py -> pathorob_nature2026_and_repo_examples.csv -> build_registry.py -> scores.csv
atlas,pathorob.tcga_2x2.robustness_index,0.826,82.6,pathorob,robustness_index,https://github.com/bifold-pathomics/PathoROB/blob/6583cf0b0d902c8cc032308262fa3a3befdc0687/README.md,table=Leaderboard: Robustness Index|source_snapshot_date=2026-04-02|model_row=Atlas|task_column=tcga_2x2,2026-08-05,machine_parsed_single_source,parsed_primary_source,pathorob@6583cf0b0d902c8cc032308262fa3a3befdc0687:README.md -> parse_pathorob_scores -> scores.csv
atlas,pathorob.tolkach_esca.robustness_index,0.938,93.8,pathorob,robustness_index,https://github.com/bifold-pathomics/PathoROB/blob/6583cf0b0d902c8cc032308262fa3a3befdc0687/README.md,table=Leaderboard: Robustness Index|source_snapshot_date=2026-04-02|model_row=Atlas|task_column=tolkach_esca,2026-08-05,machine_parsed_single_source,parsed_primary_source,pathorob@6583cf0b0d902c8cc032308262fa3a3befdc0687:README.md -> parse_pathorob_scores -> scores.csv
atlas-2,pathorob.camelyon.robustness_index,0.94,94,pathorob,robustness_index,https://github.com/bifold-pathomics/PathoROB/blob/6583cf0b0d902c8cc032308262fa3a3befdc0687/README.md,table=Leaderboard: Robustness Index|source_snapshot_date=2026-04-02|model_row=Atlas 2|task_column=camelyon,2026-08-05,machine_parsed_single_source,reported_external,pathorob@6583cf0b0d902c8cc032308262fa3a3befdc0687:README.md -> parse_pathorob_scores -> scores.csv
atlas-2,pathorob.tcga_2x2.robustness_index,0.879,87.9,pathorob,robustness_index,https://github.com/bifold-pathomics/PathoROB/blob/6583cf0b0d902c8cc032308262fa3a3befdc0687/README.md,table=Leaderboard: Robustness Index|source_snapshot_date=2026-04-02|model_row=Atlas 2|task_column=tcga_2x2,2026-08-05,machine_parsed_single_source,reported_external,pathorob@6583cf0b0d902c8cc032308262fa3a3befdc0687:README.md -> parse_pathorob_scores -> scores.csv
