model_id,evaluation_id,suite_id,metric,status,normalized_score,native_score_estimate,model_observations,evaluation_observations,method,rank,comparison_rank,comparison_normalized_score,rank_sensitivity_absolute_difference
atlas,eva.leaderboard.bach.validation,eva,balanced_accuracy,imputed,90.931938,0.909319,6,19,logit_zscore_bias_als,1,2,87.861024,3.070915
atlas,eva.leaderboard.bracs.validation,eva,balanced_accuracy,imputed,67.973997,0.679740,6,15,logit_zscore_bias_als,1,2,64.871896,3.102101
atlas,eva.leaderboard.breakhis.validation,eva,balanced_accuracy,imputed,86.051466,0.860515,6,19,logit_zscore_bias_als,1,2,83.234785,2.816681
atlas,eva.leaderboard.camelyon16_small.test,eva,balanced_accuracy,imputed,89.459390,0.894594,6,19,logit_zscore_bias_als,1,2,84.926056,4.533334
atlas,eva.leaderboard.camelyon16_small.validation,eva,balanced_accuracy,imputed,96.395581,0.963956,6,15,logit_zscore_bias_als,1,2,95.602954,0.792627
atlas,eva.leaderboard.consep.validation,eva,dice,imputed,67.322533,0.673225,6,19,logit_zscore_bias_als,1,2,64.476718,2.845815
atlas,eva.leaderboard.crc.validation,eva,balanced_accuracy,imputed,97.232939,0.972329,6,19,logit_zscore_bias_als,1,2,96.505601,0.727338
atlas,eva.leaderboard.gleason_arvaniti.validation,eva,balanced_accuracy,imputed,82.244281,0.822443,6,19,logit_zscore_bias_als,1,2,79.558804,2.685477
atlas,eva.leaderboard.mhist.test,eva,balanced_accuracy,imputed,86.995081,0.869951,6,19,logit_zscore_bias_als,1,2,85.287741,1.707340
atlas,eva.leaderboard.monusac.test,eva,dice,imputed,71.350347,0.713503,6,19,logit_zscore_bias_als,1,2,68.233345,3.117002
atlas,eva.leaderboard.panda_small.test,eva,balanced_accuracy,imputed,71.841975,0.718420,6,19,logit_zscore_bias_als,1,2,66.619590,5.222385
atlas,eva.leaderboard.panda_small.validation,eva,balanced_accuracy,imputed,68.835154,0.688352,6,15,logit_zscore_bias_als,1,2,69.404309,0.569155
atlas,eva.leaderboard.patch_camelyon.test,eva,balanced_accuracy,imputed,95.694576,0.956946,6,19,logit_zscore_bias_als,1,2,94.423759,1.270816
atlas,eva.leaderboard.patch_camelyon.validation,eva,balanced_accuracy,imputed,94.352370,0.943524,6,15,logit_zscore_bias_als,1,2,93.485177,0.867193
atlas,eva.leaderboard.patch_camelyon_10shot.test,eva,balanced_accuracy,imputed,88.833627,0.888336,6,15,logit_zscore_bias_als,1,2,86.089622,2.744005
atlas,hest.ccrcc.gene_expression,hest,pearson_r,imputed,63.889263,0.277785,6,26,logit_zscore_bias_als,1,2,62.933382,0.955880
atlas,hest.coad.gene_expression,hest,pearson_r,imputed,65.855206,0.317104,6,26,logit_zscore_bias_als,1,2,65.110442,0.744764
atlas,hest.idc.gene_expression,hest,pearson_r,imputed,80.204747,0.604095,6,26,logit_zscore_bias_als,1,2,79.401578,0.803169
atlas,hest.lung.gene_expression,hest,pearson_r,imputed,78.920011,0.578400,6,26,logit_zscore_bias_als,1,2,78.324917,0.595094
atlas,hest.lymph_idc.gene_expression,hest,pearson_r,imputed,63.628074,0.272561,6,26,logit_zscore_bias_als,1,2,63.477270,0.150804
atlas,hest.paad.gene_expression,hest,pearson_r,imputed,75.180448,0.503609,6,26,logit_zscore_bias_als,1,2,74.471325,0.709123
atlas,hest.prad.gene_expression,hest,pearson_r,imputed,68.735191,0.374704,6,26,logit_zscore_bias_als,1,2,68.266141,0.469050
atlas,hest.read.gene_expression,hest,pearson_r,imputed,61.323146,0.226463,6,26,logit_zscore_bias_als,1,2,60.221693,1.101453
atlas,hest.skcm.gene_expression,hest,pearson_r,imputed,82.861185,0.657224,6,26,logit_zscore_bias_als,1,2,81.797127,1.064058
atlas,pathobench.exaone2025.bc_therapy.er-status,pathobench,macro-ovr-auc,imputed,71.665534,0.716655,6,7,logit_zscore_bias_als,1,2,70.503352,1.162182
atlas,pathobench.exaone2025.bc_therapy.grade,pathobench,macro-ovr-auc,imputed,74.670425,0.746704,6,7,logit_zscore_bias_als,1,2,73.454435,1.215990
atlas,pathobench.exaone2025.bc_therapy.her2-status,pathobench,macro-ovr-auc,imputed,72.496317,0.724963,6,7,logit_zscore_bias_als,1,2,70.272620,2.223698
atlas,pathobench.exaone2025.bc_therapy.residual-cancer-burden,pathobench,macro-ovr-auc,imputed,60.431670,0.604317,6,7,logit_zscore_bias_als,1,2,59.336535,1.095136
atlas,pathobench.exaone2025.bcnb.er,pathobench,macro-ovr-auc,imputed,92.389800,0.923898,6,7,logit_zscore_bias_als,1,2,91.612529,0.777271
atlas,pathobench.exaone2025.bcnb.her2,pathobench,macro-ovr-auc,imputed,74.196523,0.741965,6,7,logit_zscore_bias_als,1,2,73.659989,0.536535
atlas,pathobench.exaone2025.bcnb.pr,pathobench,macro-ovr-auc,imputed,85.429823,0.854298,6,7,logit_zscore_bias_als,1,2,84.658977,0.770846
atlas,pathobench.exaone2025.boehmk_.pfs,pathobench,cindex,imputed,53.944172,0.539442,6,7,logit_zscore_bias_als,1,2,51.780812,2.163360
atlas,pathobench.exaone2025.bracs.slidelevel-coarse,pathobench,macro-ovr-auc,imputed,86.733188,0.867332,6,7,logit_zscore_bias_als,1,2,85.141651,1.591537
atlas,pathobench.exaone2025.bracs.slidelevel-fine,pathobench,macro-ovr-auc,imputed,81.561189,0.815612,6,7,logit_zscore_bias_als,1,2,80.230488,1.330700
atlas,pathobench.exaone2025.cptac_brca.immune-class,pathobench,macro-ovr-auc,imputed,71.843562,0.718436,6,7,logit_zscore_bias_als,1,2,71.112541,0.731021
atlas,pathobench.exaone2025.cptac_brca.pik3ca-mutation,pathobench,macro-ovr-auc,imputed,57.510457,0.575105,6,7,logit_zscore_bias_als,1,2,55.607122,1.903335
atlas,pathobench.exaone2025.cptac_brca.tp53-mutation,pathobench,macro-ovr-auc,imputed,80.093505,0.800935,6,7,logit_zscore_bias_als,1,2,77.796067,2.297438
atlas,pathobench.exaone2025.cptac_ccrcc.bap1-mutation,pathobench,macro-ovr-auc,imputed,67.084324,0.670843,6,7,logit_zscore_bias_als,1,2,66.155402,0.928922
atlas,pathobench.exaone2025.cptac_ccrcc.immune-class,pathobench,macro-ovr-auc,imputed,59.590998,0.595910,6,7,logit_zscore_bias_als,1,2,58.986736,0.604262
atlas,pathobench.exaone2025.cptac_ccrcc.os,pathobench,cindex,imputed,57.718613,0.577186,6,7,logit_zscore_bias_als,1,2,52.594899,5.123714
atlas,pathobench.exaone2025.cptac_ccrcc.pbrm1-mutation,pathobench,macro-ovr-auc,imputed,48.793025,0.487930,6,7,logit_zscore_bias_als,1,2,47.473861,1.319164
atlas,pathobench.exaone2025.cptac_ccrcc.vhl-mutation,pathobench,macro-ovr-auc,imputed,55.145050,0.551450,6,7,logit_zscore_bias_als,1,2,53.639289,1.505761
atlas,pathobench.exaone2025.cptac_coad.acvr2a-mutation,pathobench,macro-ovr-auc,imputed,81.996462,0.819965,6,7,logit_zscore_bias_als,1,2,80.221384,1.775077
atlas,pathobench.exaone2025.cptac_coad.apc-mutation,pathobench,macro-ovr-auc,imputed,76.427733,0.764277,6,7,logit_zscore_bias_als,1,2,73.755556,2.672177
atlas,pathobench.exaone2025.cptac_coad.arid1a-mutation,pathobench,macro-ovr-auc,imputed,79.611222,0.796112,6,7,logit_zscore_bias_als,1,2,78.640739,0.970483
atlas,pathobench.exaone2025.cptac_coad.immune-class,pathobench,macro-ovr-auc,imputed,63.027186,0.630272,6,7,logit_zscore_bias_als,1,2,61.729871,1.297314
atlas,pathobench.exaone2025.cptac_coad.kras-mutation,pathobench,macro-ovr-auc,imputed,67.498658,0.674987,6,7,logit_zscore_bias_als,1,2,66.603260,0.895397
atlas,pathobench.exaone2025.cptac_coad.msi-h,pathobench,macro-ovr-auc,imputed,91.176014,0.911760,6,7,logit_zscore_bias_als,1,2,89.724232,1.451783
atlas,pathobench.exaone2025.cptac_coad.pik3ca-mutation,pathobench,macro-ovr-auc,imputed,71.348227,0.713482,6,7,logit_zscore_bias_als,1,2,69.888094,1.460133
atlas,pathobench.exaone2025.cptac_coad.setd1b-mutation,pathobench,macro-ovr-auc,imputed,85.732303,0.857323,6,7,logit_zscore_bias_als,1,2,82.673018,3.059285
