protocol,candidate_mode,candidate_label,k,added_evaluation_id,probe_ids,model_average_medae,model_average_q25,model_average_q75,model_average_mae,n_train_models,n_heldout_models,selection_objective,selection_scope,target,random_control_available
heldout_model,any_candidate,All 187 candidates,1,thunder.spider_skin.linear_probing,"[""thunder.spider_skin.linear_probing""]",1.9038730472003138,0.5689939022031183,3.022776144081501,2.1405139113928393,41,18,training_scorecard_medae,nested prefixes selected on training models only,mean of each held-out model's reported normalized scores,False
heldout_model,any_candidate,All 187 candidates,2,pathobench.exaone2025.cptac_lscc.arid1a-mutation,"[""thunder.spider_skin.linear_probing"",""pathobench.exaone2025.cptac_lscc.arid1a-mutation""]",2.336085950855157,1.0177716866871833,3.022776144081501,2.3695716492743983,41,18,training_scorecard_medae,nested prefixes selected on training models only,mean of each held-out model's reported normalized scores,False
heldout_model,any_candidate,All 187 candidates,3,hest.idc.gene_expression,"[""thunder.spider_skin.linear_probing"",""pathobench.exaone2025.cptac_lscc.arid1a-mutation"",""hest.idc.gene_expression""]",2.103272998263087,0.5287409019272715,2.7937029032794243,2.1856038801332582,41,18,training_scorecard_medae,nested prefixes selected on training models only,mean of each held-out model's reported normalized scores,False
heldout_model,any_candidate,All 187 candidates,4,eva.leaderboard.panda_small.test,"[""thunder.spider_skin.linear_probing"",""pathobench.exaone2025.cptac_lscc.arid1a-mutation"",""hest.idc.gene_expression"",""eva.leaderboard.panda_small.test""]",1.851714512069286,0.36692873315758945,2.7937029032794243,2.0410275525377863,41,18,training_scorecard_medae,nested prefixes selected on training models only,mean of each held-out model's reported normalized scores,False
heldout_model,any_candidate,All 187 candidates,5,pathorob.camelyon.robustness_index,"[""thunder.spider_skin.linear_probing"",""pathobench.exaone2025.cptac_lscc.arid1a-mutation"",""hest.idc.gene_expression"",""eva.leaderboard.panda_small.test"",""pathorob.camelyon.robustness_index""]",0.7834600576164519,0.33171583763672174,2.2601939817261893,1.5357209012426418,41,18,training_scorecard_medae,nested prefixes selected on training models only,mean of each held-out model's reported normalized scores,False
heldout_model,any_candidate,All 187 candidates,6,hest.read.gene_expression,"[""thunder.spider_skin.linear_probing"",""pathobench.exaone2025.cptac_lscc.arid1a-mutation"",""hest.idc.gene_expression"",""eva.leaderboard.panda_small.test"",""pathorob.camelyon.robustness_index"",""hest.read.gene_expression""]",0.8426049154575495,0.3208098242995163,2.2601939817261893,1.5055704536838448,41,18,training_scorecard_medae,nested prefixes selected on training models only,mean of each held-out model's reported normalized scores,False
heldout_model,any_candidate,All 187 candidates,7,thunder.spider_breast.linear_probing,"[""thunder.spider_skin.linear_probing"",""pathobench.exaone2025.cptac_lscc.arid1a-mutation"",""hest.idc.gene_expression"",""eva.leaderboard.panda_small.test"",""pathorob.camelyon.robustness_index"",""hest.read.gene_expression"",""thunder.spider_breast.linear_probing""]",0.9313645579651961,0.17460587698283803,2.6352982158441307,1.6614669333232368,41,18,training_scorecard_medae,nested prefixes selected on training models only,mean of each held-out model's reported normalized scores,False
heldout_model,any_candidate,All 187 candidates,8,thunder.tcga_uniform.linear_probing,"[""thunder.spider_skin.linear_probing"",""pathobench.exaone2025.cptac_lscc.arid1a-mutation"",""hest.idc.gene_expression"",""eva.leaderboard.panda_small.test"",""pathorob.camelyon.robustness_index"",""hest.read.gene_expression"",""thunder.spider_breast.linear_probing"",""thunder.tcga_uniform.linear_probing""]",0.7514670657941451,0.14359778470215545,2.428438748302508,1.5701927614978137,41,18,training_scorecard_medae,nested prefixes selected on training models only,mean of each held-out model's reported normalized scores,False
heldout_model,any_candidate,All 187 candidates,9,thunder.break_his.linear_probing,"[""thunder.spider_skin.linear_probing"",""pathobench.exaone2025.cptac_lscc.arid1a-mutation"",""hest.idc.gene_expression"",""eva.leaderboard.panda_small.test"",""pathorob.camelyon.robustness_index"",""hest.read.gene_expression"",""thunder.spider_breast.linear_probing"",""thunder.tcga_uniform.linear_probing"",""thunder.break_his.linear_probing""]",0.9700650930953856,0.316512065494873,1.840089464262526,1.4342768625576108,41,18,training_scorecard_medae,nested prefixes selected on training models only,mean of each held-out model's reported normalized scores,False
heldout_model,any_candidate,All 187 candidates,10,thunder.mhist.linear_probing,"[""thunder.spider_skin.linear_probing"",""pathobench.exaone2025.cptac_lscc.arid1a-mutation"",""hest.idc.gene_expression"",""eva.leaderboard.panda_small.test"",""pathorob.camelyon.robustness_index"",""hest.read.gene_expression"",""thunder.spider_breast.linear_probing"",""thunder.tcga_uniform.linear_probing"",""thunder.break_his.linear_probing"",""thunder.mhist.linear_probing""]",0.892051683796538,0.3417013095542565,2.0516415525571503,1.4990467086964614,41,18,training_scorecard_medae,nested prefixes selected on training models only,mean of each held-out model's reported normalized scores,False
heldout_model,pre_error_low_friction_allowlist,25-task feasibility pool,1,thunder.spider_skin.linear_probing,"[""thunder.spider_skin.linear_probing""]",1.9038730472003138,0.5689939022031183,3.022776144081501,2.1405139113928393,41,18,training_scorecard_medae,nested prefixes selected on training models only,mean of each held-out model's reported normalized scores,False
heldout_model,pre_error_low_friction_allowlist,25-task feasibility pool,2,thunder.crc.linear_probing,"[""thunder.spider_skin.linear_probing"",""thunder.crc.linear_probing""]",1.2200924664503674,0.8610542602870765,2.7924931212035453,1.9951232461766584,41,18,training_scorecard_medae,nested prefixes selected on training models only,mean of each held-out model's reported normalized scores,False
heldout_model,pre_error_low_friction_allowlist,25-task feasibility pool,3,thunder.break_his.linear_probing,"[""thunder.spider_skin.linear_probing"",""thunder.crc.linear_probing"",""thunder.break_his.linear_probing""]",1.0766266393506783,0.35545778453138865,1.6117955637065293,1.6151527506541399,41,18,training_scorecard_medae,nested prefixes selected on training models only,mean of each held-out model's reported normalized scores,False
heldout_model,pre_error_low_friction_allowlist,25-task feasibility pool,4,thunder.spider_breast.linear_probing,"[""thunder.spider_skin.linear_probing"",""thunder.crc.linear_probing"",""thunder.break_his.linear_probing"",""thunder.spider_breast.linear_probing""]",1.2699690670349781,0.3002740064517262,1.9746448841006803,1.7033444216753846,41,18,training_scorecard_medae,nested prefixes selected on training models only,mean of each held-out model's reported normalized scores,False
heldout_model,pre_error_low_friction_allowlist,25-task feasibility pool,5,eva.leaderboard.breakhis.validation,"[""thunder.spider_skin.linear_probing"",""thunder.crc.linear_probing"",""thunder.break_his.linear_probing"",""thunder.spider_breast.linear_probing"",""eva.leaderboard.breakhis.validation""]",1.2254214321155246,0.3690443685397966,2.1379730018297316,1.683907531579635,41,18,training_scorecard_medae,nested prefixes selected on training models only,mean of each held-out model's reported normalized scores,False
heldout_model,pre_error_low_friction_allowlist,25-task feasibility pool,6,thunder.tcga_uniform.linear_probing,"[""thunder.spider_skin.linear_probing"",""thunder.crc.linear_probing"",""thunder.break_his.linear_probing"",""thunder.spider_breast.linear_probing"",""eva.leaderboard.breakhis.validation"",""thunder.tcga_uniform.linear_probing""]",1.1025279644991741,0.38794413286142415,2.019438875180896,1.603166801144674,41,18,training_scorecard_medae,nested prefixes selected on training models only,mean of each held-out model's reported normalized scores,False
heldout_model,pre_error_low_friction_allowlist,25-task feasibility pool,7,thunder.esca.linear_probing,"[""thunder.spider_skin.linear_probing"",""thunder.crc.linear_probing"",""thunder.break_his.linear_probing"",""thunder.spider_breast.linear_probing"",""eva.leaderboard.breakhis.validation"",""thunder.tcga_uniform.linear_probing"",""thunder.esca.linear_probing""]",1.0423162817845366,0.39823421677854753,1.8074308003089037,1.537680989936475,41,18,training_scorecard_medae,nested prefixes selected on training models only,mean of each held-out model's reported normalized scores,False
heldout_model,pre_error_low_friction_allowlist,25-task feasibility pool,8,thunder.ccrcc.linear_probing,"[""thunder.spider_skin.linear_probing"",""thunder.crc.linear_probing"",""thunder.break_his.linear_probing"",""thunder.spider_breast.linear_probing"",""eva.leaderboard.breakhis.validation"",""thunder.tcga_uniform.linear_probing"",""thunder.esca.linear_probing"",""thunder.ccrcc.linear_probing""]",0.8394599444710735,0.32076159666300796,1.8010119500104302,1.460026657729254,41,18,training_scorecard_medae,nested prefixes selected on training models only,mean of each held-out model's reported normalized scores,False
heldout_model,pre_error_low_friction_allowlist,25-task feasibility pool,9,thunder.mhist.linear_probing,"[""thunder.spider_skin.linear_probing"",""thunder.crc.linear_probing"",""thunder.break_his.linear_probing"",""thunder.spider_breast.linear_probing"",""eva.leaderboard.breakhis.validation"",""thunder.tcga_uniform.linear_probing"",""thunder.esca.linear_probing"",""thunder.ccrcc.linear_probing"",""thunder.mhist.linear_probing""]",0.9069467755208649,0.27080147176432234,2.10895324149244,1.5201761942812024,41,18,training_scorecard_medae,nested prefixes selected on training models only,mean of each held-out model's reported normalized scores,False
heldout_model,pre_error_low_friction_allowlist,25-task feasibility pool,10,thunder.wilds.linear_probing,"[""thunder.spider_skin.linear_probing"",""thunder.crc.linear_probing"",""thunder.break_his.linear_probing"",""thunder.spider_breast.linear_probing"",""eva.leaderboard.breakhis.validation"",""thunder.tcga_uniform.linear_probing"",""thunder.esca.linear_probing"",""thunder.ccrcc.linear_probing"",""thunder.mhist.linear_probing"",""thunder.wilds.linear_probing""]",0.9247476536600985,0.27080147176432234,1.9947785348869864,1.5085444925937606,41,18,training_scorecard_medae,nested prefixes selected on training models only,mean of each held-out model's reported normalized scores,False
