informativeness_rank,evaluation_id,suite_id,metric,models_with_score,model_coverage,parity_medae,hidden_only_medae,model_average_mae,improvement_over_column_median,column_baseline_medae,skill_in_sample_matrixwide_numerator_DEPRECATED,column_loo_baseline_medae,column_robust_dispersion,matched_cell_n,matched_cell_k0_medae,matched_cell_greedy_medae,matched_cell_greedy_beats_k0,skill_numerator_medae,skill_numerator_scope,medae_ratio_to_loo_baseline,skill_score,skill_score_raw,skill_excluded_below_noise_floor,skill_exclusion_reason,parity_medae_normalized,parity_medae_normalized_sd_legacy
1,thunder.spider_skin.linear_probing,thunder,f1,32,0.5423728813559322,1.7504190624758138,1.790532021886584,3.255648335237382,0.14958093752417767,4.200000000000003,0.5832335565533779,4.3500000000000085,6.226920000000004,2,1.9832905254279751,2.327732863804421,False,2.327732863804421,lofo_matched_cells_greedy_k4_per_column,0.5351110031734291,0.4648889968265709,0.4648889968265709,False,,0.28110511496467155,0.35469489099898455
2,thunder.patch_camelyon.linear_probing,thunder,f1,32,0.5423728813559322,1.7567806889626567,1.8006663287834925,3.3329776406772096,0.14321931103733476,2.6500000000000057,0.33706389095748945,2.700000000000003,3.9288900000000084,32,1.9173768849770667,0.8464189067767336,True,0.8464189067767336,lofo_matched_cells_greedy_k4_per_column,0.31348848399138246,0.6865115160086175,0.6865115160086175,False,,0.44714427967254183,0.5340425908864372
3,thunder.spider_breast.linear_probing,thunder,f1,32,0.5423728813559322,1.7670984964555316,1.8079588737586647,3.4646894283887995,0.13290150354445984,2.8500000000000014,0.3799654398401646,3.5500000000000043,4.225410000000002,30,2.8606810070815953,1.1436518274052787,True,1.1436518274052787,lofo_matched_cells_greedy_k4_per_column,0.32215544433951476,0.6778445556604853,0.6778445556604853,False,,0.418207581383944,0.3547014342621221
4,thunder.spider_colorectal.linear_probing,thunder,f1,32,0.5423728813559322,1.7671671786293146,1.8124064273096252,3.2668995340182465,0.13283282137067687,1.8999999999999986,0.0699120112477285,1.9499999999999957,2.8169399999999976,32,1.5764237620002604,0.6385328633905871,True,0.6385328633905871,lofo_matched_cells_greedy_k4_per_column,0.32745275045671207,0.6725472495432879,0.6725472495432879,False,,0.6273357539135787,0.643418093885948
5,thunder.tcga_crc_msi.linear_probing,thunder,f1,32,0.5423728813559322,1.767584728728444,1.829224023029937,3.272180849290559,0.1324152712715474,3.799999999999997,0.5348461240188301,4.399999999999999,5.633879999999995,26,3.118346404910106,1.7646957898440014,True,1.7646957898440014,lofo_matched_cells_greedy_k4_per_column,0.4010672249645459,0.5989327750354541,0.5989327750354541,False,,0.31374199108402123,0.3463699502215558
6,thunder.tcga_uniform.linear_probing,thunder,f1,32,0.5423728813559322,1.783512867053279,1.8416480433436675,3.347238282107967,0.11648713294671253,6.04999999999999,0.7052044847845815,6.899999999999999,8.969729999999984,24,6.953640225855956,2.3268841602164763,True,2.3268841602164763,lofo_matched_cells_greedy_k4_per_column,0.33722958843717055,0.6627704115628295,0.6627704115628295,False,,0.19883685094794182,0.1615377044436469
7,thunder.spider_thorax.linear_probing,thunder,f1,32,0.5423728813559322,1.8326791933489055,1.8639043530916624,3.3409138631097615,0.06732080665108597,1.25,-0.4661433546791245,1.25,1.8532499999999998,29,1.366174030045812,0.8531685182024944,True,0.8531685182024944,lofo_matched_cells_greedy_k4_per_column,0.6825348145619955,0.3174651854380045,0.3174651854380045,False,,0.9889001447990857,0.6282606519175156
8,thunder.esca.linear_probing,thunder,f1,32,0.5423728813559322,1.8364392455290641,1.874316596013628,3.190061254945694,0.06356075447092735,5.650000000000006,0.6749665052160951,5.650000000000006,8.376690000000009,26,4.5978270580389875,3.0553809753841463,True,3.0553809753841463,lofo_matched_cells_greedy_k4_per_column,0.5407753938732996,0.45922460612670035,0.45922460612670035,False,,0.21923208875212788,0.23907328212204954
9,thunder.tcga_tils.linear_probing,thunder,f1,32,0.5423728813559322,1.8669985629546808,1.9249007409283365,3.365797008699436,0.033001437045310666,1.0999999999999943,-0.6972714208679005,1.0999999999999943,1.6308599999999915,24,1.3075980550962214,0.660334299976931,True,0.660334299976931,lofo_matched_cells_greedy_k4_per_column,0.6003039090699405,0.39969609093005953,0.39969609093005953,False,,1.14479388969911,0.8736176913744386
10,thunder.ccrcc.linear_probing,thunder,f1,32,0.5423728813559322,1.9367837329050808,1.9809259002701296,3.298667350543088,-0.036783732905089295,4.849999999999994,0.600663147854622,5.900000000000006,7.1906099999999915,19,4.183294011475141,2.29343266935588,True,2.29343266935588,lofo_matched_cells_greedy_k4_per_column,0.38871740158574203,0.611282598414258,0.611282598414258,False,,0.26934901669052874,0.2886616722583571
11,thunder.bracs.linear_probing,thunder,f1,32,0.5423728813559322,1.9531031376245593,2.0148800224443306,3.619448417266941,-0.053103137624567864,3.0499999999999936,0.35963831553293,3.2499999999999964,4.5219299999999905,19,2.736376960378422,1.8895003873686491,True,1.8895003873686491,lofo_matched_cells_greedy_k4_per_column,0.5813847345749696,0.41861526542503036,0.41861526542503036,False,,0.43191803889590585,0.5289201854208908
12,hest.read.gene_expression,hest,pearson_r,26,0.4406779661016949,1.9625526011929892,2.0122824527335723,4.226593139626865,-0.06255260119299777,0.942499999999999,-1.082283926995216,1.1999999999999993,1.3973504999999984,14,1.205985647457176,0.7476702218241442,True,0.7476702218241442,lofo_matched_cells_greedy_k4_per_column,0.6230585181867873,0.37694148181321274,0.37694148181321274,False,,1.4044812673649105,1.0651469834875493
