protocol,candidate_mode,method,repeat,k,added_evaluation_id,ranking_scope,top_fraction,total_k,median_recovery,pooled_recovery
all_known,any_candidate,greedy,,1,pathobench.exaone2025.cptac_luad.stk11-mutation,all_target,0.2,508,0.0,0.2047244094488189
all_known,any_candidate,greedy,,2,hest.read.gene_expression,all_target,0.2,508,0.2857142857142857,0.33661417322834647
all_known,any_candidate,greedy,,3,pathobench.threads2025.cptac_brca.tp53-mutation,all_target,0.2,508,0.5,0.421259842519685
all_known,any_candidate,greedy,,4,pathorob.tcga_2x2.robustness_index,all_target,0.2,508,0.5,0.4311023622047244
all_known,any_candidate,greedy,,5,eva.leaderboard.monusac.test,all_target,0.2,508,0.5,0.4409448818897638
all_known,any_candidate,greedy,,6,thunder.patch_camelyon.linear_probing,all_target,0.2,508,0.5,0.4625984251968504
all_known,any_candidate,greedy,,7,pathobench.exaone2025.cptac_ccrcc.immune-class,all_target,0.2,508,0.5,0.4409448818897638
all_known,any_candidate,greedy,,8,hoptimus1report2025.braf_crc.cptac_coad.abmil_auc,all_target,0.2,508,0.5,0.452755905511811
all_known,any_candidate,greedy,,9,pathobench.threads2025.cptac_ccrcc.os,all_target,0.2,508,0.5,0.46653543307086615
all_known,any_candidate,greedy,,10,eva.leaderboard.bach.validation,all_target,0.2,508,0.5,0.4744094488188976
all_known,any_candidate,random_prefix,0,1,,all_target,0.2,508,0.0,0.17125984251968504
all_known,any_candidate,random_prefix,0,2,,all_target,0.2,508,0.0,0.23031496062992127
all_known,any_candidate,random_prefix,0,3,,all_target,0.2,508,0.3333333333333333,0.3228346456692913
all_known,any_candidate,random_prefix,0,4,,all_target,0.2,508,0.2857142857142857,0.3031496062992126
all_known,any_candidate,random_prefix,0,5,,all_target,0.2,508,0.16666666666666666,0.28937007874015747
all_known,any_candidate,random_prefix,0,6,,all_target,0.2,508,0.14285714285714285,0.28937007874015747
all_known,any_candidate,random_prefix,0,7,,all_target,0.2,508,0.42857142857142855,0.3425196850393701
all_known,any_candidate,random_prefix,0,8,,all_target,0.2,508,0.42857142857142855,0.35039370078740156
all_known,any_candidate,random_prefix,0,9,,all_target,0.2,508,0.42857142857142855,0.35236220472440943
all_known,any_candidate,random_prefix,0,10,,all_target,0.2,508,0.42857142857142855,0.3543307086614173
all_known,any_candidate,random_prefix,1,1,,all_target,0.2,508,0.0,0.19488188976377951
all_known,any_candidate,random_prefix,1,2,,all_target,0.2,508,0.25,0.297244094488189
all_known,any_candidate,random_prefix,1,3,,all_target,0.2,508,0.25,0.30708661417322836
all_known,any_candidate,random_prefix,1,4,,all_target,0.2,508,0.25,0.3169291338582677
all_known,any_candidate,random_prefix,1,5,,all_target,0.2,508,0.25,0.3228346456692913
