evaluation_id,suite_id,dataset_id,task_family,target,sample_unit,task_type,sample_count,sample_count_status,metric,n_observed_models,allowlisted_low_friction_proxy,reference_url
eva.leaderboard.bach.validation,eva,bach,classification,BACH four-class histology label,image,classification,,not_reported,balanced_accuracy,19,false,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/bach.yaml
eva.leaderboard.bracs.validation,eva,bracs,classification,BRACS seven-class lesion label,image,classification,,not_reported,balanced_accuracy,15,false,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/bracs.yaml
eva.leaderboard.breakhis.validation,eva,breakhis,classification,BreakHis selected four-class subtype label,image,classification,,not_reported,balanced_accuracy,19,false,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/breakhis.yaml
eva.leaderboard.camelyon16_small.test,eva,camelyon16_small,classification,camelyon16_small classification target,slide,classification,,not_reported,balanced_accuracy,19,false,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/camelyon16_small.yaml
eva.leaderboard.camelyon16_small.validation,eva,camelyon16_small,classification,camelyon16_small classification target,slide,classification,,not_reported,balanced_accuracy,15,false,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/camelyon16_small.yaml
eva.leaderboard.consep.validation,eva,consep,segmentation,consep segmentation target,image,segmentation,,not_reported,dice,19,false,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/segmentation/consep.yaml
eva.leaderboard.crc.validation,eva,crc,classification,CRC-100K nine-class tissue label,image,classification,,not_reported,balanced_accuracy,19,false,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/crc.yaml
eva.leaderboard.gleason_arvaniti.validation,eva,gleason_arvaniti,classification,gleason_arvaniti classification target,image,classification,,not_reported,balanced_accuracy,19,false,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/gleason_arvaniti.yaml
eva.leaderboard.mhist.test,eva,mhist,classification,MHIST hyperplastic-polyp versus sessile-serrated-adenoma label,image,classification,,not_reported,balanced_accuracy,19,false,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/mhist.yaml
eva.leaderboard.monusac.test,eva,monusac,segmentation,monusac segmentation target,image,segmentation,,not_reported,dice,19,false,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/segmentation/monusac.yaml
