grid,min_scores_per_model,min_models_per_evaluation,n_models,n_evaluations,n_observations,fill_rate,is_pathology_selected
pathology_scaled,2,3,59,165,1967,0.20205444273240883,False
pathology_scaled,2,5,59,165,1967,0.20205444273240883,False
pathology_scaled,2,8,57,85,1407,0.29040247678018577,False
pathology_scaled,3,3,59,165,1967,0.20205444273240883,False
pathology_scaled,3,5,59,165,1967,0.20205444273240883,True
pathology_scaled,3,8,57,85,1407,0.29040247678018577,False
pathology_scaled,5,3,53,165,1949,0.22287021154945683,False
pathology_scaled,5,5,53,165,1949,0.22287021154945683,False
pathology_scaled,5,8,51,85,1389,0.32041522491349483,False
upstream_exact,10,8,48,85,1362,0.3338235294117647,False
upstream_exact,10,12,43,43,1026,0.5548945375878853,False
upstream_exact,10,16,42,35,900,0.6122448979591837,False
upstream_exact,15,8,43,85,1302,0.3562243502051984,False
upstream_exact,15,12,37,41,931,0.6137112722478576,False
upstream_exact,15,16,32,25,665,0.83125,False
upstream_exact,20,8,27,85,1047,0.4562091503267974,False
upstream_exact,20,12,22,41,691,0.7660753880266076,False
upstream_exact,20,16,17,25,425,1.0,False
