target_model_id,cutoff_date,target_date_is_proxy,observed_score_count,n_train_models,k,n_seeds,median_medae,iqr_medae,median_medape,iqr_medape,n_metric_cells_median,n_not_predictable_cells_median
uni2-h,2025-01-10,False,123,46,1,10,1.9436388253435695,0.2994212794438429,2.7288395727727393,0.48869394218638496,123,0
uni2-h,2025-01-10,False,123,46,5,10,1.7693856060071624,0.1948582777618313,2.4046071242824505,0.3578832575844575,123,0
uni2-h,2025-01-10,False,123,46,10,10,1.5123665453086161,0.17722188429843655,2.115662701936837,0.3198425507494096,123,0
h0-mini,2025-01-27,False,28,47,1,10,1.0799949188171212,0.31992523645662985,1.5208535224971689,0.3514123764817376,28,0
h0-mini,2025-01-27,False,28,47,5,10,0.7690493921803956,0.4891949843099077,1.042910216761768,0.4619891968054013,28,0
h0-mini,2025-01-27,False,28,47,10,10,0.3942738686327907,0.2427521150863079,0.4733677628233669,0.23846622581329585,28,0
threads-slide,2025-01-28,False,42,48,1,10,2.021090741857357,1.5367745135833966,2.7927936555100823,1.556923149569335,42,0
threads-slide,2025-01-28,False,42,48,5,10,1.5651925709615924,0.3242485020922148,1.854074767480692,0.10758169038539922,42,0
threads-slide,2025-01-28,False,42,48,10,10,1.0049367945154533,0.16403096633493153,1.3878285628262015,0.16704328215322017,42,0
h-optimus-1,2025-02-17,False,25,49,1,10,0.8506269615428685,0.8809145373996969,1.2138982404666976,1.2265054137589289,25,0
h-optimus-1,2025-02-17,False,25,49,5,10,0.7042371373000762,0.17200167310765657,0.91378079207918,0.37300868488228933,25,0
h-optimus-1,2025-02-17,False,25,49,10,10,0.25458009135299164,0.12295342336700443,0.31325530355368303,0.24061638348825504,25,0
midnight,2025-04-07,False,40,50,1,10,1.2437281752966634,0.2305629505356297,1.4447944849561951,0.18394412805030091,40,0
midnight,2025-04-07,False,40,50,5,10,1.0958740340906985,0.37418643595394574,1.3213200343380291,0.4471865561842565,40,0
midnight,2025-04-07,False,40,50,10,10,0.6247134486223125,0.2796860849209786,0.7488907153576196,0.2687860581701673,40,0
openmidnight,2025-11-14,False,25,56,1,10,0.8518594341374879,0.7349043640556907,1.111752516892134,0.8836689189747094,25,0
openmidnight,2025-11-14,False,25,56,5,10,0.4843508146620863,0.1709990147057887,0.6397238713912611,0.24546149766037306,25,0
openmidnight,2025-11-14,False,25,56,10,10,0.13840942638630338,0.0687569010004303,0.16203493946668768,0.09537901166120141,25,0
exaone-path-2.5-slide,2025-12-16,False,80,57,1,10,2.0271698616713483,0.5211480568726365,3.013841932542994,0.5524206624337342,80,0
exaone-path-2.5-slide,2025-12-16,False,80,57,5,10,2.0927017256117217,0.8040904974986738,3.0866255845294566,1.2504713346355025,80,0
exaone-path-2.5-slide,2025-12-16,False,80,57,10,10,1.5253909765774125,0.4739008858707132,2.2449418447016223,0.5636339687317442,80,0
