source_scope,source_table,source_row,model_alias,model_id,model_revision,suite_id,task_label,evaluation_id,dedup_key,metric,value,value_unit,uncertainty,level,magnification,embedding_recipe,downstream_protocol,cohort_access,reference_url,source_locator,source_revision,source_sha256,inclusion_status,inclusion_reason
official_primary_paper,Supplementary Table 22,Mean pool (CONCHv1.5)/0.779±0.0064/logistic_regression/balanced_accuracy,CONCHv1.5,conch-1.5,CONCHv1.5 ViT-L/16 packaged with TITAN,titan_patch_encoder,Supplementary Table 22: Linear probing results for tumor subtype (C = 32) prediction on TCGA-UT-8K,conch15.titan2025.t22.0.logistic_regression.balanced_accuracy,supplementary_table_22:_linear_probing_results_for_tumor_subtype_(c_=_32)_prediction_on_tcga-ut-8k.0.779±0.0064.balanced_accuracy,balanced_accuracy,0.779,fraction,reported ± 0.0064,slide,20x patches; slide mean pooling,mean-pooled frozen CONCHv1.5 patch embeddings,logistic_regression,public,https://www.nature.com/articles/s41591-025-03982-3,Supplementary Information|Table 22|Mean pool (CONCHv1.5),Nature Medicine 2025 supplementary PDF,26321e4018bec7b80f2fe7ea7cc497139c83b44fb60df5128417623ad1f71a70,canonical_candidate,Public leaf protocol cell.
official_primary_paper,Supplementary Table 22,Mean pool (CONCHv1.5)/0.779±0.0064/logistic_regression/weighted_f1,CONCHv1.5,conch-1.5,CONCHv1.5 ViT-L/16 packaged with TITAN,titan_patch_encoder,Supplementary Table 22: Linear probing results for tumor subtype (C = 32) prediction on TCGA-UT-8K,conch15.titan2025.t22.0.logistic_regression.weighted_f1,supplementary_table_22:_linear_probing_results_for_tumor_subtype_(c_=_32)_prediction_on_tcga-ut-8k.0.779±0.0064.weighted_f1,weighted_f1,0.833,fraction,reported ± 0.0043,slide,20x patches; slide mean pooling,mean-pooled frozen CONCHv1.5 patch embeddings,logistic_regression,public,https://www.nature.com/articles/s41591-025-03982-3,Supplementary Information|Table 22|Mean pool (CONCHv1.5),Nature Medicine 2025 supplementary PDF,26321e4018bec7b80f2fe7ea7cc497139c83b44fb60df5128417623ad1f71a70,canonical_candidate,Public leaf protocol cell.
official_primary_paper,Supplementary Table 22,Mean pool (CONCHv1.5)/0.779±0.0064/simpleshot/balanced_accuracy,CONCHv1.5,conch-1.5,CONCHv1.5 ViT-L/16 packaged with TITAN,titan_patch_encoder,Supplementary Table 22: Linear probing results for tumor subtype (C = 32) prediction on TCGA-UT-8K,conch15.titan2025.t22.0.simpleshot.balanced_accuracy,supplementary_table_22:_linear_probing_results_for_tumor_subtype_(c_=_32)_prediction_on_tcga-ut-8k.0.779±0.0064.balanced_accuracy,balanced_accuracy,0.757,fraction,reported ± 0.0062,slide,20x patches; slide mean pooling,mean-pooled frozen CONCHv1.5 patch embeddings,simpleshot,public,https://www.nature.com/articles/s41591-025-03982-3,Supplementary Information|Table 22|Mean pool (CONCHv1.5),Nature Medicine 2025 supplementary PDF,26321e4018bec7b80f2fe7ea7cc497139c83b44fb60df5128417623ad1f71a70,canonical_candidate,Public leaf protocol cell.
official_primary_paper,Supplementary Table 22,Mean pool (CONCHv1.5)/0.779±0.0064/simpleshot/weighted_f1,CONCHv1.5,conch-1.5,CONCHv1.5 ViT-L/16 packaged with TITAN,titan_patch_encoder,Supplementary Table 22: Linear probing results for tumor subtype (C = 32) prediction on TCGA-UT-8K,conch15.titan2025.t22.0.simpleshot.weighted_f1,supplementary_table_22:_linear_probing_results_for_tumor_subtype_(c_=_32)_prediction_on_tcga-ut-8k.0.779±0.0064.weighted_f1,weighted_f1,0.785,fraction,reported ± 0.0045,slide,20x patches; slide mean pooling,mean-pooled frozen CONCHv1.5 patch embeddings,simpleshot,public,https://www.nature.com/articles/s41591-025-03982-3,Supplementary Information|Table 22|Mean pool (CONCHv1.5),Nature Medicine 2025 supplementary PDF,26321e4018bec7b80f2fe7ea7cc497139c83b44fb60df5128417623ad1f71a70,canonical_candidate,Public leaf protocol cell.
official_primary_paper,Supplementary Table 22,Mean pool (CONCHv1.5)/0.779±0.0064/knn/balanced_accuracy,CONCHv1.5,conch-1.5,CONCHv1.5 ViT-L/16 packaged with TITAN,titan_patch_encoder,Supplementary Table 22: Linear probing results for tumor subtype (C = 32) prediction on TCGA-UT-8K,conch15.titan2025.t22.0.knn.balanced_accuracy,supplementary_table_22:_linear_probing_results_for_tumor_subtype_(c_=_32)_prediction_on_tcga-ut-8k.0.779±0.0064.balanced_accuracy,balanced_accuracy,0.743,fraction,reported ± 0.0067,slide,20x patches; slide mean pooling,mean-pooled frozen CONCHv1.5 patch embeddings,knn,public,https://www.nature.com/articles/s41591-025-03982-3,Supplementary Information|Table 22|Mean pool (CONCHv1.5),Nature Medicine 2025 supplementary PDF,26321e4018bec7b80f2fe7ea7cc497139c83b44fb60df5128417623ad1f71a70,canonical_candidate,Public leaf protocol cell.
official_primary_paper,Supplementary Table 22,Mean pool (CONCHv1.5)/0.779±0.0064/knn/weighted_f1,CONCHv1.5,conch-1.5,CONCHv1.5 ViT-L/16 packaged with TITAN,titan_patch_encoder,Supplementary Table 22: Linear probing results for tumor subtype (C = 32) prediction on TCGA-UT-8K,conch15.titan2025.t22.0.knn.weighted_f1,supplementary_table_22:_linear_probing_results_for_tumor_subtype_(c_=_32)_prediction_on_tcga-ut-8k.0.779±0.0064.weighted_f1,weighted_f1,0.796,fraction,reported ± 0.0045,slide,20x patches; slide mean pooling,mean-pooled frozen CONCHv1.5 patch embeddings,knn,public,https://www.nature.com/articles/s41591-025-03982-3,Supplementary Information|Table 22|Mean pool (CONCHv1.5),Nature Medicine 2025 supplementary PDF,26321e4018bec7b80f2fe7ea7cc497139c83b44fb60df5128417623ad1f71a70,canonical_candidate,Public leaf protocol cell.
official_primary_paper,Supplementary Table 23,Mean pool (CONCHv1.5)/0.624±0.0169/logistic_regression/balanced_accuracy,CONCHv1.5,conch-1.5,CONCHv1.5 ViT-L/16 packaged with TITAN,titan_patch_encoder,Supplementary Table 23: Linear probing results for OncoTree code (C = 46) prediction on TCGA-OT,conch15.titan2025.t23.0.logistic_regression.balanced_accuracy,supplementary_table_23:_linear_probing_results_for_oncotree_code_(c_=_46)_prediction_on_tcga-ot.0.624±0.0169.balanced_accuracy,balanced_accuracy,0.624,fraction,reported ± 0.0169,slide,20x patches; slide mean pooling,mean-pooled frozen CONCHv1.5 patch embeddings,logistic_regression,public,https://www.nature.com/articles/s41591-025-03982-3,Supplementary Information|Table 23|Mean pool (CONCHv1.5),Nature Medicine 2025 supplementary PDF,26321e4018bec7b80f2fe7ea7cc497139c83b44fb60df5128417623ad1f71a70,canonical_candidate,Public leaf protocol cell.
official_primary_paper,Supplementary Table 23,Mean pool (CONCHv1.5)/0.624±0.0169/logistic_regression/weighted_f1,CONCHv1.5,conch-1.5,CONCHv1.5 ViT-L/16 packaged with TITAN,titan_patch_encoder,Supplementary Table 23: Linear probing results for OncoTree code (C = 46) prediction on TCGA-OT,conch15.titan2025.t23.0.logistic_regression.weighted_f1,supplementary_table_23:_linear_probing_results_for_oncotree_code_(c_=_46)_prediction_on_tcga-ot.0.624±0.0169.weighted_f1,weighted_f1,0.700,fraction,reported ± 0.0131,slide,20x patches; slide mean pooling,mean-pooled frozen CONCHv1.5 patch embeddings,logistic_regression,public,https://www.nature.com/articles/s41591-025-03982-3,Supplementary Information|Table 23|Mean pool (CONCHv1.5),Nature Medicine 2025 supplementary PDF,26321e4018bec7b80f2fe7ea7cc497139c83b44fb60df5128417623ad1f71a70,canonical_candidate,Public leaf protocol cell.
official_primary_paper,Supplementary Table 23,Mean pool (CONCHv1.5)/0.624±0.0169/simpleshot/balanced_accuracy,CONCHv1.5,conch-1.5,CONCHv1.5 ViT-L/16 packaged with TITAN,titan_patch_encoder,Supplementary Table 23: Linear probing results for OncoTree code (C = 46) prediction on TCGA-OT,conch15.titan2025.t23.0.simpleshot.balanced_accuracy,supplementary_table_23:_linear_probing_results_for_oncotree_code_(c_=_46)_prediction_on_tcga-ot.0.624±0.0169.balanced_accuracy,balanced_accuracy,0.615,fraction,reported ± 0.0171,slide,20x patches; slide mean pooling,mean-pooled frozen CONCHv1.5 patch embeddings,simpleshot,public,https://www.nature.com/articles/s41591-025-03982-3,Supplementary Information|Table 23|Mean pool (CONCHv1.5),Nature Medicine 2025 supplementary PDF,26321e4018bec7b80f2fe7ea7cc497139c83b44fb60df5128417623ad1f71a70,canonical_candidate,Public leaf protocol cell.
official_primary_paper,Supplementary Table 23,Mean pool (CONCHv1.5)/0.624±0.0169/simpleshot/weighted_f1,CONCHv1.5,conch-1.5,CONCHv1.5 ViT-L/16 packaged with TITAN,titan_patch_encoder,Supplementary Table 23: Linear probing results for OncoTree code (C = 46) prediction on TCGA-OT,conch15.titan2025.t23.0.simpleshot.weighted_f1,supplementary_table_23:_linear_probing_results_for_oncotree_code_(c_=_46)_prediction_on_tcga-ot.0.624±0.0169.weighted_f1,weighted_f1,0.680,fraction,reported ± 0.0130,slide,20x patches; slide mean pooling,mean-pooled frozen CONCHv1.5 patch embeddings,simpleshot,public,https://www.nature.com/articles/s41591-025-03982-3,Supplementary Information|Table 23|Mean pool (CONCHv1.5),Nature Medicine 2025 supplementary PDF,26321e4018bec7b80f2fe7ea7cc497139c83b44fb60df5128417623ad1f71a70,canonical_candidate,Public leaf protocol cell.
