source_task,base_evaluation_id,evaluation_id,metric,model_alias,value,reference_url,source_archive_sha256
bc_therapy_er_status,pathobench.bc_therapy.er-status,pathobench.exaone2025.bc_therapy.er-status,macro-ovr-auc,CHIEF,0.664,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bc_therapy_er_status,pathobench.bc_therapy.er-status,pathobench.exaone2025.bc_therapy.er-status,macro-ovr-auc,GigaPath,0.697,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bc_therapy_er_status,pathobench.bc_therapy.er-status,pathobench.exaone2025.bc_therapy.er-status,macro-ovr-auc,PRISM,0.625,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bc_therapy_er_status,pathobench.bc_therapy.er-status,pathobench.exaone2025.bc_therapy.er-status,macro-ovr-auc,TITAN,0.763,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bc_therapy_er_status,pathobench.bc_therapy.er-status,pathobench.exaone2025.bc_therapy.er-status,macro-ovr-auc,H-optimus-0,0.683,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bc_therapy_er_status,pathobench.bc_therapy.er-status,pathobench.exaone2025.bc_therapy.er-status,macro-ovr-auc,UNI2-h,0.711,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bc_therapy_er_status,pathobench.bc_therapy.er-status,pathobench.exaone2025.bc_therapy.er-status,macro-ovr-auc,EXAONE Path 2.5,0.658,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bc_therapy_grade,pathobench.bc_therapy.grade,pathobench.exaone2025.bc_therapy.grade,macro-ovr-auc,CHIEF,0.743,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bc_therapy_grade,pathobench.bc_therapy.grade,pathobench.exaone2025.bc_therapy.grade,macro-ovr-auc,GigaPath,0.654,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bc_therapy_grade,pathobench.bc_therapy.grade,pathobench.exaone2025.bc_therapy.grade,macro-ovr-auc,PRISM,0.722,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bc_therapy_grade,pathobench.bc_therapy.grade,pathobench.exaone2025.bc_therapy.grade,macro-ovr-auc,TITAN,0.781,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
