source_scope,source_table,source_row,model_alias,model_id,model_revision,suite_id,task_label,evaluation_id,dedup_key,metric,value,value_unit,embedding_recipe,protocol_variant,reference_url,source_locator,source_revision,source_sha256,inclusion_status,inclusion_reason
official_primary_paper,Table A1,GenBio-PathFM/IDC,GenBio-PathFM,genbio-pathfm,GenBio-PathFM official 1.1B JEDI checkpoint,hest,IDC,hest.idc.gene_expression,hest.idc.gene_expression,pearson_r,0.587,fraction,CLS token,HEST single-task ridge regression on embedding PCs; top 50 variable genes,https://genbio.ai/papers/genbio-pathfm.pdf,GenBio-PathFM PDF|Table A1|GenBio-PathFM/IDC,PDF created 2026-03-17,814ac10253ae55d737e02e1aad549e1995f05d90fd96c1fc2bc28a669996d9a1,duplicate_alternate_evidence,The pinned HEST leaderboard supplies the same cell at higher precision; retain this rounded primary-paper value as alternate evidence.
official_primary_paper,Table A1,GenBio-PathFM/PRAD,GenBio-PathFM,genbio-pathfm,GenBio-PathFM official 1.1B JEDI checkpoint,hest,PRAD,hest.prad.gene_expression,hest.prad.gene_expression,pearson_r,0.391,fraction,CLS token,HEST single-task ridge regression on embedding PCs; top 50 variable genes,https://genbio.ai/papers/genbio-pathfm.pdf,GenBio-PathFM PDF|Table A1|GenBio-PathFM/PRAD,PDF created 2026-03-17,814ac10253ae55d737e02e1aad549e1995f05d90fd96c1fc2bc28a669996d9a1,duplicate_alternate_evidence,The pinned HEST leaderboard supplies the same cell at higher precision; retain this rounded primary-paper value as alternate evidence.
official_primary_paper,Table A1,GenBio-PathFM/PAAD,GenBio-PathFM,genbio-pathfm,GenBio-PathFM official 1.1B JEDI checkpoint,hest,PAAD,hest.paad.gene_expression,hest.paad.gene_expression,pearson_r,0.496,fraction,CLS token,HEST single-task ridge regression on embedding PCs; top 50 variable genes,https://genbio.ai/papers/genbio-pathfm.pdf,GenBio-PathFM PDF|Table A1|GenBio-PathFM/PAAD,PDF created 2026-03-17,814ac10253ae55d737e02e1aad549e1995f05d90fd96c1fc2bc28a669996d9a1,duplicate_alternate_evidence,The pinned HEST leaderboard supplies the same cell at higher precision; retain this rounded primary-paper value as alternate evidence.
official_primary_paper,Table A1,GenBio-PathFM/SKCM,GenBio-PathFM,genbio-pathfm,GenBio-PathFM official 1.1B JEDI checkpoint,hest,SKCM,hest.skcm.gene_expression,hest.skcm.gene_expression,pearson_r,0.672,fraction,CLS token,HEST single-task ridge regression on embedding PCs; top 50 variable genes,https://genbio.ai/papers/genbio-pathfm.pdf,GenBio-PathFM PDF|Table A1|GenBio-PathFM/SKCM,PDF created 2026-03-17,814ac10253ae55d737e02e1aad549e1995f05d90fd96c1fc2bc28a669996d9a1,duplicate_alternate_evidence,The pinned HEST leaderboard supplies the same cell at higher precision; retain this rounded primary-paper value as alternate evidence.
official_primary_paper,Table A1,GenBio-PathFM/COAD,GenBio-PathFM,genbio-pathfm,GenBio-PathFM official 1.1B JEDI checkpoint,hest,COAD,hest.coad.gene_expression,hest.coad.gene_expression,pearson_r,0.328,fraction,CLS token,HEST single-task ridge regression on embedding PCs; top 50 variable genes,https://genbio.ai/papers/genbio-pathfm.pdf,GenBio-PathFM PDF|Table A1|GenBio-PathFM/COAD,PDF created 2026-03-17,814ac10253ae55d737e02e1aad549e1995f05d90fd96c1fc2bc28a669996d9a1,duplicate_alternate_evidence,The pinned HEST leaderboard supplies the same cell at higher precision; retain this rounded primary-paper value as alternate evidence.
official_primary_paper,Table A1,GenBio-PathFM/READ,GenBio-PathFM,genbio-pathfm,GenBio-PathFM official 1.1B JEDI checkpoint,hest,READ,hest.read.gene_expression,hest.read.gene_expression,pearson_r,0.179,fraction,CLS token,HEST single-task ridge regression on embedding PCs; top 50 variable genes,https://genbio.ai/papers/genbio-pathfm.pdf,GenBio-PathFM PDF|Table A1|GenBio-PathFM/READ,PDF created 2026-03-17,814ac10253ae55d737e02e1aad549e1995f05d90fd96c1fc2bc28a669996d9a1,duplicate_alternate_evidence,The pinned HEST leaderboard supplies the same cell at higher precision; retain this rounded primary-paper value as alternate evidence.
official_primary_paper,Table A1,GenBio-PathFM/CCRCC,GenBio-PathFM,genbio-pathfm,GenBio-PathFM official 1.1B JEDI checkpoint,hest,CCRCC,hest.ccrcc.gene_expression,hest.ccrcc.gene_expression,pearson_r,0.262,fraction,CLS token,HEST single-task ridge regression on embedding PCs; top 50 variable genes,https://genbio.ai/papers/genbio-pathfm.pdf,GenBio-PathFM PDF|Table A1|GenBio-PathFM/CCRCC,PDF created 2026-03-17,814ac10253ae55d737e02e1aad549e1995f05d90fd96c1fc2bc28a669996d9a1,duplicate_alternate_evidence,The pinned HEST leaderboard supplies the same cell at higher precision; retain this rounded primary-paper value as alternate evidence.
official_primary_paper,Table A1,GenBio-PathFM/LUNG,GenBio-PathFM,genbio-pathfm,GenBio-PathFM official 1.1B JEDI checkpoint,hest,LUNG,hest.lung.gene_expression,hest.lung.gene_expression,pearson_r,0.579,fraction,CLS token,HEST single-task ridge regression on embedding PCs; top 50 variable genes,https://genbio.ai/papers/genbio-pathfm.pdf,GenBio-PathFM PDF|Table A1|GenBio-PathFM/LUNG,PDF created 2026-03-17,814ac10253ae55d737e02e1aad549e1995f05d90fd96c1fc2bc28a669996d9a1,duplicate_alternate_evidence,The pinned HEST leaderboard supplies the same cell at higher precision; retain this rounded primary-paper value as alternate evidence.
official_primary_paper,Table A1,GenBio-PathFM/LYMPH,GenBio-PathFM,genbio-pathfm,GenBio-PathFM official 1.1B JEDI checkpoint,hest,LYMPH,hest.lymph_idc.gene_expression,hest.lymph_idc.gene_expression,pearson_r,0.284,fraction,CLS token,HEST single-task ridge regression on embedding PCs; top 50 variable genes,https://genbio.ai/papers/genbio-pathfm.pdf,GenBio-PathFM PDF|Table A1|GenBio-PathFM/LYMPH,PDF created 2026-03-17,814ac10253ae55d737e02e1aad549e1995f05d90fd96c1fc2bc28a669996d9a1,duplicate_alternate_evidence,The pinned HEST leaderboard supplies the same cell at higher precision; retain this rounded primary-paper value as alternate evidence.
official_primary_paper,Table A1,GenBio-PathFM/Avg.,GenBio-PathFM,genbio-pathfm,GenBio-PathFM official 1.1B JEDI checkpoint,hest,Average,hest.genbio2026.average,hest.aggregate.average,mean_pearson_r,0.42,fraction,CLS token,Arithmetic summary across nine HEST tasks,https://genbio.ai/papers/genbio-pathfm.pdf,GenBio-PathFM PDF|Table A1|GenBio-PathFM/Avg.,PDF created 2026-03-17,814ac10253ae55d737e02e1aad549e1995f05d90fd96c1fc2bc28a669996d9a1,aggregate_excluded,Aggregate is derived from task cells and must not be treated as an independent benchmark observation.
