source_scope,source_table,source_row,model_alias,model_id,model_revision,suite_id,task_label,evaluation_id,dedup_key,metric,value,value_unit,uncertainty,level,magnification,embedding_recipe,downstream_protocol,cohort_access,reference_url,source_locator,source_revision,source_sha256,inclusion_status,inclusion_reason
official_publisher_source_data,WSI classification,TCGA-NSCLC/balanced_accuracy,GPFM,gpfm,GPFM ViT-L/14 UDK checkpoint; publisher model family,gpfm_primary,TCGA-NSCLC,gpfm.nbe2025.wsi_classification.tcga_nsclc.balanced_accuracy,tcga_nsclc.two_layer_abmil_on_frozen_gpfm_embeddings.balanced_accuracy,balanced_accuracy,0.948,fraction,"95% CI [0.915, 0.976]",slide,source-defined,frozen GPFM patch embeddings,two-layer ABMIL on frozen GPFM embeddings,public,https://www.nature.com/articles/s41551-025-01488-4,Source Data workbook MOESM6|sheet b|TCGA-NSCLC/balanced_accuracy,Nature Biomedical Engineering version of record 2025-09-02,97742abaaefebc70435d04948eaa9d4d4d6b9447b982baf26d587fb85d5f0d76,canonical_candidate,Public frozen-encoder WSI leaf.
official_publisher_source_data,WSI classification,TCGA-NSCLC/weighted_f1,GPFM,gpfm,GPFM ViT-L/14 UDK checkpoint; publisher model family,gpfm_primary,TCGA-NSCLC,gpfm.nbe2025.wsi_classification.tcga_nsclc.weighted_f1,tcga_nsclc.two_layer_abmil_on_frozen_gpfm_embeddings.weighted_f1,weighted_f1,0.947,fraction,"95% CI [0.918, 0.976]",slide,source-defined,frozen GPFM patch embeddings,two-layer ABMIL on frozen GPFM embeddings,public,https://www.nature.com/articles/s41551-025-01488-4,Source Data workbook MOESM6|sheet c|TCGA-NSCLC/weighted_f1,Nature Biomedical Engineering version of record 2025-09-02,97742abaaefebc70435d04948eaa9d4d4d6b9447b982baf26d587fb85d5f0d76,canonical_candidate,Public frozen-encoder WSI leaf.
official_publisher_source_data,WSI classification,TCGA-NSCLC/auroc,GPFM,gpfm,GPFM ViT-L/14 UDK checkpoint; publisher model family,gpfm_primary,TCGA-NSCLC,gpfm.nbe2025.wsi_classification.tcga_nsclc.auroc,tcga_nsclc.two_layer_abmil_on_frozen_gpfm_embeddings.auroc,auroc,0.986,fraction,"95% CI [0.973, 0.996]",slide,source-defined,frozen GPFM patch embeddings,two-layer ABMIL on frozen GPFM embeddings,public,https://www.nature.com/articles/s41551-025-01488-4,Source Data workbook MOESM6|sheet d|TCGA-NSCLC/auroc,Nature Biomedical Engineering version of record 2025-09-02,97742abaaefebc70435d04948eaa9d4d4d6b9447b982baf26d587fb85d5f0d76,canonical_candidate,Public frozen-encoder WSI leaf.
official_publisher_source_data,WSI classification,CPTAC-NSCLC/balanced_accuracy,GPFM,gpfm,GPFM ViT-L/14 UDK checkpoint; publisher model family,gpfm_primary,CPTAC-NSCLC,gpfm.nbe2025.wsi_classification.cptac_nsclc.balanced_accuracy,cptac_nsclc.two_layer_abmil_on_frozen_gpfm_embeddings.balanced_accuracy,balanced_accuracy,0.906,fraction,"95% CI [0.877, 0.932]",slide,source-defined,frozen GPFM patch embeddings,two-layer ABMIL on frozen GPFM embeddings,public,https://www.nature.com/articles/s41551-025-01488-4,Source Data workbook MOESM6|sheet b|CPTAC-NSCLC/balanced_accuracy,Nature Biomedical Engineering version of record 2025-09-02,97742abaaefebc70435d04948eaa9d4d4d6b9447b982baf26d587fb85d5f0d76,canonical_candidate,Public frozen-encoder WSI leaf.
official_publisher_source_data,WSI classification,CPTAC-NSCLC/weighted_f1,GPFM,gpfm,GPFM ViT-L/14 UDK checkpoint; publisher model family,gpfm_primary,CPTAC-NSCLC,gpfm.nbe2025.wsi_classification.cptac_nsclc.weighted_f1,cptac_nsclc.two_layer_abmil_on_frozen_gpfm_embeddings.weighted_f1,weighted_f1,0.906,fraction,"95% CI [0.880, 0.934]",slide,source-defined,frozen GPFM patch embeddings,two-layer ABMIL on frozen GPFM embeddings,public,https://www.nature.com/articles/s41551-025-01488-4,Source Data workbook MOESM6|sheet c|CPTAC-NSCLC/weighted_f1,Nature Biomedical Engineering version of record 2025-09-02,97742abaaefebc70435d04948eaa9d4d4d6b9447b982baf26d587fb85d5f0d76,canonical_candidate,Public frozen-encoder WSI leaf.
official_publisher_source_data,WSI classification,CPTAC-NSCLC/auroc,GPFM,gpfm,GPFM ViT-L/14 UDK checkpoint; publisher model family,gpfm_primary,CPTAC-NSCLC,gpfm.nbe2025.wsi_classification.cptac_nsclc.auroc,cptac_nsclc.two_layer_abmil_on_frozen_gpfm_embeddings.auroc,auroc,0.974,fraction,"95% CI [0.961, 0.985]",slide,source-defined,frozen GPFM patch embeddings,two-layer ABMIL on frozen GPFM embeddings,public,https://www.nature.com/articles/s41551-025-01488-4,Source Data workbook MOESM6|sheet d|CPTAC-NSCLC/auroc,Nature Biomedical Engineering version of record 2025-09-02,97742abaaefebc70435d04948eaa9d4d4d6b9447b982baf26d587fb85d5f0d76,canonical_candidate,Public frozen-encoder WSI leaf.
official_publisher_source_data,WSI classification,NFH-NSCLC*/balanced_accuracy,GPFM,gpfm,GPFM ViT-L/14 UDK checkpoint; publisher model family,gpfm_primary,NFH-NSCLC*,gpfm.nbe2025.wsi_classification.nfh_nsclc.balanced_accuracy,nfh_nsclc.two_layer_abmil_on_frozen_gpfm_embeddings.balanced_accuracy,balanced_accuracy,0.614,fraction,"95% CI [0.534, 0.689]",slide,source-defined,frozen GPFM patch embeddings,two-layer ABMIL on frozen GPFM embeddings,private_internal_or_unlisted,https://www.nature.com/articles/s41551-025-01488-4,Source Data workbook MOESM6|sheet b|NFH-NSCLC*/balanced_accuracy,Nature Biomedical Engineering version of record 2025-09-02,97742abaaefebc70435d04948eaa9d4d4d6b9447b982baf26d587fb85d5f0d76,private_internal_excluded,Cohort is private/internal or absent from the paper's public-data table.
official_publisher_source_data,WSI classification,NFH-NSCLC*/weighted_f1,GPFM,gpfm,GPFM ViT-L/14 UDK checkpoint; publisher model family,gpfm_primary,NFH-NSCLC*,gpfm.nbe2025.wsi_classification.nfh_nsclc.weighted_f1,nfh_nsclc.two_layer_abmil_on_frozen_gpfm_embeddings.weighted_f1,weighted_f1,0.653,fraction,"95% CI [0.541, 0.750]",slide,source-defined,frozen GPFM patch embeddings,two-layer ABMIL on frozen GPFM embeddings,private_internal_or_unlisted,https://www.nature.com/articles/s41551-025-01488-4,Source Data workbook MOESM6|sheet c|NFH-NSCLC*/weighted_f1,Nature Biomedical Engineering version of record 2025-09-02,97742abaaefebc70435d04948eaa9d4d4d6b9447b982baf26d587fb85d5f0d76,private_internal_excluded,Cohort is private/internal or absent from the paper's public-data table.
official_publisher_source_data,WSI classification,NFH-NSCLC*/auroc,GPFM,gpfm,GPFM ViT-L/14 UDK checkpoint; publisher model family,gpfm_primary,NFH-NSCLC*,gpfm.nbe2025.wsi_classification.nfh_nsclc.auroc,nfh_nsclc.two_layer_abmil_on_frozen_gpfm_embeddings.auroc,auroc,0.823,fraction,"95% CI [0.728, 0.902]",slide,source-defined,frozen GPFM patch embeddings,two-layer ABMIL on frozen GPFM embeddings,private_internal_or_unlisted,https://www.nature.com/articles/s41551-025-01488-4,Source Data workbook MOESM6|sheet d|NFH-NSCLC*/auroc,Nature Biomedical Engineering version of record 2025-09-02,97742abaaefebc70435d04948eaa9d4d4d6b9447b982baf26d587fb85d5f0d76,private_internal_excluded,Cohort is private/internal or absent from the paper's public-data table.
official_publisher_source_data,WSI classification,NFH-LMD2/balanced_accuracy,GPFM,gpfm,GPFM ViT-L/14 UDK checkpoint; publisher model family,gpfm_primary,NFH-LMD2,gpfm.nbe2025.wsi_classification.nfh_lmd2.balanced_accuracy,nfh_lmd2.two_layer_abmil_on_frozen_gpfm_embeddings.balanced_accuracy,balanced_accuracy,0.94,fraction,"95% CI [0.902, 0.977]",slide,source-defined,frozen GPFM patch embeddings,two-layer ABMIL on frozen GPFM embeddings,private_internal_or_unlisted,https://www.nature.com/articles/s41551-025-01488-4,Source Data workbook MOESM6|sheet b|NFH-LMD2/balanced_accuracy,Nature Biomedical Engineering version of record 2025-09-02,97742abaaefebc70435d04948eaa9d4d4d6b9447b982baf26d587fb85d5f0d76,private_internal_excluded,Cohort is private/internal or absent from the paper's public-data table.
