source_scope,source_table,source_row,model_alias,model_id,model_revision,suite_id,task_label,evaluation_id,dedup_key,metric,value,value_unit,uncertainty,level,magnification,embedding_recipe,downstream_protocol,cohort_access,reference_url,source_locator,source_revision,source_sha256,inclusion_status,inclusion_reason
official_primary_paper,Table 1,Hibou-B/CRC-100K/top-1 accuracy,Hibou-B,hibou-b,Hibou-B ViT-B/14; official arXiv v1 checkpoint family,hibou_primary,CRC-100K,hibou-b.hibou2024.t1.crc_100k.top1_accuracy,crc_100k.linear_probe.top1_accuracy,top1_accuracy,0.955,fraction,,tile,source-defined; 224 px input (PCam upsampled),frozen Hibou-B CLS embedding,supervised linear probe; SGD; validation-selected linear head,public,https://arxiv.org/abs/2406.05074,paper|Table 1|Hibou-B|CRC-100K,arXiv:2406.05074v1 (2024-06-07),5c4086cad4dfa47ae6699a53149362a9a593785830b56dcc4971a72fe95d5fe5,canonical_candidate,Public leaf result with a frozen foundation encoder and linear head.
official_primary_paper,Table 1,Hibou-B/PCAM/top-1 accuracy,Hibou-B,hibou-b,Hibou-B ViT-B/14; official arXiv v1 checkpoint family,hibou_primary,PCAM,hibou-b.hibou2024.t1.pcam.top1_accuracy,pcam.linear_probe.top1_accuracy,top1_accuracy,0.946,fraction,,tile,source-defined; 224 px input (PCam upsampled),frozen Hibou-B CLS embedding,supervised linear probe; SGD; validation-selected linear head,public,https://arxiv.org/abs/2406.05074,paper|Table 1|Hibou-B|PCAM,arXiv:2406.05074v1 (2024-06-07),5c4086cad4dfa47ae6699a53149362a9a593785830b56dcc4971a72fe95d5fe5,canonical_candidate,Public leaf result with a frozen foundation encoder and linear head.
official_primary_paper,Table 1,Hibou-B/MHIST/top-1 accuracy,Hibou-B,hibou-b,Hibou-B ViT-B/14; official arXiv v1 checkpoint family,hibou_primary,MHIST,hibou-b.hibou2024.t1.mhist.top1_accuracy,mhist.linear_probe.top1_accuracy,top1_accuracy,0.812,fraction,,tile,source-defined; 224 px input (PCam upsampled),frozen Hibou-B CLS embedding,supervised linear probe; SGD; validation-selected linear head,public,https://arxiv.org/abs/2406.05074,paper|Table 1|Hibou-B|MHIST,arXiv:2406.05074v1 (2024-06-07),5c4086cad4dfa47ae6699a53149362a9a593785830b56dcc4971a72fe95d5fe5,canonical_candidate,Public leaf result with a frozen foundation encoder and linear head.
official_primary_paper,Table 1,Hibou-B/MSI-CRC/top-1 accuracy,Hibou-B,hibou-b,Hibou-B ViT-B/14; official arXiv v1 checkpoint family,hibou_primary,MSI-CRC,hibou-b.hibou2024.t1.msi_crc.top1_accuracy,msi_crc.linear_probe.top1_accuracy,top1_accuracy,0.779,fraction,,tile,source-defined; 224 px input (PCam upsampled),frozen Hibou-B CLS embedding,supervised linear probe; SGD; validation-selected linear head,public,https://arxiv.org/abs/2406.05074,paper|Table 1|Hibou-B|MSI-CRC,arXiv:2406.05074v1 (2024-06-07),5c4086cad4dfa47ae6699a53149362a9a593785830b56dcc4971a72fe95d5fe5,canonical_candidate,Public leaf result with a frozen foundation encoder and linear head.
official_primary_paper,Table 1,Hibou-B/MSI-STAD/top-1 accuracy,Hibou-B,hibou-b,Hibou-B ViT-B/14; official arXiv v1 checkpoint family,hibou_primary,MSI-STAD,hibou-b.hibou2024.t1.msi_stad.top1_accuracy,msi_stad.linear_probe.top1_accuracy,top1_accuracy,0.797,fraction,,tile,source-defined; 224 px input (PCam upsampled),frozen Hibou-B CLS embedding,supervised linear probe; SGD; validation-selected linear head,public,https://arxiv.org/abs/2406.05074,paper|Table 1|Hibou-B|MSI-STAD,arXiv:2406.05074v1 (2024-06-07),5c4086cad4dfa47ae6699a53149362a9a593785830b56dcc4971a72fe95d5fe5,canonical_candidate,Public leaf result with a frozen foundation encoder and linear head.
official_primary_paper,Table 1,Hibou-B/TIL-DET/top-1 accuracy,Hibou-B,hibou-b,Hibou-B ViT-B/14; official arXiv v1 checkpoint family,hibou_primary,TIL-DET,hibou-b.hibou2024.t1.til_det.top1_accuracy,til_det.linear_probe.top1_accuracy,top1_accuracy,0.942,fraction,,tile,source-defined; 224 px input (PCam upsampled),frozen Hibou-B CLS embedding,supervised linear probe; SGD; validation-selected linear head,public,https://arxiv.org/abs/2406.05074,paper|Table 1|Hibou-B|TIL-DET,arXiv:2406.05074v1 (2024-06-07),5c4086cad4dfa47ae6699a53149362a9a593785830b56dcc4971a72fe95d5fe5,canonical_candidate,Public leaf result with a frozen foundation encoder and linear head.
official_primary_paper,Table 2,Hibou-B/BRCA/AUC,Hibou-B,hibou-b,Hibou-B ViT-B/14; official arXiv v1 checkpoint family,hibou_primary,BRCA,hibou-b.hibou2024.t2.brca.auroc,tcga_brca.frozen_abmil.auroc,auroc,0.929,fraction,,slide,source-defined non-overlapping foreground patches,frozen Hibou-B patch embeddings; learned attention pooling,weakly supervised attention pooling; encoder frozen; 80/10/10 split,public,https://arxiv.org/abs/2406.05074,paper|Table 2|Hibou-B|BRCA,arXiv:2406.05074v1 (2024-06-07),5c4086cad4dfa47ae6699a53149362a9a593785830b56dcc4971a72fe95d5fe5,canonical_candidate,Public slide-level leaf with frozen patch encoder.
official_primary_paper,Table 2,Hibou-B/NSCLC/AUC,Hibou-B,hibou-b,Hibou-B ViT-B/14; official arXiv v1 checkpoint family,hibou_primary,NSCLC,hibou-b.hibou2024.t2.nsclc.auroc,tcga_nsclc.frozen_abmil.auroc,auroc,0.952,fraction,,slide,source-defined non-overlapping foreground patches,frozen Hibou-B patch embeddings; learned attention pooling,weakly supervised attention pooling; encoder frozen; 80/10/10 split,public,https://arxiv.org/abs/2406.05074,paper|Table 2|Hibou-B|NSCLC,arXiv:2406.05074v1 (2024-06-07),5c4086cad4dfa47ae6699a53149362a9a593785830b56dcc4971a72fe95d5fe5,canonical_candidate,Public slide-level leaf with frozen patch encoder.
official_primary_paper,Table 2,Hibou-B/RCC/AUC,Hibou-B,hibou-b,Hibou-B ViT-B/14; official arXiv v1 checkpoint family,hibou_primary,RCC,hibou-b.hibou2024.t2.rcc.auroc,tcga_rcc.frozen_abmil.auroc,auroc,0.993,fraction,,slide,source-defined non-overlapping foreground patches,frozen Hibou-B patch embeddings; learned attention pooling,weakly supervised attention pooling; encoder frozen; 80/10/10 split,public,https://arxiv.org/abs/2406.05074,paper|Table 2|Hibou-B|RCC,arXiv:2406.05074v1 (2024-06-07),5c4086cad4dfa47ae6699a53149362a9a593785830b56dcc4971a72fe95d5fe5,canonical_candidate,Public slide-level leaf with frozen patch encoder.
official_primary_paper,Table 1,Hibou-L/CRC-100K/top-1 accuracy,Hibou-L,hibou-l,Hibou-L ViT-L/14; official arXiv v1 checkpoint family,hibou_primary,CRC-100K,hibou-l.hibou2024.t1.crc_100k.top1_accuracy,crc_100k.linear_probe.top1_accuracy,top1_accuracy,0.966,fraction,,tile,source-defined; 224 px input (PCam upsampled),frozen Hibou-L CLS embedding,supervised linear probe; SGD; validation-selected linear head,public,https://arxiv.org/abs/2406.05074,paper|Table 1|Hibou-L|CRC-100K,arXiv:2406.05074v1 (2024-06-07),5c4086cad4dfa47ae6699a53149362a9a593785830b56dcc4971a72fe95d5fe5,canonical_candidate,Public leaf result with a frozen foundation encoder and linear head.
official_primary_paper,Table 1,Hibou-L/PCAM/top-1 accuracy,Hibou-L,hibou-l,Hibou-L ViT-L/14; official arXiv v1 checkpoint family,hibou_primary,PCAM,hibou-l.hibou2024.t1.pcam.top1_accuracy,pcam.linear_probe.top1_accuracy,top1_accuracy,0.953,fraction,,tile,source-defined; 224 px input (PCam upsampled),frozen Hibou-L CLS embedding,supervised linear probe; SGD; validation-selected linear head,public,https://arxiv.org/abs/2406.05074,paper|Table 1|Hibou-L|PCAM,arXiv:2406.05074v1 (2024-06-07),5c4086cad4dfa47ae6699a53149362a9a593785830b56dcc4971a72fe95d5fe5,canonical_candidate,Public leaf result with a frozen foundation encoder and linear head.
official_primary_paper,Table 1,Hibou-L/MHIST/top-1 accuracy,Hibou-L,hibou-l,Hibou-L ViT-L/14; official arXiv v1 checkpoint family,hibou_primary,MHIST,hibou-l.hibou2024.t1.mhist.top1_accuracy,mhist.linear_probe.top1_accuracy,top1_accuracy,0.858,fraction,,tile,source-defined; 224 px input (PCam upsampled),frozen Hibou-L CLS embedding,supervised linear probe; SGD; validation-selected linear head,public,https://arxiv.org/abs/2406.05074,paper|Table 1|Hibou-L|MHIST,arXiv:2406.05074v1 (2024-06-07),5c4086cad4dfa47ae6699a53149362a9a593785830b56dcc4971a72fe95d5fe5,canonical_candidate,Public leaf result with a frozen foundation encoder and linear head.
official_primary_paper,Table 1,Hibou-L/MSI-CRC/top-1 accuracy,Hibou-L,hibou-l,Hibou-L ViT-L/14; official arXiv v1 checkpoint family,hibou_primary,MSI-CRC,hibou-l.hibou2024.t1.msi_crc.top1_accuracy,msi_crc.linear_probe.top1_accuracy,top1_accuracy,0.793,fraction,,tile,source-defined; 224 px input (PCam upsampled),frozen Hibou-L CLS embedding,supervised linear probe; SGD; validation-selected linear head,public,https://arxiv.org/abs/2406.05074,paper|Table 1|Hibou-L|MSI-CRC,arXiv:2406.05074v1 (2024-06-07),5c4086cad4dfa47ae6699a53149362a9a593785830b56dcc4971a72fe95d5fe5,canonical_candidate,Public leaf result with a frozen foundation encoder and linear head.
official_primary_paper,Table 1,Hibou-L/MSI-STAD/top-1 accuracy,Hibou-L,hibou-l,Hibou-L ViT-L/14; official arXiv v1 checkpoint family,hibou_primary,MSI-STAD,hibou-l.hibou2024.t1.msi_stad.top1_accuracy,msi_stad.linear_probe.top1_accuracy,top1_accuracy,0.829,fraction,,tile,source-defined; 224 px input (PCam upsampled),frozen Hibou-L CLS embedding,supervised linear probe; SGD; validation-selected linear head,public,https://arxiv.org/abs/2406.05074,paper|Table 1|Hibou-L|MSI-STAD,arXiv:2406.05074v1 (2024-06-07),5c4086cad4dfa47ae6699a53149362a9a593785830b56dcc4971a72fe95d5fe5,canonical_candidate,Public leaf result with a frozen foundation encoder and linear head.
official_primary_paper,Table 1,Hibou-L/TIL-DET/top-1 accuracy,Hibou-L,hibou-l,Hibou-L ViT-L/14; official arXiv v1 checkpoint family,hibou_primary,TIL-DET,hibou-l.hibou2024.t1.til_det.top1_accuracy,til_det.linear_probe.top1_accuracy,top1_accuracy,0.942,fraction,,tile,source-defined; 224 px input (PCam upsampled),frozen Hibou-L CLS embedding,supervised linear probe; SGD; validation-selected linear head,public,https://arxiv.org/abs/2406.05074,paper|Table 1|Hibou-L|TIL-DET,arXiv:2406.05074v1 (2024-06-07),5c4086cad4dfa47ae6699a53149362a9a593785830b56dcc4971a72fe95d5fe5,canonical_candidate,Public leaf result with a frozen foundation encoder and linear head.
official_primary_paper,Table 2,Hibou-L/BRCA/AUC,Hibou-L,hibou-l,Hibou-L ViT-L/14; official arXiv v1 checkpoint family,hibou_primary,BRCA,hibou-l.hibou2024.t2.brca.auroc,tcga_brca.frozen_abmil.auroc,auroc,0.946,fraction,,slide,source-defined non-overlapping foreground patches,frozen Hibou-L patch embeddings; learned attention pooling,weakly supervised attention pooling; encoder frozen; 80/10/10 split,public,https://arxiv.org/abs/2406.05074,paper|Table 2|Hibou-L|BRCA,arXiv:2406.05074v1 (2024-06-07),5c4086cad4dfa47ae6699a53149362a9a593785830b56dcc4971a72fe95d5fe5,canonical_candidate,Public slide-level leaf with frozen patch encoder.
official_primary_paper,Table 2,Hibou-L/NSCLC/AUC,Hibou-L,hibou-l,Hibou-L ViT-L/14; official arXiv v1 checkpoint family,hibou_primary,NSCLC,hibou-l.hibou2024.t2.nsclc.auroc,tcga_nsclc.frozen_abmil.auroc,auroc,0.969,fraction,,slide,source-defined non-overlapping foreground patches,frozen Hibou-L patch embeddings; learned attention pooling,weakly supervised attention pooling; encoder frozen; 80/10/10 split,public,https://arxiv.org/abs/2406.05074,paper|Table 2|Hibou-L|NSCLC,arXiv:2406.05074v1 (2024-06-07),5c4086cad4dfa47ae6699a53149362a9a593785830b56dcc4971a72fe95d5fe5,canonical_candidate,Public slide-level leaf with frozen patch encoder.
official_primary_paper,Table 2,Hibou-L/RCC/AUC,Hibou-L,hibou-l,Hibou-L ViT-L/14; official arXiv v1 checkpoint family,hibou_primary,RCC,hibou-l.hibou2024.t2.rcc.auroc,tcga_rcc.frozen_abmil.auroc,auroc,0.996,fraction,,slide,source-defined non-overlapping foreground patches,frozen Hibou-L patch embeddings; learned attention pooling,weakly supervised attention pooling; encoder frozen; 80/10/10 split,public,https://arxiv.org/abs/2406.05074,paper|Table 2|Hibou-L|RCC,arXiv:2406.05074v1 (2024-06-07),5c4086cad4dfa47ae6699a53149362a9a593785830b56dcc4971a72fe95d5fe5,canonical_candidate,Public slide-level leaf with frozen patch encoder.
official_primary_paper,Table 3,CellViT-Hibou-L/neoplastic/panoptic_quality,CellViT-Hibou-L,hibou-l,Hibou-L backbone embedded in task-trained CellViT,hibou_primary,PanNuke nuclei/neoplastic,hibou-l.hibou2024.table3.pannuke.neoplastic.panoptic_quality,pannuke.neoplastic.panoptic_quality,panoptic_quality,0.582,fraction,mean across three PanNuke splits,tile,source-defined,Hibou-L used as CellViT backbone,end-to-end nuclei instance segmentation/classification training,public,https://arxiv.org/abs/2406.05074,paper|Table 3|CellViT-Hibou-L|neoplastic,arXiv:2406.05074v1 (2024-06-07),5c4086cad4dfa47ae6699a53149362a9a593785830b56dcc4971a72fe95d5fe5,fine_tuned_excluded,Task-specific CellViT training changes the backbone and is not a frozen-encoder probe.
official_primary_paper,Table 4,CellViT-Hibou-L/neoplastic/precision,CellViT-Hibou-L,hibou-l,Hibou-L backbone embedded in task-trained CellViT,hibou_primary,PanNuke nuclei/neoplastic,hibou-l.hibou2024.table4.pannuke.neoplastic.precision,pannuke.neoplastic.precision,precision,0.72,fraction,mean across three PanNuke splits,tile,source-defined,Hibou-L used as CellViT backbone,end-to-end nuclei instance segmentation/classification training,public,https://arxiv.org/abs/2406.05074,paper|Table 4|CellViT-Hibou-L|neoplastic,arXiv:2406.05074v1 (2024-06-07),5c4086cad4dfa47ae6699a53149362a9a593785830b56dcc4971a72fe95d5fe5,fine_tuned_excluded,Task-specific CellViT training changes the backbone and is not a frozen-encoder probe.
official_primary_paper,Table 4,CellViT-Hibou-L/neoplastic/recall,CellViT-Hibou-L,hibou-l,Hibou-L backbone embedded in task-trained CellViT,hibou_primary,PanNuke nuclei/neoplastic,hibou-l.hibou2024.table4.pannuke.neoplastic.recall,pannuke.neoplastic.recall,recall,0.72,fraction,mean across three PanNuke splits,tile,source-defined,Hibou-L used as CellViT backbone,end-to-end nuclei instance segmentation/classification training,public,https://arxiv.org/abs/2406.05074,paper|Table 4|CellViT-Hibou-L|neoplastic,arXiv:2406.05074v1 (2024-06-07),5c4086cad4dfa47ae6699a53149362a9a593785830b56dcc4971a72fe95d5fe5,fine_tuned_excluded,Task-specific CellViT training changes the backbone and is not a frozen-encoder probe.
