source_scope,source_table,source_row,model_alias,model_id,model_revision,suite_id,task_label,evaluation_id,dedup_key,metric,value,value_unit,uncertainty,level,magnification,embedding_recipe,downstream_protocol,cohort_access,reference_url,source_locator,source_revision,source_sha256,inclusion_status,inclusion_reason
official_primary_paper,Supplementary Table 1,MUSK/BookSet/recall_at_1,MUSK,musk,"MUSK-large ViT-L/16, 675M parameters",musk_primary,BookSet,musk.nature2025.t1.musk.bookset.recall_at_1,bookset.zero_shot_text_to_image_retrieval.recall_at_1,recall_at_1,16.07,percent,"95% CI [15.49, 16.66]",tile,source-defined; 384x384 MUSK input,MUSK image/text embeddings,zero-shot text-to-image retrieval,public,https://www.nature.com/articles/s41586-024-08378-w,Supplementary Information|Table 1|MUSK|BookSet,Nature 638 (2025) supplementary PDF,f96a44a9e3b531472a166a0a06dc3dec241b3f75fc455a21479c798f6028b770,canonical_candidate,Public primary-paper leaf protocol cell.
official_primary_paper,Supplementary Table 1,MUSK/BookSet/recall_at_10,MUSK,musk,"MUSK-large ViT-L/16, 675M parameters",musk_primary,BookSet,musk.nature2025.t1.musk.bookset.recall_at_10,bookset.zero_shot_text_to_image_retrieval.recall_at_10,recall_at_10,48.64,percent,"95% CI [47.05, 50.14]",tile,source-defined; 384x384 MUSK input,MUSK image/text embeddings,zero-shot text-to-image retrieval,public,https://www.nature.com/articles/s41586-024-08378-w,Supplementary Information|Table 1|MUSK|BookSet,Nature 638 (2025) supplementary PDF,f96a44a9e3b531472a166a0a06dc3dec241b3f75fc455a21479c798f6028b770,canonical_candidate,Public primary-paper leaf protocol cell.
official_primary_paper,Supplementary Table 1,MUSK/BookSet/recall_at_50,MUSK,musk,"MUSK-large ViT-L/16, 675M parameters",musk_primary,BookSet,musk.nature2025.t1.musk.bookset.recall_at_50,bookset.zero_shot_text_to_image_retrieval.recall_at_50,recall_at_50,75.03,percent,"95% CI [73.94, 76.12]",tile,source-defined; 384x384 MUSK input,MUSK image/text embeddings,zero-shot text-to-image retrieval,public,https://www.nature.com/articles/s41586-024-08378-w,Supplementary Information|Table 1|MUSK|BookSet,Nature 638 (2025) supplementary PDF,f96a44a9e3b531472a166a0a06dc3dec241b3f75fc455a21479c798f6028b770,canonical_candidate,Public primary-paper leaf protocol cell.
official_primary_paper,Supplementary Table 1,MUSK/PathMMU/recall_at_1,MUSK,musk,"MUSK-large ViT-L/16, 675M parameters",musk_primary,PathMMU,musk.nature2025.t1.musk.pathmmu.recall_at_1,pathmmu.zero_shot_text_to_image_retrieval.recall_at_1,recall_at_1,2.75,percent,"95% CI [2.48, 2.97]",tile,source-defined; 384x384 MUSK input,MUSK image/text embeddings,zero-shot text-to-image retrieval,public,https://www.nature.com/articles/s41586-024-08378-w,Supplementary Information|Table 1|MUSK|PathMMU,Nature 638 (2025) supplementary PDF,f96a44a9e3b531472a166a0a06dc3dec241b3f75fc455a21479c798f6028b770,canonical_candidate,Public primary-paper leaf protocol cell.
official_primary_paper,Supplementary Table 1,MUSK/PathMMU/recall_at_10,MUSK,musk,"MUSK-large ViT-L/16, 675M parameters",musk_primary,PathMMU,musk.nature2025.t1.musk.pathmmu.recall_at_10,pathmmu.zero_shot_text_to_image_retrieval.recall_at_10,recall_at_10,15.46,percent,"95% CI [14.75, 16.26]",tile,source-defined; 384x384 MUSK input,MUSK image/text embeddings,zero-shot text-to-image retrieval,public,https://www.nature.com/articles/s41586-024-08378-w,Supplementary Information|Table 1|MUSK|PathMMU,Nature 638 (2025) supplementary PDF,f96a44a9e3b531472a166a0a06dc3dec241b3f75fc455a21479c798f6028b770,canonical_candidate,Public primary-paper leaf protocol cell.
official_primary_paper,Supplementary Table 1,MUSK/PathMMU/recall_at_50,MUSK,musk,"MUSK-large ViT-L/16, 675M parameters",musk_primary,PathMMU,musk.nature2025.t1.musk.pathmmu.recall_at_50,pathmmu.zero_shot_text_to_image_retrieval.recall_at_50,recall_at_50,33.87,percent,"95% CI [32.90, 34.80]",tile,source-defined; 384x384 MUSK input,MUSK image/text embeddings,zero-shot text-to-image retrieval,public,https://www.nature.com/articles/s41586-024-08378-w,Supplementary Information|Table 1|MUSK|PathMMU,Nature 638 (2025) supplementary PDF,f96a44a9e3b531472a166a0a06dc3dec241b3f75fc455a21479c798f6028b770,canonical_candidate,Public primary-paper leaf protocol cell.
official_primary_paper,Supplementary Table 2,MUSK/BookSet/recall_at_1,MUSK,musk,"MUSK-large ViT-L/16, 675M parameters",musk_primary,BookSet,musk.nature2025.t2.musk.bookset.recall_at_1,bookset.zero_shot_image_to_text_retrieval.recall_at_1,recall_at_1,13.51,percent,"95% CI [12.89, 14.13]",tile,source-defined; 384x384 MUSK input,MUSK image/text embeddings,zero-shot image-to-text retrieval,public,https://www.nature.com/articles/s41586-024-08378-w,Supplementary Information|Table 2|MUSK|BookSet,Nature 638 (2025) supplementary PDF,f96a44a9e3b531472a166a0a06dc3dec241b3f75fc455a21479c798f6028b770,canonical_candidate,Public primary-paper leaf protocol cell.
official_primary_paper,Supplementary Table 2,MUSK/BookSet/recall_at_10,MUSK,musk,"MUSK-large ViT-L/16, 675M parameters",musk_primary,BookSet,musk.nature2025.t2.musk.bookset.recall_at_10,bookset.zero_shot_image_to_text_retrieval.recall_at_10,recall_at_10,47.62,percent,"95% CI [46.32, 49.07]",tile,source-defined; 384x384 MUSK input,MUSK image/text embeddings,zero-shot image-to-text retrieval,public,https://www.nature.com/articles/s41586-024-08378-w,Supplementary Information|Table 2|MUSK|BookSet,Nature 638 (2025) supplementary PDF,f96a44a9e3b531472a166a0a06dc3dec241b3f75fc455a21479c798f6028b770,canonical_candidate,Public primary-paper leaf protocol cell.
official_primary_paper,Supplementary Table 2,MUSK/BookSet/recall_at_50,MUSK,musk,"MUSK-large ViT-L/16, 675M parameters",musk_primary,BookSet,musk.nature2025.t2.musk.bookset.recall_at_50,bookset.zero_shot_image_to_text_retrieval.recall_at_50,recall_at_50,74.84,percent,"95% CI [73.59, 75.94]",tile,source-defined; 384x384 MUSK input,MUSK image/text embeddings,zero-shot image-to-text retrieval,public,https://www.nature.com/articles/s41586-024-08378-w,Supplementary Information|Table 2|MUSK|BookSet,Nature 638 (2025) supplementary PDF,f96a44a9e3b531472a166a0a06dc3dec241b3f75fc455a21479c798f6028b770,canonical_candidate,Public primary-paper leaf protocol cell.
official_primary_paper,Supplementary Table 2,MUSK/PathMMU/recall_at_1,MUSK,musk,"MUSK-large ViT-L/16, 675M parameters",musk_primary,PathMMU,musk.nature2025.t2.musk.pathmmu.recall_at_1,pathmmu.zero_shot_image_to_text_retrieval.recall_at_1,recall_at_1,3.45,percent,"95% CI [3.19, 3.67]",tile,source-defined; 384x384 MUSK input,MUSK image/text embeddings,zero-shot image-to-text retrieval,public,https://www.nature.com/articles/s41586-024-08378-w,Supplementary Information|Table 2|MUSK|PathMMU,Nature 638 (2025) supplementary PDF,f96a44a9e3b531472a166a0a06dc3dec241b3f75fc455a21479c798f6028b770,canonical_candidate,Public primary-paper leaf protocol cell.
