source_scope,source_table,source_row,model_alias,model_id,dataset_scope,endpoint,evaluation_id,metric,value,value_unit,uncertainty,direction,protocol,reference_url,source_locator,source_revision,source_sha256,inclusion_status,inclusion_reason
published_paper,Fig-3d-correlation_apds_x_ri,2,Atlas,atlas,camelyon+tcga_4x4+tolkach_esca,apd_id,pathorob.nature2026.all_datasets.apd_id,average_performance_drop_percent,-1.0860661779749052,percent_relative_change,95%_ci_half_width=0.557521804675761;n=60;df=59;dataset_variance_corrected=true,higher_closer_to_zero,"Mean signed relative accuracy change from the balanced split across all nonbaseline spurious-correlation splits, 20 repetitions, and three datasets; ID and OOD are distinct endpoints.",https://www.nature.com/articles/s41467-026-73923-2,41467_2026_73923_MOESM4_ESM.xlsx|sheet=Fig-3d-correlation_apds_x_ri|row=2;ci_source=Fig-3c-apds,PMC13260997.1,07456f3ffc5270ea1d8d48a8f82c08a5be396c88f99cc0227968dad721943047,canonical_analysis_ineligible,"Primary published mean is registry-eligible, but signed APD has no source-defined bounded common-scale normalization; arbitrary clipping or rescaling is forbidden."
published_paper,Fig-3d-correlation_apds_x_ri,2,Atlas,atlas,camelyon+tcga_4x4+tolkach_esca,apd_ood,pathorob.nature2026.all_datasets.apd_ood,average_performance_drop_percent,0.3309109680809159,percent_relative_change,95%_ci_half_width=0.664895126321258;n=60;df=59;dataset_variance_corrected=true,higher_closer_to_zero,"Mean signed relative accuracy change from the balanced split across all nonbaseline spurious-correlation splits, 20 repetitions, and three datasets; ID and OOD are distinct endpoints.",https://www.nature.com/articles/s41467-026-73923-2,41467_2026_73923_MOESM4_ESM.xlsx|sheet=Fig-3d-correlation_apds_x_ri|row=2;ci_source=Fig-3c-apds,PMC13260997.1,07456f3ffc5270ea1d8d48a8f82c08a5be396c88f99cc0227968dad721943047,canonical_analysis_ineligible,"Primary published mean is registry-eligible, but signed APD has no source-defined bounded common-scale normalization; arbitrary clipping or rescaling is forbidden."
published_paper,Fig-3d-correlation_apds_x_ri,3,CONCH,conch,camelyon+tcga_4x4+tolkach_esca,apd_id,pathorob.nature2026.all_datasets.apd_id,average_performance_drop_percent,-1.6091492724122909,percent_relative_change,95%_ci_half_width=0.636802462117804;n=60;df=59;dataset_variance_corrected=true,higher_closer_to_zero,"Mean signed relative accuracy change from the balanced split across all nonbaseline spurious-correlation splits, 20 repetitions, and three datasets; ID and OOD are distinct endpoints.",https://www.nature.com/articles/s41467-026-73923-2,41467_2026_73923_MOESM4_ESM.xlsx|sheet=Fig-3d-correlation_apds_x_ri|row=3;ci_source=Fig-3c-apds,PMC13260997.1,07456f3ffc5270ea1d8d48a8f82c08a5be396c88f99cc0227968dad721943047,canonical_analysis_ineligible,"Primary published mean is registry-eligible, but signed APD has no source-defined bounded common-scale normalization; arbitrary clipping or rescaling is forbidden."
published_paper,Fig-3d-correlation_apds_x_ri,3,CONCH,conch,camelyon+tcga_4x4+tolkach_esca,apd_ood,pathorob.nature2026.all_datasets.apd_ood,average_performance_drop_percent,-0.9566871361765634,percent_relative_change,95%_ci_half_width=0.752919028843013;n=60;df=59;dataset_variance_corrected=true,higher_closer_to_zero,"Mean signed relative accuracy change from the balanced split across all nonbaseline spurious-correlation splits, 20 repetitions, and three datasets; ID and OOD are distinct endpoints.",https://www.nature.com/articles/s41467-026-73923-2,41467_2026_73923_MOESM4_ESM.xlsx|sheet=Fig-3d-correlation_apds_x_ri|row=3;ci_source=Fig-3c-apds,PMC13260997.1,07456f3ffc5270ea1d8d48a8f82c08a5be396c88f99cc0227968dad721943047,canonical_analysis_ineligible,"Primary published mean is registry-eligible, but signed APD has no source-defined bounded common-scale normalization; arbitrary clipping or rescaling is forbidden."
published_paper,Fig-3d-correlation_apds_x_ri,4,CONCHv1.5,conch-1.5,camelyon+tcga_4x4+tolkach_esca,apd_id,pathorob.nature2026.all_datasets.apd_id,average_performance_drop_percent,-0.8255219563429448,percent_relative_change,95%_ci_half_width=0.559576434654069;n=60;df=59;dataset_variance_corrected=true,higher_closer_to_zero,"Mean signed relative accuracy change from the balanced split across all nonbaseline spurious-correlation splits, 20 repetitions, and three datasets; ID and OOD are distinct endpoints.",https://www.nature.com/articles/s41467-026-73923-2,41467_2026_73923_MOESM4_ESM.xlsx|sheet=Fig-3d-correlation_apds_x_ri|row=4;ci_source=Fig-3c-apds,PMC13260997.1,07456f3ffc5270ea1d8d48a8f82c08a5be396c88f99cc0227968dad721943047,canonical_analysis_ineligible,"Primary published mean is registry-eligible, but signed APD has no source-defined bounded common-scale normalization; arbitrary clipping or rescaling is forbidden."
published_paper,Fig-3d-correlation_apds_x_ri,4,CONCHv1.5,conch-1.5,camelyon+tcga_4x4+tolkach_esca,apd_ood,pathorob.nature2026.all_datasets.apd_ood,average_performance_drop_percent,0.14920497174223035,percent_relative_change,95%_ci_half_width=0.710811896929254;n=60;df=59;dataset_variance_corrected=true,higher_closer_to_zero,"Mean signed relative accuracy change from the balanced split across all nonbaseline spurious-correlation splits, 20 repetitions, and three datasets; ID and OOD are distinct endpoints.",https://www.nature.com/articles/s41467-026-73923-2,41467_2026_73923_MOESM4_ESM.xlsx|sheet=Fig-3d-correlation_apds_x_ri|row=4;ci_source=Fig-3c-apds,PMC13260997.1,07456f3ffc5270ea1d8d48a8f82c08a5be396c88f99cc0227968dad721943047,canonical_analysis_ineligible,"Primary published mean is registry-eligible, but signed APD has no source-defined bounded common-scale normalization; arbitrary clipping or rescaling is forbidden."
published_paper,Fig-3d-correlation_apds_x_ri,5,CTransPath,ctranspath,camelyon+tcga_4x4+tolkach_esca,apd_id,pathorob.nature2026.all_datasets.apd_id,average_performance_drop_percent,-6.788448090848548,percent_relative_change,95%_ci_half_width=0.958631080363475;n=60;df=59;dataset_variance_corrected=true,higher_closer_to_zero,"Mean signed relative accuracy change from the balanced split across all nonbaseline spurious-correlation splits, 20 repetitions, and three datasets; ID and OOD are distinct endpoints.",https://www.nature.com/articles/s41467-026-73923-2,41467_2026_73923_MOESM4_ESM.xlsx|sheet=Fig-3d-correlation_apds_x_ri|row=5;ci_source=Fig-3c-apds,PMC13260997.1,07456f3ffc5270ea1d8d48a8f82c08a5be396c88f99cc0227968dad721943047,canonical_analysis_ineligible,"Primary published mean is registry-eligible, but signed APD has no source-defined bounded common-scale normalization; arbitrary clipping or rescaling is forbidden."
published_paper,Fig-3d-correlation_apds_x_ri,5,CTransPath,ctranspath,camelyon+tcga_4x4+tolkach_esca,apd_ood,pathorob.nature2026.all_datasets.apd_ood,average_performance_drop_percent,-5.570273367657343,percent_relative_change,95%_ci_half_width=1.51602766066269;n=60;df=59;dataset_variance_corrected=true,higher_closer_to_zero,"Mean signed relative accuracy change from the balanced split across all nonbaseline spurious-correlation splits, 20 repetitions, and three datasets; ID and OOD are distinct endpoints.",https://www.nature.com/articles/s41467-026-73923-2,41467_2026_73923_MOESM4_ESM.xlsx|sheet=Fig-3d-correlation_apds_x_ri|row=5;ci_source=Fig-3c-apds,PMC13260997.1,07456f3ffc5270ea1d8d48a8f82c08a5be396c88f99cc0227968dad721943047,canonical_analysis_ineligible,"Primary published mean is registry-eligible, but signed APD has no source-defined bounded common-scale normalization; arbitrary clipping or rescaling is forbidden."
published_paper,Fig-3d-correlation_apds_x_ri,6,Ciga,ciga,camelyon+tcga_4x4+tolkach_esca,apd_id,pathorob.nature2026.all_datasets.apd_id,average_performance_drop_percent,-7.826963405476543,percent_relative_change,95%_ci_half_width=1.12523688508612;n=60;df=59;dataset_variance_corrected=true,higher_closer_to_zero,"Mean signed relative accuracy change from the balanced split across all nonbaseline spurious-correlation splits, 20 repetitions, and three datasets; ID and OOD are distinct endpoints.",https://www.nature.com/articles/s41467-026-73923-2,41467_2026_73923_MOESM4_ESM.xlsx|sheet=Fig-3d-correlation_apds_x_ri|row=6;ci_source=Fig-3c-apds,PMC13260997.1,07456f3ffc5270ea1d8d48a8f82c08a5be396c88f99cc0227968dad721943047,canonical_analysis_ineligible,"Primary published mean is registry-eligible, but signed APD has no source-defined bounded common-scale normalization; arbitrary clipping or rescaling is forbidden."
published_paper,Fig-3d-correlation_apds_x_ri,6,Ciga,ciga,camelyon+tcga_4x4+tolkach_esca,apd_ood,pathorob.nature2026.all_datasets.apd_ood,average_performance_drop_percent,-9.395660817454347,percent_relative_change,95%_ci_half_width=2.07147737217063;n=60;df=59;dataset_variance_corrected=true,higher_closer_to_zero,"Mean signed relative accuracy change from the balanced split across all nonbaseline spurious-correlation splits, 20 repetitions, and three datasets; ID and OOD are distinct endpoints.",https://www.nature.com/articles/s41467-026-73923-2,41467_2026_73923_MOESM4_ESM.xlsx|sheet=Fig-3d-correlation_apds_x_ri|row=6;ci_source=Fig-3c-apds,PMC13260997.1,07456f3ffc5270ea1d8d48a8f82c08a5be396c88f99cc0227968dad721943047,canonical_analysis_ineligible,"Primary published mean is registry-eligible, but signed APD has no source-defined bounded common-scale normalization; arbitrary clipping or rescaling is forbidden."
published_paper,Fig-3d-correlation_apds_x_ri,7,H-optimus-0,h-optimus-0,camelyon+tcga_4x4+tolkach_esca,apd_id,pathorob.nature2026.all_datasets.apd_id,average_performance_drop_percent,-2.7576906255110303,percent_relative_change,95%_ci_half_width=0.7539400007161;n=60;df=59;dataset_variance_corrected=true,higher_closer_to_zero,"Mean signed relative accuracy change from the balanced split across all nonbaseline spurious-correlation splits, 20 repetitions, and three datasets; ID and OOD are distinct endpoints.",https://www.nature.com/articles/s41467-026-73923-2,41467_2026_73923_MOESM4_ESM.xlsx|sheet=Fig-3d-correlation_apds_x_ri|row=7;ci_source=Fig-3c-apds,PMC13260997.1,07456f3ffc5270ea1d8d48a8f82c08a5be396c88f99cc0227968dad721943047,canonical_analysis_ineligible,"Primary published mean is registry-eligible, but signed APD has no source-defined bounded common-scale normalization; arbitrary clipping or rescaling is forbidden."
