source_scope,source_table,source_row,model_alias,model_id,model_revision,suite_id,task_label,evaluation_id,dedup_key,metric,value,value_unit,uncertainty,level,magnification,embedding_recipe,downstream_protocol,cohort_access,reference_url,source_locator,source_revision,source_sha256,inclusion_status,inclusion_reason
official_primary_paper,Phikon-v2 Table 2,Phikon-v2/ER/BCNB,Phikon-v2,phikon-v2,Phikon-v2 arXiv v1 / official checkpoint,phikon_v2_external,ER on BCNB,phikon-v2.phikonv2.t2.er.bcnb.auroc,er.bcnb.auroc,auroc,0.856,fraction,"median over 10,000 bootstrap repetitions",slide,0.5 µm/px except CTransPath comparator at 1.0 µm/px,frozen tile features with ABMIL,external-cohort ABMIL evaluation,public,https://arxiv.org/abs/2409.09173v1,arXiv 2409.09173v1|Table 2|Phikon-v2,arXiv v1,52e26d832d27a6d51ce2b68da462f6a6ad851236fc1efafb9b1258359fc6b633,canonical_candidate,Primary author-reported public external-cohort leaf cell.
official_primary_paper,Phikon-v2 Table 2,Phikon-v2/PR/BCNB,Phikon-v2,phikon-v2,Phikon-v2 arXiv v1 / official checkpoint,phikon_v2_external,PR on BCNB,phikon-v2.phikonv2.t2.pr.bcnb.auroc,pr.bcnb.auroc,auroc,0.804,fraction,"median over 10,000 bootstrap repetitions",slide,0.5 µm/px except CTransPath comparator at 1.0 µm/px,frozen tile features with ABMIL,external-cohort ABMIL evaluation,public,https://arxiv.org/abs/2409.09173v1,arXiv 2409.09173v1|Table 2|Phikon-v2,arXiv v1,52e26d832d27a6d51ce2b68da462f6a6ad851236fc1efafb9b1258359fc6b633,canonical_candidate,Primary author-reported public external-cohort leaf cell.
official_primary_paper,Phikon-v2 Table 2,Phikon-v2/HER2/BCNB,Phikon-v2,phikon-v2,Phikon-v2 arXiv v1 / official checkpoint,phikon_v2_external,HER2 on BCNB,phikon-v2.phikonv2.t2.her2.bcnb.auroc,her2.bcnb.auroc,auroc,0.669,fraction,"median over 10,000 bootstrap repetitions",slide,0.5 µm/px except CTransPath comparator at 1.0 µm/px,frozen tile features with ABMIL,external-cohort ABMIL evaluation,public,https://arxiv.org/abs/2409.09173v1,arXiv 2409.09173v1|Table 2|Phikon-v2,arXiv v1,52e26d832d27a6d51ce2b68da462f6a6ad851236fc1efafb9b1258359fc6b633,canonical_candidate,Primary author-reported public external-cohort leaf cell.
official_primary_paper,Phikon-v2 Table 2,Phikon-v2/HER2/HEROHE,Phikon-v2,phikon-v2,Phikon-v2 arXiv v1 / official checkpoint,phikon_v2_external,HER2 on HEROHE,phikon-v2.phikonv2.t2.her2.herohe.auroc,her2.herohe.auroc,auroc,0.770,fraction,"median over 10,000 bootstrap repetitions",slide,0.5 µm/px except CTransPath comparator at 1.0 µm/px,frozen tile features with ABMIL,external-cohort ABMIL evaluation,public,https://arxiv.org/abs/2409.09173v1,arXiv 2409.09173v1|Table 2|Phikon-v2,arXiv v1,52e26d832d27a6d51ce2b68da462f6a6ad851236fc1efafb9b1258359fc6b633,canonical_candidate,Primary author-reported public external-cohort leaf cell.
official_primary_paper,Phikon-v2 Table 2,Phikon-v2/IDH1/EBRAINS,Phikon-v2,phikon-v2,Phikon-v2 arXiv v1 / official checkpoint,phikon_v2_external,IDH1 on EBRAINS,phikon-v2.phikonv2.t2.idh1.ebrains.auroc,idh1.ebrains.auroc,auroc,0.842,fraction,"median over 10,000 bootstrap repetitions",slide,0.5 µm/px except CTransPath comparator at 1.0 µm/px,frozen tile features with ABMIL,external-cohort ABMIL evaluation,public,https://arxiv.org/abs/2409.09173v1,arXiv 2409.09173v1|Table 2|Phikon-v2,arXiv v1,52e26d832d27a6d51ce2b68da462f6a6ad851236fc1efafb9b1258359fc6b633,canonical_candidate,Primary author-reported public external-cohort leaf cell.
official_primary_paper,Phikon-v2 Table 2,Phikon-v2/ISUP/PANDA,Phikon-v2,phikon-v2,Phikon-v2 arXiv v1 / official checkpoint,phikon_v2_external,ISUP on PANDA,phikon-v2.phikonv2.t2.isup.panda.auroc,isup.panda.auroc,auroc,0.936,fraction,"median over 10,000 bootstrap repetitions",slide,0.5 µm/px except CTransPath comparator at 1.0 µm/px,frozen tile features with ABMIL,external-cohort ABMIL evaluation,public,https://arxiv.org/abs/2409.09173v1,arXiv 2409.09173v1|Table 2|Phikon-v2,arXiv v1,52e26d832d27a6d51ce2b68da462f6a6ad851236fc1efafb9b1258359fc6b633,canonical_candidate,Primary author-reported public external-cohort leaf cell.
official_primary_paper,Phikon-v2 Table 2,Phikon-v2/metastasis/Camelyon16,Phikon-v2,phikon-v2,Phikon-v2 arXiv v1 / official checkpoint,phikon_v2_external,metastasis on Camelyon16,phikon-v2.phikonv2.t2.metastasis.camelyon16.auroc,metastasis.camelyon16.auroc,auroc,0.997,fraction,"median over 10,000 bootstrap repetitions",slide,0.5 µm/px except CTransPath comparator at 1.0 µm/px,frozen tile features with ABMIL,external-cohort ABMIL evaluation,public,https://arxiv.org/abs/2409.09173v1,arXiv 2409.09173v1|Table 2|Phikon-v2,arXiv v1,52e26d832d27a6d51ce2b68da462f6a6ad851236fc1efafb9b1258359fc6b633,canonical_candidate,Primary author-reported public external-cohort leaf cell.
official_primary_paper,Phikon-v2 Table 2,Phikon-v2/MSI/Cy1,Phikon-v2,phikon-v2,Phikon-v2 arXiv v1 / official checkpoint,phikon_v2_external,MSI on Cy1,phikon-v2.phikonv2.t2.msi.cy1.auroc,msi.cy1.auroc,auroc,0.882,fraction,"median over 10,000 bootstrap repetitions",slide,0.5 µm/px except CTransPath comparator at 1.0 µm/px,frozen tile features with ABMIL,external-cohort ABMIL evaluation,private,https://arxiv.org/abs/2409.09173v1,arXiv 2409.09173v1|Table 2|Phikon-v2,arXiv v1,52e26d832d27a6d51ce2b68da462f6a6ad851236fc1efafb9b1258359fc6b633,private_internal_excluded,Cy1 is explicitly described as a private French cohort.
official_primary_paper,Phikon-v2 Table 2,Phikon-v2/MSI/PAIP,Phikon-v2,phikon-v2,Phikon-v2 arXiv v1 / official checkpoint,phikon_v2_external,MSI on PAIP,phikon-v2.phikonv2.t2.msi.paip.auroc,msi.paip.auroc,auroc,0.991,fraction,"median over 10,000 bootstrap repetitions",slide,0.5 µm/px except CTransPath comparator at 1.0 µm/px,frozen tile features with ABMIL,external-cohort ABMIL evaluation,public,https://arxiv.org/abs/2409.09173v1,arXiv 2409.09173v1|Table 2|Phikon-v2,arXiv v1,52e26d832d27a6d51ce2b68da462f6a6ad851236fc1efafb9b1258359fc6b633,canonical_candidate,Primary author-reported public external-cohort leaf cell.
official_primary_paper,Phikon-v2 Table 2,Phikon-v2/RCC subtype/DHMC,Phikon-v2,phikon-v2,Phikon-v2 arXiv v1 / official checkpoint,phikon_v2_external,RCC subtype on DHMC,phikon-v2.phikonv2.t2.rcc_subtype.dhmc.auroc,rcc_subtype.dhmc.auroc,auroc,0.989,fraction,"median over 10,000 bootstrap repetitions",slide,0.5 µm/px except CTransPath comparator at 1.0 µm/px,frozen tile features with ABMIL,external-cohort ABMIL evaluation,public,https://arxiv.org/abs/2409.09173v1,arXiv 2409.09173v1|Table 2|Phikon-v2,arXiv v1,52e26d832d27a6d51ce2b68da462f6a6ad851236fc1efafb9b1258359fc6b633,canonical_candidate,Primary author-reported public external-cohort leaf cell.
official_primary_paper,Phikon-v2 Table 4,Phikon-v2/MSI/NGX1,Phikon-v2,phikon-v2,Phikon-v2 arXiv v1 / official checkpoint,phikon_v2_external,MSI on NGX1,phikon-v2.phikonv2.t4.msi.ngx1.auroc,msi.ngx1.auroc,auroc,0.919,fraction,"median over 10,000 bootstrap repetitions",slide,0.5 µm/px,frozen tile features with ABMIL,external-cohort ABMIL evaluation,private,https://arxiv.org/abs/2409.09173v1,arXiv 2409.09173v1|Table 4|Phikon-v2,arXiv v1,52e26d832d27a6d51ce2b68da462f6a6ad851236fc1efafb9b1258359fc6b633,private_internal_excluded,NGX1 is one of the two private MSI validation cohorts; Table 4 Cy1 and PAIP repeats are not duplicated.
official_primary_paper,Phikon-v2 Table 2,Phikon/ER/BCNB,Phikon,phikon,Phikon ViT-B/16 iBOT official checkpoint,phikon_v2_external,ER on BCNB,phikon.phikonv2.t2.er.bcnb.auroc,er.bcnb.auroc,auroc,0.803,fraction,"median over 10,000 bootstrap repetitions",slide,0.5 µm/px except CTransPath comparator at 1.0 µm/px,frozen tile features with ABMIL,external-cohort ABMIL evaluation,public,https://arxiv.org/abs/2409.09173v1,arXiv 2409.09173v1|Table 2|Phikon,arXiv v1,52e26d832d27a6d51ce2b68da462f6a6ad851236fc1efafb9b1258359fc6b633,canonical_candidate,Primary author-reported public external-cohort leaf cell.
official_primary_paper,Phikon-v2 Table 2,Phikon/PR/BCNB,Phikon,phikon,Phikon ViT-B/16 iBOT official checkpoint,phikon_v2_external,PR on BCNB,phikon.phikonv2.t2.pr.bcnb.auroc,pr.bcnb.auroc,auroc,0.780,fraction,"median over 10,000 bootstrap repetitions",slide,0.5 µm/px except CTransPath comparator at 1.0 µm/px,frozen tile features with ABMIL,external-cohort ABMIL evaluation,public,https://arxiv.org/abs/2409.09173v1,arXiv 2409.09173v1|Table 2|Phikon,arXiv v1,52e26d832d27a6d51ce2b68da462f6a6ad851236fc1efafb9b1258359fc6b633,canonical_candidate,Primary author-reported public external-cohort leaf cell.
official_primary_paper,Phikon-v2 Table 2,Phikon/HER2/BCNB,Phikon,phikon,Phikon ViT-B/16 iBOT official checkpoint,phikon_v2_external,HER2 on BCNB,phikon.phikonv2.t2.her2.bcnb.auroc,her2.bcnb.auroc,auroc,0.699,fraction,"median over 10,000 bootstrap repetitions",slide,0.5 µm/px except CTransPath comparator at 1.0 µm/px,frozen tile features with ABMIL,external-cohort ABMIL evaluation,public,https://arxiv.org/abs/2409.09173v1,arXiv 2409.09173v1|Table 2|Phikon,arXiv v1,52e26d832d27a6d51ce2b68da462f6a6ad851236fc1efafb9b1258359fc6b633,canonical_candidate,Primary author-reported public external-cohort leaf cell.
official_primary_paper,Phikon-v2 Table 2,Phikon/HER2/HEROHE,Phikon,phikon,Phikon ViT-B/16 iBOT official checkpoint,phikon_v2_external,HER2 on HEROHE,phikon.phikonv2.t2.her2.herohe.auroc,her2.herohe.auroc,auroc,0.685,fraction,"median over 10,000 bootstrap repetitions",slide,0.5 µm/px except CTransPath comparator at 1.0 µm/px,frozen tile features with ABMIL,external-cohort ABMIL evaluation,public,https://arxiv.org/abs/2409.09173v1,arXiv 2409.09173v1|Table 2|Phikon,arXiv v1,52e26d832d27a6d51ce2b68da462f6a6ad851236fc1efafb9b1258359fc6b633,canonical_candidate,Primary author-reported public external-cohort leaf cell.
official_primary_paper,Phikon-v2 Table 2,Phikon/IDH1/EBRAINS,Phikon,phikon,Phikon ViT-B/16 iBOT official checkpoint,phikon_v2_external,IDH1 on EBRAINS,phikon.phikonv2.t2.idh1.ebrains.auroc,idh1.ebrains.auroc,auroc,0.851,fraction,"median over 10,000 bootstrap repetitions",slide,0.5 µm/px except CTransPath comparator at 1.0 µm/px,frozen tile features with ABMIL,external-cohort ABMIL evaluation,public,https://arxiv.org/abs/2409.09173v1,arXiv 2409.09173v1|Table 2|Phikon,arXiv v1,52e26d832d27a6d51ce2b68da462f6a6ad851236fc1efafb9b1258359fc6b633,canonical_candidate,Primary author-reported public external-cohort leaf cell.
official_primary_paper,Phikon-v2 Table 2,Phikon/ISUP/PANDA,Phikon,phikon,Phikon ViT-B/16 iBOT official checkpoint,phikon_v2_external,ISUP on PANDA,phikon.phikonv2.t2.isup.panda.auroc,isup.panda.auroc,auroc,0.938,fraction,"median over 10,000 bootstrap repetitions",slide,0.5 µm/px except CTransPath comparator at 1.0 µm/px,frozen tile features with ABMIL,external-cohort ABMIL evaluation,public,https://arxiv.org/abs/2409.09173v1,arXiv 2409.09173v1|Table 2|Phikon,arXiv v1,52e26d832d27a6d51ce2b68da462f6a6ad851236fc1efafb9b1258359fc6b633,canonical_candidate,Primary author-reported public external-cohort leaf cell.
official_primary_paper,Phikon-v2 Table 2,Phikon/metastasis/Camelyon16,Phikon,phikon,Phikon ViT-B/16 iBOT official checkpoint,phikon_v2_external,metastasis on Camelyon16,phikon.phikonv2.t2.metastasis.camelyon16.auroc,metastasis.camelyon16.auroc,auroc,1.000,fraction,"median over 10,000 bootstrap repetitions",slide,0.5 µm/px except CTransPath comparator at 1.0 µm/px,frozen tile features with ABMIL,external-cohort ABMIL evaluation,public,https://arxiv.org/abs/2409.09173v1,arXiv 2409.09173v1|Table 2|Phikon,arXiv v1,52e26d832d27a6d51ce2b68da462f6a6ad851236fc1efafb9b1258359fc6b633,canonical_candidate,Primary author-reported public external-cohort leaf cell.
official_primary_paper,Phikon-v2 Table 2,Phikon/MSI/Cy1,Phikon,phikon,Phikon ViT-B/16 iBOT official checkpoint,phikon_v2_external,MSI on Cy1,phikon.phikonv2.t2.msi.cy1.auroc,msi.cy1.auroc,auroc,0.830,fraction,"median over 10,000 bootstrap repetitions",slide,0.5 µm/px except CTransPath comparator at 1.0 µm/px,frozen tile features with ABMIL,external-cohort ABMIL evaluation,private,https://arxiv.org/abs/2409.09173v1,arXiv 2409.09173v1|Table 2|Phikon,arXiv v1,52e26d832d27a6d51ce2b68da462f6a6ad851236fc1efafb9b1258359fc6b633,private_internal_excluded,Cy1 is explicitly described as a private French cohort.
official_primary_paper,Phikon-v2 Table 2,Phikon/MSI/PAIP,Phikon,phikon,Phikon ViT-B/16 iBOT official checkpoint,phikon_v2_external,MSI on PAIP,phikon.phikonv2.t2.msi.paip.auroc,msi.paip.auroc,auroc,0.977,fraction,"median over 10,000 bootstrap repetitions",slide,0.5 µm/px except CTransPath comparator at 1.0 µm/px,frozen tile features with ABMIL,external-cohort ABMIL evaluation,public,https://arxiv.org/abs/2409.09173v1,arXiv 2409.09173v1|Table 2|Phikon,arXiv v1,52e26d832d27a6d51ce2b68da462f6a6ad851236fc1efafb9b1258359fc6b633,canonical_candidate,Primary author-reported public external-cohort leaf cell.
official_primary_paper,Phikon-v2 Table 2,Phikon/RCC subtype/DHMC,Phikon,phikon,Phikon ViT-B/16 iBOT official checkpoint,phikon_v2_external,RCC subtype on DHMC,phikon.phikonv2.t2.rcc_subtype.dhmc.auroc,rcc_subtype.dhmc.auroc,auroc,0.986,fraction,"median over 10,000 bootstrap repetitions",slide,0.5 µm/px except CTransPath comparator at 1.0 µm/px,frozen tile features with ABMIL,external-cohort ABMIL evaluation,public,https://arxiv.org/abs/2409.09173v1,arXiv 2409.09173v1|Table 2|Phikon,arXiv v1,52e26d832d27a6d51ce2b68da462f6a6ad851236fc1efafb9b1258359fc6b633,canonical_candidate,Primary author-reported public external-cohort leaf cell.
official_primary_paper,Phikon-v2 Table 4,Phikon/MSI/NGX1,Phikon,phikon,Phikon ViT-B/16 iBOT official checkpoint,phikon_v2_external,MSI on NGX1,phikon.phikonv2.t4.msi.ngx1.auroc,msi.ngx1.auroc,auroc,0.921,fraction,"median over 10,000 bootstrap repetitions",slide,0.5 µm/px,frozen tile features with ABMIL,external-cohort ABMIL evaluation,private,https://arxiv.org/abs/2409.09173v1,arXiv 2409.09173v1|Table 4|Phikon,arXiv v1,52e26d832d27a6d51ce2b68da462f6a6ad851236fc1efafb9b1258359fc6b633,private_internal_excluded,NGX1 is one of the two private MSI validation cohorts; Table 4 Cy1 and PAIP repeats are not duplicated.
official_primary_paper,Supplementary Table F1,iBOT[ViT-B] PanCancer/Camelyon16 Meta,Phikon,phikon,Phikon ViT-B/16 iBOT official checkpoint,phikon_primary,Camelyon16 Meta,phikon.medrxiv2024.f1.camelyon16_meta.auroc,camelyon16_meta.auroc,auroc,0.929,fraction,5-fold nested CV SD 0.033,slide,20x; 0.5 µm/px,frozen Phikon tile features,ABMIL; 5x5 nested CV,public,https://www.medrxiv.org/content/10.1101/2023.07.21.23292757v3,MedRxiv supplement|Table F1|iBOT[ViT-B] PanCancer,MedRxiv v3 paper; official supplement asset,dd73798e6b34e317a205bec036318388d60c33da3af4326690f51ca357b96faa,canonical_candidate,Protocol-specific ABMIL public leaf cell.
official_primary_paper,Supplementary Table F1,iBOT[ViT-B] PanCancer/TCGA-BRCA Hist,Phikon,phikon,Phikon ViT-B/16 iBOT official checkpoint,phikon_primary,TCGA-BRCA Hist,phikon.medrxiv2024.f1.tcga-brca_hist.auroc,tcga-brca_hist.auroc,auroc,0.962,fraction,5-fold nested CV SD 0.015,slide,20x; 0.5 µm/px,frozen Phikon tile features,ABMIL; 5x5 nested CV,public,https://www.medrxiv.org/content/10.1101/2023.07.21.23292757v3,MedRxiv supplement|Table F1|iBOT[ViT-B] PanCancer,MedRxiv v3 paper; official supplement asset,dd73798e6b34e317a205bec036318388d60c33da3af4326690f51ca357b96faa,canonical_candidate,Protocol-specific ABMIL public leaf cell.
