source_table,base_evaluation_id,evaluation_id,metric,model_alias,value,uncertainty,reference_url,source_html_sha256,source_archive_sha256
11,pathobench.bcnb.er,pathobench.threads2025.bcnb.er,macro-ovr-auc,Virchow Mean Pooling,0.888,standard_error=0.007,https://arxiv.org/html/2501.16652v1#S0.T11,a6c7af63c1f527eba692f83b362651e0e1d96d07e303520f90cd08f34b00c92f,3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f
11,pathobench.bcnb.pr,pathobench.threads2025.bcnb.pr,macro-ovr-auc,Virchow Mean Pooling,0.813,standard_error=0.010,https://arxiv.org/html/2501.16652v1#S0.T11,a6c7af63c1f527eba692f83b362651e0e1d96d07e303520f90cd08f34b00c92f,3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f
11,pathobench.bcnb.her2,pathobench.threads2025.bcnb.her2,macro-ovr-auc,Virchow Mean Pooling,0.707,standard_error=0.011,https://arxiv.org/html/2501.16652v1#S0.T11,a6c7af63c1f527eba692f83b362651e0e1d96d07e303520f90cd08f34b00c92f,3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f
11,pathobench.bcnb.er,pathobench.threads2025.bcnb.er,macro-ovr-auc,GigaPath Mean Pooling,0.901,standard_error=0.013,https://arxiv.org/html/2501.16652v1#S0.T11,a6c7af63c1f527eba692f83b362651e0e1d96d07e303520f90cd08f34b00c92f,3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f
11,pathobench.bcnb.pr,pathobench.threads2025.bcnb.pr,macro-ovr-auc,GigaPath Mean Pooling,0.828,standard_error=0.014,https://arxiv.org/html/2501.16652v1#S0.T11,a6c7af63c1f527eba692f83b362651e0e1d96d07e303520f90cd08f34b00c92f,3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f
11,pathobench.bcnb.her2,pathobench.threads2025.bcnb.her2,macro-ovr-auc,GigaPath Mean Pooling,0.719,standard_error=0.015,https://arxiv.org/html/2501.16652v1#S0.T11,a6c7af63c1f527eba692f83b362651e0e1d96d07e303520f90cd08f34b00c92f,3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f
11,pathobench.bcnb.er,pathobench.threads2025.bcnb.er,macro-ovr-auc,Chief Mean Pooling,0.852,standard_error=0.014,https://arxiv.org/html/2501.16652v1#S0.T11,a6c7af63c1f527eba692f83b362651e0e1d96d07e303520f90cd08f34b00c92f,3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f
11,pathobench.bcnb.pr,pathobench.threads2025.bcnb.pr,macro-ovr-auc,Chief Mean Pooling,0.799,standard_error=0.021,https://arxiv.org/html/2501.16652v1#S0.T11,a6c7af63c1f527eba692f83b362651e0e1d96d07e303520f90cd08f34b00c92f,3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f
11,pathobench.bcnb.her2,pathobench.threads2025.bcnb.her2,macro-ovr-auc,Chief Mean Pooling,0.703,standard_error=0.016,https://arxiv.org/html/2501.16652v1#S0.T11,a6c7af63c1f527eba692f83b362651e0e1d96d07e303520f90cd08f34b00c92f,3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f
11,pathobench.bcnb.er,pathobench.threads2025.bcnb.er,macro-ovr-auc,CONCHv1.5 Mean Pooling,0.889,standard_error=0.010,https://arxiv.org/html/2501.16652v1#S0.T11,a6c7af63c1f527eba692f83b362651e0e1d96d07e303520f90cd08f34b00c92f,3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f
11,pathobench.bcnb.pr,pathobench.threads2025.bcnb.pr,macro-ovr-auc,CONCHv1.5 Mean Pooling,0.810,standard_error=0.022,https://arxiv.org/html/2501.16652v1#S0.T11,a6c7af63c1f527eba692f83b362651e0e1d96d07e303520f90cd08f34b00c92f,3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f
11,pathobench.bcnb.her2,pathobench.threads2025.bcnb.her2,macro-ovr-auc,CONCHv1.5 Mean Pooling,0.737,standard_error=0.013,https://arxiv.org/html/2501.16652v1#S0.T11,a6c7af63c1f527eba692f83b362651e0e1d96d07e303520f90cd08f34b00c92f,3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f
11,pathobench.bcnb.er,pathobench.threads2025.bcnb.er,macro-ovr-auc,PRISM,0.892,standard_error=0.014,https://arxiv.org/html/2501.16652v1#S0.T11,a6c7af63c1f527eba692f83b362651e0e1d96d07e303520f90cd08f34b00c92f,3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f
11,pathobench.bcnb.pr,pathobench.threads2025.bcnb.pr,macro-ovr-auc,PRISM,0.815,standard_error=0.019,https://arxiv.org/html/2501.16652v1#S0.T11,a6c7af63c1f527eba692f83b362651e0e1d96d07e303520f90cd08f34b00c92f,3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f
11,pathobench.bcnb.her2,pathobench.threads2025.bcnb.her2,macro-ovr-auc,PRISM,0.711,standard_error=0.010,https://arxiv.org/html/2501.16652v1#S0.T11,a6c7af63c1f527eba692f83b362651e0e1d96d07e303520f90cd08f34b00c92f,3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f
11,pathobench.bcnb.er,pathobench.threads2025.bcnb.er,macro-ovr-auc,GigaPath,0.886,standard_error=0.016,https://arxiv.org/html/2501.16652v1#S0.T11,a6c7af63c1f527eba692f83b362651e0e1d96d07e303520f90cd08f34b00c92f,3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f
11,pathobench.bcnb.pr,pathobench.threads2025.bcnb.pr,macro-ovr-auc,GigaPath,0.811,standard_error=0.013,https://arxiv.org/html/2501.16652v1#S0.T11,a6c7af63c1f527eba692f83b362651e0e1d96d07e303520f90cd08f34b00c92f,3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f
11,pathobench.bcnb.her2,pathobench.threads2025.bcnb.her2,macro-ovr-auc,GigaPath,0.702,standard_error=0.016,https://arxiv.org/html/2501.16652v1#S0.T11,a6c7af63c1f527eba692f83b362651e0e1d96d07e303520f90cd08f34b00c92f,3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f
11,pathobench.bcnb.er,pathobench.threads2025.bcnb.er,macro-ovr-auc,CHIEF,0.883,standard_error=0.014,https://arxiv.org/html/2501.16652v1#S0.T11,a6c7af63c1f527eba692f83b362651e0e1d96d07e303520f90cd08f34b00c92f,3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f
11,pathobench.bcnb.pr,pathobench.threads2025.bcnb.pr,macro-ovr-auc,CHIEF,0.818,standard_error=0.017,https://arxiv.org/html/2501.16652v1#S0.T11,a6c7af63c1f527eba692f83b362651e0e1d96d07e303520f90cd08f34b00c92f,3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f
11,pathobench.bcnb.her2,pathobench.threads2025.bcnb.her2,macro-ovr-auc,CHIEF,0.719,standard_error=0.021,https://arxiv.org/html/2501.16652v1#S0.T11,a6c7af63c1f527eba692f83b362651e0e1d96d07e303520f90cd08f34b00c92f,3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f
11,pathobench.bcnb.er,pathobench.threads2025.bcnb.er,macro-ovr-auc,Threads,0.921,standard_error=0.009,https://arxiv.org/html/2501.16652v1#S0.T11,a6c7af63c1f527eba692f83b362651e0e1d96d07e303520f90cd08f34b00c92f,3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f
11,pathobench.bcnb.pr,pathobench.threads2025.bcnb.pr,macro-ovr-auc,Threads,0.837,standard_error=0.020,https://arxiv.org/html/2501.16652v1#S0.T11,a6c7af63c1f527eba692f83b362651e0e1d96d07e303520f90cd08f34b00c92f,3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f
11,pathobench.bcnb.her2,pathobench.threads2025.bcnb.her2,macro-ovr-auc,Threads,0.765,standard_error=0.008,https://arxiv.org/html/2501.16652v1#S0.T11,a6c7af63c1f527eba692f83b362651e0e1d96d07e303520f90cd08f34b00c92f,3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f
