source_id,table,dataset_id,task_name,metric,protocol,model_alias,value,uncertainty,reference_url,source_locator,source_sha256,quarantine_reason,notes
virchow2g2024,Table 1,panmsk,PanMSK 20x,weighted_f1,virchow2_linear_probe_cls-mean,Virchow2G CLS+Mean,0.966,not_reported,https://arxiv.org/pdf/2408.00738,paper=Virchow2|table=1|model=Virchow2G|embedding=CLS+Mean|task=PanMSK 20x,41054dcfa720f5da2c933cb2a711c9d4618689a990513236b256652865418125,internal_private_cohort,PanMSK is sourced from MSKCC and is not a downloadable public benchmark artifact.
virchow2g2024,Table 1,panmsk,PanMSK 10x,weighted_f1,virchow2_linear_probe_cls-mean,Virchow2G CLS+Mean,0.971,not_reported,https://arxiv.org/pdf/2408.00738,paper=Virchow2|table=1|model=Virchow2G|embedding=CLS+Mean|task=PanMSK 10x,41054dcfa720f5da2c933cb2a711c9d4618689a990513236b256652865418125,internal_private_cohort,PanMSK is sourced from MSKCC and is not a downloadable public benchmark artifact.
virchow2g2024,Table 1,panmsk,PanMSK 5x,weighted_f1,virchow2_linear_probe_cls-mean,Virchow2G CLS+Mean,0.975,not_reported,https://arxiv.org/pdf/2408.00738,paper=Virchow2|table=1|model=Virchow2G|embedding=CLS+Mean|task=PanMSK 5x,41054dcfa720f5da2c933cb2a711c9d4618689a990513236b256652865418125,internal_private_cohort,PanMSK is sourced from MSKCC and is not a downloadable public benchmark artifact.
virchow2g2024,Table 1,panmsk,PanMSK 20x,weighted_f1,virchow2_linear_probe_cls-only,Virchow2G CLS-Only,0.966,not_reported,https://arxiv.org/pdf/2408.00738,paper=Virchow2|table=1|model=Virchow2G|embedding=CLS-Only|task=PanMSK 20x,41054dcfa720f5da2c933cb2a711c9d4618689a990513236b256652865418125,internal_private_cohort,PanMSK is sourced from MSKCC and is not a downloadable public benchmark artifact.
virchow2g2024,Table 1,panmsk,PanMSK 10x,weighted_f1,virchow2_linear_probe_cls-only,Virchow2G CLS-Only,0.972,not_reported,https://arxiv.org/pdf/2408.00738,paper=Virchow2|table=1|model=Virchow2G|embedding=CLS-Only|task=PanMSK 10x,41054dcfa720f5da2c933cb2a711c9d4618689a990513236b256652865418125,internal_private_cohort,PanMSK is sourced from MSKCC and is not a downloadable public benchmark artifact.
virchow2g2024,Table 1,panmsk,PanMSK 5x,weighted_f1,virchow2_linear_probe_cls-only,Virchow2G CLS-Only,0.975,not_reported,https://arxiv.org/pdf/2408.00738,paper=Virchow2|table=1|model=Virchow2G|embedding=CLS-Only|task=PanMSK 5x,41054dcfa720f5da2c933cb2a711c9d4618689a990513236b256652865418125,internal_private_cohort,PanMSK is sourced from MSKCC and is not a downloadable public benchmark artifact.
virchow2g2024,Table 1,panmsk,PanMSK 20x,weighted_f1,virchow2_linear_probe_cls-mean,Virchow2 CLS+Mean,0.964,not_reported,https://arxiv.org/pdf/2408.00738,paper=Virchow2|table=1|model=Virchow2|embedding=CLS+Mean|task=PanMSK 20x,41054dcfa720f5da2c933cb2a711c9d4618689a990513236b256652865418125,internal_private_cohort,PanMSK is sourced from MSKCC and is not a downloadable public benchmark artifact.
virchow2g2024,Table 1,panmsk,PanMSK 10x,weighted_f1,virchow2_linear_probe_cls-mean,Virchow2 CLS+Mean,0.966,not_reported,https://arxiv.org/pdf/2408.00738,paper=Virchow2|table=1|model=Virchow2|embedding=CLS+Mean|task=PanMSK 10x,41054dcfa720f5da2c933cb2a711c9d4618689a990513236b256652865418125,internal_private_cohort,PanMSK is sourced from MSKCC and is not a downloadable public benchmark artifact.
virchow2g2024,Table 1,panmsk,PanMSK 5x,weighted_f1,virchow2_linear_probe_cls-mean,Virchow2 CLS+Mean,0.967,not_reported,https://arxiv.org/pdf/2408.00738,paper=Virchow2|table=1|model=Virchow2|embedding=CLS+Mean|task=PanMSK 5x,41054dcfa720f5da2c933cb2a711c9d4618689a990513236b256652865418125,internal_private_cohort,PanMSK is sourced from MSKCC and is not a downloadable public benchmark artifact.
virchow2g2024,Table 1,panmsk,PanMSK 20x,weighted_f1,virchow2_linear_probe_cls-only,Virchow2 CLS-Only,0.964,not_reported,https://arxiv.org/pdf/2408.00738,paper=Virchow2|table=1|model=Virchow2|embedding=CLS-Only|task=PanMSK 20x,41054dcfa720f5da2c933cb2a711c9d4618689a990513236b256652865418125,internal_private_cohort,PanMSK is sourced from MSKCC and is not a downloadable public benchmark artifact.
virchow2g2024,Table 1,panmsk,PanMSK 10x,weighted_f1,virchow2_linear_probe_cls-only,Virchow2 CLS-Only,0.967,not_reported,https://arxiv.org/pdf/2408.00738,paper=Virchow2|table=1|model=Virchow2|embedding=CLS-Only|task=PanMSK 10x,41054dcfa720f5da2c933cb2a711c9d4618689a990513236b256652865418125,internal_private_cohort,PanMSK is sourced from MSKCC and is not a downloadable public benchmark artifact.
virchow2g2024,Table 1,panmsk,PanMSK 5x,weighted_f1,virchow2_linear_probe_cls-only,Virchow2 CLS-Only,0.968,not_reported,https://arxiv.org/pdf/2408.00738,paper=Virchow2|table=1|model=Virchow2|embedding=CLS-Only|task=PanMSK 5x,41054dcfa720f5da2c933cb2a711c9d4618689a990513236b256652865418125,internal_private_cohort,PanMSK is sourced from MSKCC and is not a downloadable public benchmark artifact.
virchow2g2024,Table 1,panmsk,PanMSK 20x,weighted_f1,virchow2_linear_probe_cls-mean,Virchow CLS+Mean,0.950,not_reported,https://arxiv.org/pdf/2408.00738,paper=Virchow2|table=1|model=Virchow|embedding=CLS+Mean|task=PanMSK 20x,41054dcfa720f5da2c933cb2a711c9d4618689a990513236b256652865418125,internal_private_cohort,PanMSK is sourced from MSKCC and is not a downloadable public benchmark artifact.
virchow2g2024,Table 1,panmsk,PanMSK 10x,weighted_f1,virchow2_linear_probe_cls-mean,Virchow CLS+Mean,0.948,not_reported,https://arxiv.org/pdf/2408.00738,paper=Virchow2|table=1|model=Virchow|embedding=CLS+Mean|task=PanMSK 10x,41054dcfa720f5da2c933cb2a711c9d4618689a990513236b256652865418125,internal_private_cohort,PanMSK is sourced from MSKCC and is not a downloadable public benchmark artifact.
virchow2g2024,Table 1,panmsk,PanMSK 5x,weighted_f1,virchow2_linear_probe_cls-mean,Virchow CLS+Mean,0.933,not_reported,https://arxiv.org/pdf/2408.00738,paper=Virchow2|table=1|model=Virchow|embedding=CLS+Mean|task=PanMSK 5x,41054dcfa720f5da2c933cb2a711c9d4618689a990513236b256652865418125,internal_private_cohort,PanMSK is sourced from MSKCC and is not a downloadable public benchmark artifact.
