source_id,suite_id,table,dataset_id,task_name,task_family,target,sample_unit,task_type,num_samples,endpoint,metric,protocol,model_alias,model_id,model_revision,value,uncertainty,evaluation_id,protocol_id,task_identity_id,dataset_artifact_id,reference_url,source_locator,source_sha256,review_status,audit_status,audit_notes
virchow2g2024,virchow2g_paper,Table 2,pcam,PCam,tile_classification,PCam,tile,classification,327680,tile_level_classification,weighted_f1,virchow2_linear_probe_cls-mean,Virchow2G CLS+Mean,virchow-2g,paper_only_unreleased_checkpoint,0.947,not_reported,virchow2g2024.pcam.pcam.virchow2-linear-probe-cls-mean.weighted-f1,virchow2g2024.pcam.pcam.virchow2-linear-probe-cls-mean.weighted-f1,task.pcam.pcam,artifact.pcam,https://arxiv.org/pdf/2408.00738,paper=Virchow2|table=2|model=Virchow2G|embedding=CLS+Mean|task=PCam,41054dcfa720f5da2c933cb2a711c9d4618689a990513236b256652865418125,machine_parsed_single_primary_source,parsed_primary_source,Exact leaf result; protocol variants remain distinct and are not deduplicated by dataset name alone.
virchow2g2024,virchow2g_paper,Table 2,crc,CRC,tile_classification,CRC,tile,classification,100000,tile_level_classification,weighted_f1,virchow2_linear_probe_cls-mean,Virchow2G CLS+Mean,virchow-2g,paper_only_unreleased_checkpoint,0.973,not_reported,virchow2g2024.crc.crc.virchow2-linear-probe-cls-mean.weighted-f1,virchow2g2024.crc.crc.virchow2-linear-probe-cls-mean.weighted-f1,task.crc.crc,artifact.crc,https://arxiv.org/pdf/2408.00738,paper=Virchow2|table=2|model=Virchow2G|embedding=CLS+Mean|task=CRC,41054dcfa720f5da2c933cb2a711c9d4618689a990513236b256652865418125,machine_parsed_single_primary_source,parsed_primary_source,Exact leaf result; protocol variants remain distinct and are not deduplicated by dataset name alone.
virchow2g2024,virchow2g_paper,Table 2,crc-no-norm,CRC No-Norm,tile_classification,CRC No-Norm,tile,classification,100000,tile_level_classification,weighted_f1,virchow2_linear_probe_cls-mean,Virchow2G CLS+Mean,virchow-2g,paper_only_unreleased_checkpoint,0.970,not_reported,virchow2g2024.crc-no-norm.crc-no-norm.virchow2-linear-probe-cls-mean.weighted-f1,virchow2g2024.crc-no-norm.crc-no-norm.virchow2-linear-probe-cls-mean.weighted-f1,task.crc-no-norm.crc-no-norm,artifact.crc-no-norm,https://arxiv.org/pdf/2408.00738,paper=Virchow2|table=2|model=Virchow2G|embedding=CLS+Mean|task=CRC No-Norm,41054dcfa720f5da2c933cb2a711c9d4618689a990513236b256652865418125,machine_parsed_single_primary_source,parsed_primary_source,Exact leaf result; protocol variants remain distinct and are not deduplicated by dataset name alone.
virchow2g2024,virchow2g_paper,Table 2,wilds,WILDS,tile_classification,WILDS,tile,classification,455954,tile_level_classification,weighted_f1,virchow2_linear_probe_cls-mean,Virchow2G CLS+Mean,virchow-2g,paper_only_unreleased_checkpoint,0.988,not_reported,virchow2g2024.wilds.wilds.virchow2-linear-probe-cls-mean.weighted-f1,virchow2g2024.wilds.wilds.virchow2-linear-probe-cls-mean.weighted-f1,task.wilds.wilds,artifact.wilds,https://arxiv.org/pdf/2408.00738,paper=Virchow2|table=2|model=Virchow2G|embedding=CLS+Mean|task=WILDS,41054dcfa720f5da2c933cb2a711c9d4618689a990513236b256652865418125,machine_parsed_single_primary_source,parsed_primary_source,Exact leaf result; protocol variants remain distinct and are not deduplicated by dataset name alone.
virchow2g2024,virchow2g_paper,Table 2,tils,TILS,tile_classification,TILS,tile,classification,304097,tile_level_classification,weighted_f1,virchow2_linear_probe_cls-mean,Virchow2G CLS+Mean,virchow-2g,paper_only_unreleased_checkpoint,0.948,not_reported,virchow2g2024.tils.tils.virchow2-linear-probe-cls-mean.weighted-f1,virchow2g2024.tils.tils.virchow2-linear-probe-cls-mean.weighted-f1,task.tils.tils,artifact.tils,https://arxiv.org/pdf/2408.00738,paper=Virchow2|table=2|model=Virchow2G|embedding=CLS+Mean|task=TILS,41054dcfa720f5da2c933cb2a711c9d4618689a990513236b256652865418125,machine_parsed_single_primary_source,parsed_primary_source,Exact leaf result; protocol variants remain distinct and are not deduplicated by dataset name alone.
virchow2g2024,virchow2g_paper,Table 2,mhist,MHIST,tile_classification,MHIST,tile,classification,3152,tile_level_classification,weighted_f1,virchow2_linear_probe_cls-mean,Virchow2G CLS+Mean,virchow-2g,paper_only_unreleased_checkpoint,0.864,not_reported,virchow2g2024.mhist.mhist.virchow2-linear-probe-cls-mean.weighted-f1,virchow2g2024.mhist.mhist.virchow2-linear-probe-cls-mean.weighted-f1,task.mhist.mhist,artifact.mhist,https://arxiv.org/pdf/2408.00738,paper=Virchow2|table=2|model=Virchow2G|embedding=CLS+Mean|task=MHIST,41054dcfa720f5da2c933cb2a711c9d4618689a990513236b256652865418125,machine_parsed_single_primary_source,parsed_primary_source,Exact leaf result; protocol variants remain distinct and are not deduplicated by dataset name alone.
virchow2g2024,virchow2g_paper,Table 2,dlbcl,DLBCL,tile_classification,DLBCL,patient,classification,209,tile_level_classification,weighted_f1,virchow2_linear_probe_cls-mean,Virchow2G CLS+Mean,virchow-2g,paper_only_unreleased_checkpoint,0.629,not_reported,virchow2g2024.dlbcl.dlbcl.virchow2-linear-probe-cls-mean.weighted-f1,virchow2g2024.dlbcl.dlbcl.virchow2-linear-probe-cls-mean.weighted-f1,task.dlbcl.dlbcl,artifact.dlbcl,https://arxiv.org/pdf/2408.00738,paper=Virchow2|table=2|model=Virchow2G|embedding=CLS+Mean|task=DLBCL,41054dcfa720f5da2c933cb2a711c9d4618689a990513236b256652865418125,machine_parsed_single_primary_source,parsed_primary_source,Exact leaf result; protocol variants remain distinct and are not deduplicated by dataset name alone.
virchow2g2024,virchow2g_paper,Table 2,midog,MIDOG,tile_classification,MIDOG,tile,classification,21806,tile_level_classification,weighted_f1,virchow2_linear_probe_cls-mean,Virchow2G CLS+Mean,virchow-2g,paper_only_unreleased_checkpoint,0.836,not_reported,virchow2g2024.midog.midog.virchow2-linear-probe-cls-mean.weighted-f1,virchow2g2024.midog.midog.virchow2-linear-probe-cls-mean.weighted-f1,task.midog.midog,artifact.midog,https://arxiv.org/pdf/2408.00738,paper=Virchow2|table=2|model=Virchow2G|embedding=CLS+Mean|task=MIDOG,41054dcfa720f5da2c933cb2a711c9d4618689a990513236b256652865418125,machine_parsed_single_primary_source,parsed_primary_source,Exact leaf result; protocol variants remain distinct and are not deduplicated by dataset name alone.
virchow2g2024,virchow2g_paper,Table 2,pcam,PCam,tile_classification,PCam,tile,classification,327680,tile_level_classification,weighted_f1,virchow2_linear_probe_cls-only,Virchow2G CLS-Only,virchow-2g,paper_only_unreleased_checkpoint,0.944,not_reported,virchow2g2024.pcam.pcam.virchow2-linear-probe-cls-only.weighted-f1,virchow2g2024.pcam.pcam.virchow2-linear-probe-cls-only.weighted-f1,task.pcam.pcam,artifact.pcam,https://arxiv.org/pdf/2408.00738,paper=Virchow2|table=2|model=Virchow2G|embedding=CLS-Only|task=PCam,41054dcfa720f5da2c933cb2a711c9d4618689a990513236b256652865418125,machine_parsed_single_primary_source,parsed_primary_source,Exact leaf result; protocol variants remain distinct and are not deduplicated by dataset name alone.
virchow2g2024,virchow2g_paper,Table 2,crc,CRC,tile_classification,CRC,tile,classification,100000,tile_level_classification,weighted_f1,virchow2_linear_probe_cls-only,Virchow2G CLS-Only,virchow-2g,paper_only_unreleased_checkpoint,0.974,not_reported,virchow2g2024.crc.crc.virchow2-linear-probe-cls-only.weighted-f1,virchow2g2024.crc.crc.virchow2-linear-probe-cls-only.weighted-f1,task.crc.crc,artifact.crc,https://arxiv.org/pdf/2408.00738,paper=Virchow2|table=2|model=Virchow2G|embedding=CLS-Only|task=CRC,41054dcfa720f5da2c933cb2a711c9d4618689a990513236b256652865418125,machine_parsed_single_primary_source,parsed_primary_source,Exact leaf result; protocol variants remain distinct and are not deduplicated by dataset name alone.
virchow2g2024,virchow2g_paper,Table 2,crc-no-norm,CRC No-Norm,tile_classification,CRC No-Norm,tile,classification,100000,tile_level_classification,weighted_f1,virchow2_linear_probe_cls-only,Virchow2G CLS-Only,virchow-2g,paper_only_unreleased_checkpoint,0.970,not_reported,virchow2g2024.crc-no-norm.crc-no-norm.virchow2-linear-probe-cls-only.weighted-f1,virchow2g2024.crc-no-norm.crc-no-norm.virchow2-linear-probe-cls-only.weighted-f1,task.crc-no-norm.crc-no-norm,artifact.crc-no-norm,https://arxiv.org/pdf/2408.00738,paper=Virchow2|table=2|model=Virchow2G|embedding=CLS-Only|task=CRC No-Norm,41054dcfa720f5da2c933cb2a711c9d4618689a990513236b256652865418125,machine_parsed_single_primary_source,parsed_primary_source,Exact leaf result; protocol variants remain distinct and are not deduplicated by dataset name alone.
