"source_id","source_revision","source_sha256","source_locator","model_alias","model_id","evaluation_id","dataset_id","task_family","metric","value","uncertainty","embedding_recipe","protocol","reference_url","disposition","disposition_reason"
"virchow_arxiv","arxiv:2309.07778","b2c31918a05d22534f38e35c5fc2cf3704439f7eb30af637dfd1e698373ba6b0","main.tex:Table tile_bench|dataset=panmsk|metric=accuracy|model=Virchow","Virchow","virchow","virchowpaper2023.panmsk.linear_probe.accuracy","panmsk","tile_classification","accuracy","0.950","not_reported","cls_mean","Frozen CLS+Mean embedding with paper linear-probe protocol.","https://arxiv.org/abs/2309.07778","quarantined_internal_cohort","PanMSK is internal MSKCC data."
"virchow_arxiv","arxiv:2309.07778","b2c31918a05d22534f38e35c5fc2cf3704439f7eb30af637dfd1e698373ba6b0","main.tex:Table tile_bench|dataset=panmsk|metric=balanced_accuracy|model=Virchow","Virchow","virchow","virchowpaper2023.panmsk.linear_probe.balanced_accuracy","panmsk","tile_classification","balanced_accuracy","0.950","not_reported","cls_mean","Frozen CLS+Mean embedding with paper linear-probe protocol.","https://arxiv.org/abs/2309.07778","quarantined_internal_cohort","PanMSK is internal MSKCC data."
"virchow_arxiv","arxiv:2309.07778","b2c31918a05d22534f38e35c5fc2cf3704439f7eb30af637dfd1e698373ba6b0","main.tex:Table tile_bench|dataset=panmsk|metric=weighted_f1|model=Virchow","Virchow","virchow","virchowpaper2023.panmsk.linear_probe.weighted_f1","panmsk","tile_classification","weighted_f1","0.950","not_reported","cls_mean","Frozen CLS+Mean embedding with paper linear-probe protocol.","https://arxiv.org/abs/2309.07778","quarantined_internal_cohort","PanMSK is internal MSKCC data."
"virchow_arxiv","arxiv:2309.07778","b2c31918a05d22534f38e35c5fc2cf3704439f7eb30af637dfd1e698373ba6b0","main.tex:Table tile_bench|dataset=crc|metric=accuracy|model=Virchow","Virchow","virchow","virchowpaper2023.crc.linear_probe.accuracy","crc","tile_classification","accuracy","0.973","not_reported","cls_mean","Frozen CLS+Mean embedding with paper linear-probe protocol.","https://arxiv.org/abs/2309.07778","accepted_public_leaf","Paper explicitly identifies this tile dataset as public."
"virchow_arxiv","arxiv:2309.07778","b2c31918a05d22534f38e35c5fc2cf3704439f7eb30af637dfd1e698373ba6b0","main.tex:Table tile_bench|dataset=crc|metric=balanced_accuracy|model=Virchow","Virchow","virchow","virchowpaper2023.crc.linear_probe.balanced_accuracy","crc","tile_classification","balanced_accuracy","0.962","not_reported","cls_mean","Frozen CLS+Mean embedding with paper linear-probe protocol.","https://arxiv.org/abs/2309.07778","accepted_public_leaf","Paper explicitly identifies this tile dataset as public."
"virchow_arxiv","arxiv:2309.07778","b2c31918a05d22534f38e35c5fc2cf3704439f7eb30af637dfd1e698373ba6b0","main.tex:Table tile_bench|dataset=crc|metric=weighted_f1|model=Virchow","Virchow","virchow","virchowpaper2023.crc.linear_probe.weighted_f1","crc","tile_classification","weighted_f1","0.973","not_reported","cls_mean","Frozen CLS+Mean embedding with paper linear-probe protocol.","https://arxiv.org/abs/2309.07778","accepted_public_leaf","Paper explicitly identifies this tile dataset as public."
"virchow_arxiv","arxiv:2309.07778","b2c31918a05d22534f38e35c5fc2cf3704439f7eb30af637dfd1e698373ba6b0","main.tex:Table tile_bench|dataset=crc_no_norm|metric=accuracy|model=Virchow","Virchow","virchow","virchowpaper2023.crc_no_norm.linear_probe.accuracy","crc_no_norm","tile_classification","accuracy","0.968","not_reported","cls_mean","Frozen CLS+Mean embedding with paper linear-probe protocol.","https://arxiv.org/abs/2309.07778","accepted_public_leaf","Paper explicitly identifies this tile dataset as public."
"virchow_arxiv","arxiv:2309.07778","b2c31918a05d22534f38e35c5fc2cf3704439f7eb30af637dfd1e698373ba6b0","main.tex:Table tile_bench|dataset=crc_no_norm|metric=balanced_accuracy|model=Virchow","Virchow","virchow","virchowpaper2023.crc_no_norm.linear_probe.balanced_accuracy","crc_no_norm","tile_classification","balanced_accuracy","0.960","not_reported","cls_mean","Frozen CLS+Mean embedding with paper linear-probe protocol.","https://arxiv.org/abs/2309.07778","accepted_public_leaf","Paper explicitly identifies this tile dataset as public."
"virchow_arxiv","arxiv:2309.07778","b2c31918a05d22534f38e35c5fc2cf3704439f7eb30af637dfd1e698373ba6b0","main.tex:Table tile_bench|dataset=crc_no_norm|metric=weighted_f1|model=Virchow","Virchow","virchow","virchowpaper2023.crc_no_norm.linear_probe.weighted_f1","crc_no_norm","tile_classification","weighted_f1","0.968","not_reported","cls_mean","Frozen CLS+Mean embedding with paper linear-probe protocol.","https://arxiv.org/abs/2309.07778","accepted_public_leaf","Paper explicitly identifies this tile dataset as public."
"virchow_arxiv","arxiv:2309.07778","b2c31918a05d22534f38e35c5fc2cf3704439f7eb30af637dfd1e698373ba6b0","main.tex:Table tile_bench|dataset=wilds|metric=accuracy|model=Virchow","Virchow","virchow","virchowpaper2023.wilds.linear_probe.accuracy","wilds","tile_classification","accuracy","0.970","not_reported","cls_mean","Frozen CLS+Mean embedding with paper linear-probe protocol.","https://arxiv.org/abs/2309.07778","accepted_public_leaf","Paper explicitly identifies this tile dataset as public."
"virchow_arxiv","arxiv:2309.07778","b2c31918a05d22534f38e35c5fc2cf3704439f7eb30af637dfd1e698373ba6b0","main.tex:Table tile_bench|dataset=wilds|metric=balanced_accuracy|model=Virchow","Virchow","virchow","virchowpaper2023.wilds.linear_probe.balanced_accuracy","wilds","tile_classification","balanced_accuracy","0.970","not_reported","cls_mean","Frozen CLS+Mean embedding with paper linear-probe protocol.","https://arxiv.org/abs/2309.07778","accepted_public_leaf","Paper explicitly identifies this tile dataset as public."
"virchow_arxiv","arxiv:2309.07778","b2c31918a05d22534f38e35c5fc2cf3704439f7eb30af637dfd1e698373ba6b0","main.tex:Table tile_bench|dataset=wilds|metric=weighted_f1|model=Virchow","Virchow","virchow","virchowpaper2023.wilds.linear_probe.weighted_f1","wilds","tile_classification","weighted_f1","0.970","not_reported","cls_mean","Frozen CLS+Mean embedding with paper linear-probe protocol.","https://arxiv.org/abs/2309.07778","accepted_public_leaf","Paper explicitly identifies this tile dataset as public."
"virchow_arxiv","arxiv:2309.07778","b2c31918a05d22534f38e35c5fc2cf3704439f7eb30af637dfd1e698373ba6b0","main.tex:Table tile_bench|dataset=pcam|metric=accuracy|model=Virchow","Virchow","virchow","virchowpaper2023.pcam.linear_probe.accuracy","pcam","tile_classification","accuracy","0.933","not_reported","cls_mean","Frozen CLS+Mean embedding with paper linear-probe protocol.","https://arxiv.org/abs/2309.07778","accepted_public_leaf","Paper explicitly identifies this tile dataset as public."
"virchow_arxiv","arxiv:2309.07778","b2c31918a05d22534f38e35c5fc2cf3704439f7eb30af637dfd1e698373ba6b0","main.tex:Table tile_bench|dataset=pcam|metric=balanced_accuracy|model=Virchow","Virchow","virchow","virchowpaper2023.pcam.linear_probe.balanced_accuracy","pcam","tile_classification","balanced_accuracy","0.933","not_reported","cls_mean","Frozen CLS+Mean embedding with paper linear-probe protocol.","https://arxiv.org/abs/2309.07778","accepted_public_leaf","Paper explicitly identifies this tile dataset as public."
"virchow_arxiv","arxiv:2309.07778","b2c31918a05d22534f38e35c5fc2cf3704439f7eb30af637dfd1e698373ba6b0","main.tex:Table tile_bench|dataset=pcam|metric=weighted_f1|model=Virchow","Virchow","virchow","virchowpaper2023.pcam.linear_probe.weighted_f1","pcam","tile_classification","weighted_f1","0.933","not_reported","cls_mean","Frozen CLS+Mean embedding with paper linear-probe protocol.","https://arxiv.org/abs/2309.07778","accepted_public_leaf","Paper explicitly identifies this tile dataset as public."
"virchow_arxiv","arxiv:2309.07778","b2c31918a05d22534f38e35c5fc2cf3704439f7eb30af637dfd1e698373ba6b0","main.tex:Table tile_bench|dataset=mhist|metric=accuracy|model=Virchow","Virchow","virchow","virchowpaper2023.mhist.linear_probe.accuracy","mhist","tile_classification","accuracy","0.834","not_reported","cls_mean","Frozen CLS+Mean embedding with paper linear-probe protocol.","https://arxiv.org/abs/2309.07778","accepted_public_leaf","Paper explicitly identifies this tile dataset as public."
